,Team Role,Team ID,Opponent ID,Player Name,Pro Team,gameDate,week,week_start_dt,week_end_dt
43,Home,6,11,Alperen Sengun,Houston Rockets,2024-11-04,Week 3,2024-11-04,2024-11-10
202,Home,6,11,Josh Giddey,Chicago Bulls,2024-11-04,Week 3,2024-11-04,2024-11-10
323,Home,6,11,Jaime Jaquez Jr.,Miami Heat,2024-11-04,Week 3,2024-11-04,2024-11-10
563,Away,11,6,Kevin Durant,Phoenix Suns,2024-11-04,Week 3,2024-11-04,2024-11-10
642,Away,11,6,Nikola Vucevic,Chicago Bulls,2024-11-04,Week 3,2024-11-04,2024-11-10
683,Away,11,6,Michael Porter Jr.,Denver Nuggets,2024-11-04,Week 3,2024-11-04,2024-11-10
723,Away,11,6,Jabari Smith Jr.,Houston Rockets,2024-11-04,Week 3,2024-11-04,2024-11-10
764,Away,11,6,Bogdan Bogdanovic,Atlanta Hawks,2024-11-04,Week 3,2024-11-04,2024-11-10
844,Away,11,6,Dereck Lively II,Dallas Mavericks,2024-11-04,Week 3,2024-11-04,2024-11-10
924,Away,11,6,Onyeka Okongwu,Atlanta Hawks,2024-11-04,Week 3,2024-11-04,2024-11-10
1003,Away,11,6,Ty Jerome,Cleveland Cavaliers,2024-11-04,Week 3,2024-11-04,2024-11-10
1084,Home,21,17,Scottie Barnes,Washington Wizards,2024-11-04,Week 3,2024-11-04,2024-11-10
1124,Home,21,17,Jalen Johnson,Atlanta Hawks,2024-11-04,Week 3,2024-11-04,2024-11-10
1163,Home,21,17,Jamal Murray,Denver Nuggets,2024-11-04,Week 3,2024-11-04,2024-11-10
1203,Home,21,17,Jarrett Allen,Cleveland Cavaliers,2024-11-04,Week 3,2024-11-04,2024-11-10
1323,Home,21,17,Tyus Jones,Phoenix Suns,2024-11-04,Week 3,2024-11-04,2024-11-10
1364,Home,21,17,Ivica Zubac,Los Angeles Clippers,2024-11-04,Week 3,2024-11-04,2024-11-10
1403,Home,21,17,Trey Murphy III,New Orleans Pelicans,2024-11-04,Week 3,2024-11-04,2024-11-10
1484,Home,21,17,Dyson Daniels,Atlanta Hawks,2024-11-04,Week 3,2024-11-04,2024-11-10
1564,Away,17,21,Luka Doncic,Dallas Mavericks,2024-11-04,Week 3,2024-11-04,2024-11-10
1643,Away,17,21,Bam Adebayo,Miami Heat,2024-11-04,Week 3,2024-11-04,2024-11-10
1724,Away,17,21,Nic Claxton,Brooklyn Nets,2024-11-04,Week 3,2024-11-04,2024-11-10
1804,Away,17,21,Kawhi Leonard,Los Angeles Clippers,2024-11-04,Week 3,2024-11-04,2024-11-10
1843,Away,17,21,Terry Rozier,Miami Heat,2024-11-04,Week 3,2024-11-04,2024-11-10
2003,Away,17,21,Jordan Hawkins,New Orleans Pelicans,2024-11-04,Week 3,2024-11-04,2024-11-10
2083,Home,20,18,Rudy Gobert,Minnesota Timberwolves,2024-11-04,Week 3,2024-11-04,2024-11-10
2123,Home,20,18,Julius Randle,Minnesota Timberwolves,2024-11-04,Week 3,2024-11-04,2024-11-10
2163,Home,20,18,CJ McCollum,New Orleans Pelicans,2024-11-04,Week 3,2024-11-04,2024-11-10
2324,Home,20,18,Norman Powell,Los Angeles Clippers,2024-11-04,Week 3,2024-11-04,2024-11-10
2403,Home,20,18,Nikola Jokic,Denver Nuggets,2024-11-04,Week 3,2024-11-04,2024-11-10
2444,Home,20,18,Chris Boucher,Washington Wizards,2024-11-04,Week 3,2024-11-04,2024-11-10
2482,Home,20,18,Luguentz Dort,Oklahoma City Thunder,2024-11-04,Week 3,2024-11-04,2024-11-10
2524,Home,20,18,Garrison Mathews,Atlanta Hawks,2024-11-04,Week 3,2024-11-04,2024-11-10
2683,Away,18,20,Evan Mobley,Cleveland Cavaliers,2024-11-04,Week 3,2024-11-04,2024-11-10
2723,Away,18,20,Dejounte Murray,New Orleans Pelicans,2024-11-04,Week 3,2024-11-04,2024-11-10
2802,Away,18,20,Coby White,Chicago Bulls,2024-11-04,Week 3,2024-11-04,2024-11-10
3003,Away,18,20,Christian Braun,Denver Nuggets,2024-11-04,Week 3,2024-11-04,2024-11-10
3043,Away,18,20,Yves Missi,New Orleans Pelicans,2024-11-04,Week 3,2024-11-04,2024-11-10
3083,Away,18,20,Amen Thompson,Houston Rockets,2024-11-04,Week 3,2024-11-04,2024-11-10
3124,Home,15,16,Trae Young,Atlanta Hawks,2024-11-04,Week 3,2024-11-04,2024-11-10
3203,Home,15,16,Fred VanVleet,Houston Rockets,2024-11-04,Week 3,2024-11-04,2024-11-10
3242,Home,15,16,Jalen Williams,Oklahoma City Thunder,2024-11-04,Week 3,2024-11-04,2024-11-10
3284,Home,15,16,Cam Thomas,Brooklyn Nets,2024-11-04,Week 3,2024-11-04,2024-11-10
3323,Home,15,16,Tyler Herro,Miami Heat,2024-11-04,Week 3,2024-11-04,2024-11-10
3403,Home,15,16,Herbert Jones,New Orleans Pelicans,2024-11-04,Week 3,2024-11-04,2024-11-10
3444,Home,15,16,Cameron Johnson,Brooklyn Nets,2024-11-04,Week 3,2024-11-04,2024-11-10
3603,Home,15,16,Jose Alvarado,New Orleans Pelicans,2024-11-04,Week 3,2024-11-04,2024-11-10
3684,Away,16,15,James Harden,Los Angeles Clippers,2024-11-04,Week 3,2024-11-04,2024-11-10
3764,Away,16,15,Immanuel Quickley,Washington Wizards,2024-11-04,Week 3,2024-11-04,2024-11-10
3803,Away,16,15,Bradley Beal,Phoenix Suns,2024-11-04,Week 3,2024-11-04,2024-11-10
3843,Away,16,15,Jusuf Nurkic,Phoenix Suns,2024-11-04,Week 3,2024-11-04,2024-11-10
3883,Away,16,15,Tobias Harris,Detroit Pistons,2024-11-04,Week 3,2024-11-04,2024-11-10
3924,Away,16,15,P.J. Washington,Dallas Mavericks,2024-11-04,Week 3,2024-11-04,2024-11-10
3963,Away,16,15,Jaden Ivey,Detroit Pistons,2024-11-04,Week 3,2024-11-04,2024-11-10
4124,Away,16,15,Ochai Agbaji,Washington Wizards,2024-11-04,Week 3,2024-11-04,2024-11-10
4322,Home,12,10,Zach LaVine,Chicago Bulls,2024-11-04,Week 3,2024-11-04,2024-11-10
4404,Home,12,10,Jakob Poeltl,Washington Wizards,2024-11-04,Week 3,2024-11-04,2024-11-10
4444,Home,12,10,RJ Barrett,Washington Wizards,2024-11-04,Week 3,2024-11-04,2024-11-10
4524,Home,12,10,Dennis Schroder,Brooklyn Nets,2024-11-04,Week 3,2024-11-04,2024-11-10
4644,Home,12,10,Gradey Dick,Washington Wizards,2024-11-04,Week 3,2024-11-04,2024-11-10
4722,Away,10,12,Chet Holmgren,Oklahoma City Thunder,2024-11-04,Week 3,2024-11-04,2024-11-10
4764,Away,10,12,Kyrie Irving,Dallas Mavericks,2024-11-04,Week 3,2024-11-04,2024-11-10
4803,Away,10,12,Zion Williamson,New Orleans Pelicans,2024-11-04,Week 3,2024-11-04,2024-11-10
4843,Away,10,12,Jalen Duren,Detroit Pistons,2024-11-04,Week 3,2024-11-04,2024-11-10
4883,Away,10,12,Donte DiVincenzo,Minnesota Timberwolves,2024-11-04,Week 3,2024-11-04,2024-11-10
5043,Away,10,12,Nikola Jovic,Miami Heat,2024-11-04,Week 3,2024-11-04,2024-11-10
5123,Away,10,12,Tari Eason,Houston Rockets,2024-11-04,Week 3,2024-11-04,2024-11-10
5243,Home,5,8,Donovan Mitchell,Cleveland Cavaliers,2024-11-04,Week 3,2024-11-04,2024-11-10
5363,Home,5,8,Darius Garland,Cleveland Cavaliers,2024-11-04,Week 3,2024-11-04,2024-11-10
5403,Home,5,8,Naz Reid,Minnesota Timberwolves,2024-11-04,Week 3,2024-11-04,2024-11-10
5484,Home,5,8,Clint Capela,Atlanta Hawks,2024-11-04,Week 3,2024-11-04,2024-11-10
5523,Home,5,8,Aaron Gordon,Denver Nuggets,2024-11-04,Week 3,2024-11-04,2024-11-10
5604,Home,5,8,De'Andre Hunter,Atlanta Hawks,2024-11-04,Week 3,2024-11-04,2024-11-10
5684,Home,5,8,Naji Marshall,Dallas Mavericks,2024-11-04,Week 3,2024-11-04,2024-11-10
5723,Away,8,5,Anthony Edwards,Minnesota Timberwolves,2024-11-04,Week 3,2024-11-04,2024-11-10
5883,Away,8,5,Brandon Ingram,New Orleans Pelicans,2024-11-04,Week 3,2024-11-04,2024-11-10
5924,Away,8,5,Klay Thompson,Dallas Mavericks,2024-11-04,Week 3,2024-11-04,2024-11-10
6082,Away,8,5,Isaiah Hartenstein,Oklahoma City Thunder,2024-11-04,Week 3,2024-11-04,2024-11-10
6124,Away,8,5,Ben Simmons,Brooklyn Nets,2024-11-04,Week 3,2024-11-04,2024-11-10
6163,Away,8,5,Caris LeVert,Cleveland Cavaliers,2024-11-04,Week 3,2024-11-04,2024-11-10
6243,Home,14,19,Cade Cunningham,Detroit Pistons,2024-11-04,Week 3,2024-11-04,2024-11-10
6323,Home,14,19,Jimmy Butler,Miami Heat,2024-11-04,Week 3,2024-11-04,2024-11-10
6404,Home,14,19,Daniel Gafford,Dallas Mavericks,2024-11-04,Week 3,2024-11-04,2024-11-10
6483,Home,14,19,Devin Booker,Phoenix Suns,2024-11-04,Week 3,2024-11-04,2024-11-10
6564,Home,14,19,Derrick Jones Jr.,Los Angeles Clippers,2024-11-04,Week 3,2024-11-04,2024-11-10
6643,Home,14,19,Royce O'Neale,Phoenix Suns,2024-11-04,Week 3,2024-11-04,2024-11-10
6683,Home,14,19,Tim Hardaway Jr.,Detroit Pistons,2024-11-04,Week 3,2024-11-04,2024-11-10
6762,Away,19,14,Shai Gilgeous-Alexander,Oklahoma City Thunder,2024-11-04,Week 3,2024-11-04,2024-11-10
6883,Away,19,14,Jalen Green,Houston Rockets,2024-11-04,Week 3,2024-11-04,2024-11-10
7043,Away,19,14,Grayson Allen,Phoenix Suns,2024-11-04,Week 3,2024-11-04,2024-11-10
7083,Away,19,14,Russell Westbrook,Denver Nuggets,2024-11-04,Week 3,2024-11-04,2024-11-10
7283,Home,6,11,Victor Wembanyama,San Antonio Spurs,2024-11-04,Week 3,2024-11-04,2024-11-10
7362,Home,6,11,Lauri Markkanen,Utah Jazz,2024-11-04,Week 3,2024-11-04,2024-11-10
7403,Home,6,11,Anfernee Simons,Portland Trail Blazers,2024-11-04,Week 3,2024-11-04,2024-11-10
7443,Home,6,11,D'Angelo Russell,Los Angeles Lakers,2024-11-04,Week 3,2024-11-04,2024-11-10
7522,Home,6,11,Jonas Valanciunas,Toronto Raptors,2024-11-04,Week 3,2024-11-04,2024-11-10
7564,Home,6,11,Bobby Portis,Milwaukee Bucks,2024-11-04,Week 3,2024-11-04,2024-11-10
7642,Home,6,11,Malcolm Brogdon,Toronto Raptors,2024-11-04,Week 3,2024-11-04,2024-11-10
7683,Home,6,11,Jeremy Sochan,San Antonio Spurs,2024-11-04,Week 3,2024-11-04,2024-11-10
7723,Home,6,11,Harrison Barnes,San Antonio Spurs,2024-11-04,Week 3,2024-11-04,2024-11-10
7762,Home,6,11,John Collins,Utah Jazz,2024-11-04,Week 3,2024-11-04,2024-11-10
7803,Away,11,6,Stephen Curry,Golden State Warriors,2024-11-04,Week 3,2024-11-04,2024-11-10
7882,Away,11,6,Paul George,Philadelphia 76ers,2024-11-04,Week 3,2024-11-04,2024-11-10
8082,Away,11,6,Walker Kessler,Utah Jazz,2024-11-04,Week 3,2024-11-04,2024-11-10
8165,Away,11,6,Jalen Suggs,Orlando Magic,2024-11-04,Week 3,2024-11-04,2024-11-10
8244,Away,11,6,Kevin Huerter,Sacramento Kings,2024-11-04,Week 3,2024-11-04,2024-11-10
8323,Home,21,17,Karl-Anthony Towns,New York Knicks,2024-11-04,Week 3,2024-11-04,2024-11-10
8522,Home,21,17,Brandon Miller,Charlotte Hornets,2024-11-04,Week 3,2024-11-04,2024-11-10
8564,Home,21,17,Keegan Murray,Sacramento Kings,2024-11-04,Week 3,2024-11-04,2024-11-10
8725,Home,21,17,Al Horford,Boston Celtics,2024-11-04,Week 3,2024-11-04,2024-11-10
8805,Home,21,17,Sam Hauser,Boston Celtics,2024-11-04,Week 3,2024-11-04,2024-11-10
8883,Away,17,21,Jalen Brunson,New York Knicks,2024-11-04,Week 3,2024-11-04,2024-11-10
8962,Away,17,21,Miles Bridges,Charlotte Hornets,2024-11-04,Week 3,2024-11-04,2024-11-10
9043,Away,17,21,Devin Vassell,San Antonio Spurs,2024-11-04,Week 3,2024-11-04,2024-11-10
9163,Away,17,21,Trayce Jackson-Davis,Golden State Warriors,2024-11-04,Week 3,2024-11-04,2024-11-10
9203,Away,17,21,Shaedon Sharpe,Portland Trail Blazers,2024-11-04,Week 3,2024-11-04,2024-11-10
9242,Away,17,21,Nick Richards,Charlotte Hornets,2024-11-04,Week 3,2024-11-04,2024-11-10
9324,Away,17,21,Bennedict Mathurin,Indiana Pacers,2024-11-04,Week 3,2024-11-04,2024-11-10
9483,Home,20,18,Buddy Hield,Golden State Warriors,2024-11-04,Week 3,2024-11-04,2024-11-10
9523,Home,20,18,Deandre Ayton,Portland Trail Blazers,2024-11-04,Week 3,2024-11-04,2024-11-10
9562,Home,20,18,Collin Sexton,Utah Jazz,2024-11-04,Week 3,2024-11-04,2024-11-10
9643,Home,20,18,Andrew Wiggins,Golden State Warriors,2024-11-04,Week 3,2024-11-04,2024-11-10
9844,Home,20,18,Taurean Prince,Milwaukee Bucks,2024-11-04,Week 3,2024-11-04,2024-11-10
9883,Away,18,20,Anthony Davis,Los Angeles Lakers,2024-11-04,Week 3,2024-11-04,2024-11-10
9924,Away,18,20,De'Aaron Fox,Sacramento Kings,2024-11-04,Week 3,2024-11-04,2024-11-10
10045,Away,18,20,Franz Wagner,Orlando Magic,2024-11-04,Week 3,2024-11-04,2024-11-10
10123,Away,18,20,Zach Edey,Memphis Grizzlies,2024-11-04,Week 3,2024-11-04,2024-11-10
