,Team Role,Team ID,Opponent ID,Player Name,Pro Team,gameDate,Injury Status,Injured,week,week_start_dt,week_end_dt
287,Home,11,17,Dereck Lively II,Dallas Mavericks,2024-11-16,ACTIVE,False,Week 4,2024-11-11,2024-11-17
407,Home,11,17,Brandon Boston Jr.,New Orleans Pelicans,2024-11-16,ACTIVE,False,Week 4,2024-11-11,2024-11-17
527,Away,17,11,Luka Doncic,Dallas Mavericks,2024-11-16,ACTIVE,False,Week 4,2024-11-11,2024-11-17
646,Away,17,11,Miles Bridges,Charlotte Hornets,2024-11-16,ACTIVE,False,Week 4,2024-11-11,2024-11-17
926,Away,17,11,Grant Williams,Charlotte Hornets,2024-11-16,ACTIVE,False,Week 4,2024-11-11,2024-11-17
1007,Away,17,11,Yves Missi,New Orleans Pelicans,2024-11-16,ACTIVE,False,Week 4,2024-11-11,2024-11-17
1086,Home,18,6,De'Aaron Fox,Sacramento Kings,2024-11-16,ACTIVE,False,Week 4,2024-11-11,2024-11-17
1167,Home,18,6,Dejounte Murray,New Orleans Pelicans,2024-11-16,OUT,True,Week 4,2024-11-11,2024-11-17
1527,Home,18,6,Trey Jemison III,New Orleans Pelicans,2024-11-16,ACTIVE,False,Week 4,2024-11-11,2024-11-17
2086,Home,16,21,Domantas Sabonis,Sacramento Kings,2024-11-16,OUT,True,Week 4,2024-11-11,2024-11-17
2165,Home,16,21,Jaylen Brown,Boston Celtics,2024-11-16,ACTIVE,False,Week 4,2024-11-11,2024-11-17
2367,Home,16,21,P.J. Washington,Dallas Mavericks,2024-11-16,ACTIVE,False,Week 4,2024-11-11,2024-11-17
2806,Away,21,16,Brandon Miller,Charlotte Hornets,2024-11-16,ACTIVE,False,Week 4,2024-11-11,2024-11-17
2846,Away,21,16,Keegan Murray,Sacramento Kings,2024-11-16,ACTIVE,False,Week 4,2024-11-11,2024-11-17
2967,Away,21,16,Trey Murphy III,New Orleans Pelicans,2024-11-16,OUT,True,Week 4,2024-11-11,2024-11-17
3005,Away,21,16,Al Horford,Boston Celtics,2024-11-16,ACTIVE,False,Week 4,2024-11-11,2024-11-17
3167,Home,10,20,Kyrie Irving,Dallas Mavericks,2024-11-16,ACTIVE,False,Week 4,2024-11-11,2024-11-17
3207,Home,10,20,Zion Williamson,New Orleans Pelicans,2024-11-16,OUT,True,Week 4,2024-11-11,2024-11-17
