ADP,PLAYER,POS,TEAM,GP,MPG,FGM,FG%,FTM,FT%,3PTM,3P%,PTS,TREB,AST,STL,BLK,TO,DD,A/TO,TOTAL,FGM_calc,FGA,FTM_calc,FTA,3PM_calc,3PA,DD_calc
1.1,Nikola Jokic,C,DEN,74,35.7,808.1,0.579,361.1,0.808,156.1,0.392,2132.7,939.1,762.9,118.4,57,234.6,62.4,3.3,39.93,808.1,1394.9,361.1,447.0,156.1,398.1,TRUE
3.8,Giannis Antetokounmpo,"PF,C",MIL,70,34.7,839.3,0.607,476.7,0.633,24.5,0.259,2179.1,828.1,476.7,60.9,79.1,240.1,57.5,2,29.38,839.3,1382.5,476.7,752.5,24.5,94.5,TRUE
3.8,Shai Gilgeous-Alexander,PG,OKC,74,34.1,819.2,0.527,577.9,0.886,156.9,0.369,2373.2,392.9,466.9,128,71,170.9,5.8,2.7,28.02,819.2,1555.5,577.9,651.9,156.9,425.5,TRUE
10.1,Domantas Sabonis,C,SAC,76,35.2,573,0.58,236.4,0.757,69.2,0.394,1451.6,1054.9,502.4,61.6,37.2,228,66.2,2.2,26.81,573.0,988.8,236.4,312.4,69.2,175.6,TRUE
10.5,Karl-Anthony Towns,"PF,C",NY,69,33.8,579.6,0.516,307.7,0.846,144.2,0.418,1611.2,812.8,213.2,62.8,46.9,191.1,55.6,1.1,26.25,579.6,1123.3,307.7,363.6,144.2,345.0,TRUE
4.7,Luka Doncic,"PG,SG",LAL,70,35.8,728.7,0.473,453.6,0.785,265.3,0.376,2177,608.3,616,108.5,34.3,265.3,29.4,2.3,24.91,728.7,1542.1,453.6,578.2,265.3,705.6,TRUE
2.8,Victor Wembanyama,C,SA,65,32.4,561.6,0.47,266.5,0.827,189.2,0.356,1578.9,717.6,241.8,72.2,242.5,239.2,38.2,1,24.2,561.6,1196.0,266.5,322.4,189.2,531.7,TRUE
11.8,Trae Young,PG,ATL,72,36,558.7,0.428,469.4,0.867,219.6,0.353,1806.5,215.3,817.9,91.4,13,329.8,48.3,2.5,23.79,558.7,1304.6,469.4,541.4,219.6,621.4,TRUE
7.1,Anthony Edwards,"PG,SG",MIN,79,36.1,732.3,0.449,444.8,0.837,327.1,0.394,2236.5,466.9,405.3,101.9,49,259.9,7,1.6,22.16,732.3,1629.8,444.8,531.7,327.1,829.5,TRUE
15.4,James Harden,"PG,SG",LAC,75,34.8,464.3,0.425,406.5,0.874,212.3,0.364,1547.3,415.5,639,98.3,56.3,271.5,36.1,2.4,21.76,464.3,1091.3,406.5,465.0,212.3,582.8,TRUE
9.7,Anthony Davis,"PF,C",DAL,63,34.5,589.7,0.521,352.2,0.787,47.3,0.265,1578.8,745.9,223,75,132.9,135.5,44.5,1.7,20.35,589.7,1130.9,352.2,447.3,47.3,178.3,TRUE
