Player Name,From Year,To Year,Position,Height,Weight,Birth Date,Player URL
Alaa Abdelnaby,1991,1995,F-C,6-10,240,"June 24, 1968",https://www.basketball-reference.com/players/a/abdelal01.html
Zaid Abdul-Aziz,1969,1978,C-F,6-9,235,"April 7, 1946",https://www.basketball-reference.com/players/a/abdulza01.html
Kareem Abdul-Jabbar,1970,1989,C,7-2,225,"April 16, 1947",https://www.basketball-reference.com/players/a/abdulka01.html
Mahmoud Abdul-Rauf,1991,2001,G,6-1,162,"March 9, 1969",https://www.basketball-reference.com/players/a/abdulma02.html
Tariq Abdul-Wahad,1998,2003,F,6-6,223,"November 3, 1974",https://www.basketball-reference.com/players/a/abdulta01.html
Shareef Abdur-Rahim,1997,2008,F,6-9,225,"December 11, 1976",https://www.basketball-reference.com/players/a/abdursh01.html
Tom Abernethy,1977,1981,F,6-7,220,"May 6, 1954",https://www.basketball-reference.com/players/a/abernto01.html
Forest Able,1957,1957,G,6-3,180,"July 27, 1932",https://www.basketball-reference.com/players/a/ablefo01.html
John Abramovic,1947,1948,F,6-3,195,"February 9, 1919",https://www.basketball-reference.com/players/a/abramjo01.html
Álex Abrines,2017,2019,G-F,6-6,200,"August 1, 1993",https://www.basketball-reference.com/players/a/abrinal01.html
Precious Achiuwa,2021,2024,F,6-8,225,"September 19, 1999",https://www.basketball-reference.com/players/a/achiupr01.html
Alex Acker,2006,2009,G,6-5,185,"January 21, 1983",https://www.basketball-reference.com/players/a/ackeral01.html
Don Ackerman,1954,1954,G,6-0,183,"September 4, 1930",https://www.basketball-reference.com/players/a/ackerdo01.html
Mark Acres,1988,1993,F-C,6-11,220,"November 15, 1962",https://www.basketball-reference.com/players/a/acresma01.html
Bud Acton,1968,1968,F,6-6,210,"January 11, 1942",https://www.basketball-reference.com/players/a/actonbu01.html
Quincy Acy,2013,2019,F-C,6-7,240,"October 6, 1990",https://www.basketball-reference.com/players/a/acyqu01.html
Alvan Adams,1976,1988,C-F,6-9,210,"July 19, 1954",https://www.basketball-reference.com/players/a/adamsal01.html
Don Adams,1971,1977,F,6-6,210,"November 27, 1947",https://www.basketball-reference.com/players/a/adamsdo01.html
George Adams,1973,1975,F-G,6-5,210,"May 15, 1949",https://www.basketball-reference.com/players/a/adamsge01.html
Hassan Adams,2007,2009,G,6-4,220,"June 20, 1984",https://www.basketball-reference.com/players/a/adamsha01.html
Jaylen Adams,2019,2021,G,6-0,225,"May 4, 1996",https://www.basketball-reference.com/players/a/adamsja01.html
Jordan Adams,2015,2016,G,6-5,209,"July 8, 1994",https://www.basketball-reference.com/players/a/adamsjo01.html
Michael Adams,1986,1996,G,5-10,162,"January 19, 1963",https://www.basketball-reference.com/players/a/adamsmi01.html
Steven Adams,2014,2023,C,6-11,265,"July 20, 1993",https://www.basketball-reference.com/players/a/adamsst01.html
Rafael Addison,1987,1997,F-G,6-7,215,"July 22, 1964",https://www.basketball-reference.com/players/a/addisra01.html
Bam Adebayo,2018,2024,C-F,6-9,255,"July 18, 1997",https://www.basketball-reference.com/players/a/adebaba01.html
Deng Adel,2019,2019,F,6-7,200,"February 1, 1997",https://www.basketball-reference.com/players/a/adelde01.html
Rick Adelman,1969,1975,G,6-1,175,"June 16, 1946",https://www.basketball-reference.com/players/a/adelmri01.html
Jeff Adrien,2011,2015,F,6-7,245,"February 10, 1986",https://www.basketball-reference.com/players/a/adrieje01.html
Arron Afflalo,2008,2018,G-F,6-5,210,"October 15, 1985",https://www.basketball-reference.com/players/a/afflaar01.html
Ochai Agbaji,2023,2024,G,6-5,215,"April 20, 2000",https://www.basketball-reference.com/players/a/agbajoc01.html
Maurice Ager,2007,2011,G,6-5,202,"February 9, 1984",https://www.basketball-reference.com/players/a/agerma01.html
Mark Aguirre,1982,1994,F-G,6-6,232,"December 10, 1959",https://www.basketball-reference.com/players/a/aguirma01.html
Blake Ahearn,2008,2012,G,6-2,190,"May 27, 1984",https://www.basketball-reference.com/players/a/ahearbl01.html
Danny Ainge,1982,1995,G,6-5,185,"March 17, 1959",https://www.basketball-reference.com/players/a/aingeda01.html
Matt Aitch,1968,1968,F,6-7,230,"September 21, 1944",https://www.basketball-reference.com/players/a/aitchma01.html
Alexis Ajinça,2009,2017,C-F,7-2,248,"May 6, 1988",https://www.basketball-reference.com/players/a/ajincal01.html
Henry Akin,1967,1969,C-F,6-10,225,"July 31, 1944",https://www.basketball-reference.com/players/a/akinhe01.html
Josh Akognon,2013,2013,G,5-11,185,"February 10, 1986",https://www.basketball-reference.com/players/a/akognjo01.html
DeVaughn Akoon-Purcell,2019,2019,G,6-6,200,"June 5, 1993",https://www.basketball-reference.com/players/a/akoonde01.html
Solomon Alabi,2011,2012,C,7-1,251,"March 21, 1988",https://www.basketball-reference.com/players/a/alabiso01.html
Mark Alarie,1987,1991,F,6-8,217,"December 11, 1963",https://www.basketball-reference.com/players/a/alarima01.html
Gary Alcorn,1960,1961,C,6-9,225,"October 8, 1936",https://www.basketball-reference.com/players/a/alcorga01.html
Santi Aldama,2022,2024,F,6-11,224,"January 10, 2001",https://www.basketball-reference.com/players/a/aldamsa01.html
Furkan Aldemir,2015,2015,F-C,6-10,240,"August 9, 1991",https://www.basketball-reference.com/players/a/aldemfu01.html
