DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2021-10-20,26-034,DEN,AWAY,PHO,W (+12),1,29:01,5,6,.833,1,1,1.000,1,2,.500,2,6,8,4,0,1,3,2,12,12.3,+22,Aaron Gordon
2021-10-22,26-036,DEN,HOME,SAS,W (+6),1,29:49,3,6,.500,0,1,.000,2,2,1.000,2,3,5,1,0,0,3,5,8,3.0,+5,Aaron Gordon
2021-10-25,26-039,DEN,HOME,CLE,L (-12),1,28:05,5,14,.357,1,5,.200,1,2,.500,3,6,9,1,0,0,3,2,12,4.6,-7,Aaron Gordon
2021-10-26,26-040,DEN,AWAY,UTA,L (-12),1,34:08,9,13,.692,0,3,.000,2,4,.500,1,6,7,1,1,1,4,5,20,12.6,-1,Aaron Gordon
2021-10-29,26-043,DEN,HOME,DAL,W (+31),1,23:35,6,9,.667,1,2,.500,0,1,.000,1,4,5,2,1,1,2,1,13,11.3,+24,Aaron Gordon
2021-10-30,26-044,DEN,AWAY,MIN,W (+2),1,31:12,4,10,.400,0,2,.000,4,4,1.000,2,2,4,2,2,2,0,0,12,13.4,+26,Aaron Gordon
2021-11-01,26-046,DEN,AWAY,MEM,L (-9),1,28:15,6,12,.500,2,5,.400,1,3,.333,3,7,10,1,0,0,1,0,15,12.1,+5,Aaron Gordon
2021-11-03,26-048,DEN,AWAY,MEM,L (-2),1,30:02,4,5,.800,1,1,1.000,0,0,,1,0,1,1,0,2,1,5,9,6.9,+5,Aaron Gordon
2021-11-06,26-051,DEN,HOME,HOU,W (+1),1,27:42,3,7,.429,3,6,.500,0,0,,1,2,3,2,0,2,1,1,9,8.0,+6,Aaron Gordon
2021-11-08,26-053,DEN,HOME,MIA,W (+17),1,36:18,4,11,.364,0,5,.000,2,2,1.000,1,6,7,3,0,1,3,3,10,5.0,+14,Aaron Gordon
2021-11-10,26-055,DEN,HOME,IND,W (+3),1,32:45,2,10,.200,0,0,,4,5,.800,6,3,9,2,1,0,0,2,8,8.1,+2,Aaron Gordon
2021-11-12,26-057,DEN,HOME,ATL,W (+9),1,34:10,7,11,.636,3,5,.600,6,6,1.000,1,3,4,4,2,3,1,2,23,24.8,+18,Aaron Gordon
