DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2021-10-20,35-139,BOS,AWAY,NYK,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Al Horford
2021-10-22,35-141,BOS,HOME,TOR,L (-32),1,24:33,5,12,.417,0,3,.000,1,1,1.000,1,10,11,2,0,5,1,1,11,11.8,-7,Al Horford
2021-10-24,35-143,BOS,AWAY,HOU,W (+10),1,29:35,4,12,.333,1,6,.167,8,9,.889,2,8,10,1,3,3,1,3,17,17.2,+18,Al Horford
2021-10-25,35-144,BOS,AWAY,CHO,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Al Horford
2021-10-27,35-146,BOS,HOME,WAS,L (-9),1,26:09,7,12,.583,2,4,.500,0,0,,3,8,11,4,1,1,1,2,16,17.6,-2,Al Horford
2021-10-30,35-149,BOS,AWAY,WAS,L (-3),1,40:56,4,9,.444,0,1,.000,0,0,,0,10,10,5,1,6,0,4,8,13.4,-2,Al Horford
2021-11-01,35-151,BOS,HOME,CHI,L (-14),1,32:59,8,15,.533,3,7,.429,1,1,1.000,2,8,10,3,1,1,3,1,20,16.9,-10,Al Horford
2021-11-03,35-153,BOS,AWAY,ORL,W (+13),1,26:27,3,9,.333,2,5,.400,4,4,1.000,2,10,12,7,1,3,3,2,12,15.5,+14,Al Horford
2021-11-04,35-154,BOS,AWAY,MIA,W (+17),1,29:28,3,9,.333,2,7,.286,2,3,.667,2,5,7,1,0,2,0,4,10,7.9,+10,Al Horford
2021-11-06,35-156,BOS,AWAY,DAL,L (-3),1,26:03,5,11,.455,0,4,.000,4,4,1.000,1,3,4,3,0,0,0,3,14,10.8,-4,Al Horford
2021-11-10,35-160,BOS,HOME,TOR,W (+16),1,24:10,5,11,.455,0,3,.000,0,0,,1,5,6,2,1,1,1,0,10,8.6,-6,Al Horford
