DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2021-10-20,27-234,CHI,AWAY,DET,W (+6),0,27:08,1,5,.200,1,3,.333,0,0,,0,3,3,3,4,2,2,5,3,4.3,-11,Alex Caruso
2021-10-22,27-236,CHI,HOME,NOP,W (+16),0,28:49,4,7,.571,0,0,,1,2,.500,1,2,3,3,0,0,0,0,9,8.7,+22,Alex Caruso
2021-10-23,27-237,CHI,HOME,DET,W (+15),0,26:31,3,4,.750,2,2,1.000,4,4,1.000,0,0,0,4,5,1,2,1,12,16.5,+9,Alex Caruso
2021-10-25,27-239,CHI,AWAY,TOR,W (+3),0,27:43,2,4,.500,1,1,1.000,3,3,1.000,1,1,2,2,4,0,4,4,8,6.8,-7,Alex Caruso
2021-10-28,27-242,CHI,HOME,NYK,L (-1),0,32:54,4,10,.400,2,6,.333,0,0,,0,1,1,6,2,0,0,2,10,10.3,+7,Alex Caruso
2021-10-30,27-244,CHI,HOME,UTA,W (+8),0,24:59,3,6,.500,0,0,,1,2,.500,1,3,4,3,1,0,4,2,7,3.5,-9,Alex Caruso
2021-11-01,27-246,CHI,AWAY,BOS,W (+14),0,23:17,2,5,.400,1,3,.333,4,4,1.000,0,3,3,6,2,1,3,4,9,9.5,+21,Alex Caruso
2021-11-03,27-248,CHI,AWAY,PHI,L (-5),0,31:55,3,6,.500,0,2,.000,0,0,,0,3,3,6,2,0,0,4,6,8.5,-1,Alex Caruso
2021-11-06,27-251,CHI,HOME,PHI,L (-9),0,32:13,3,7,.429,0,3,.000,3,4,.750,2,1,3,4,1,0,2,3,9,7.2,-14,Alex Caruso
2021-11-08,27-253,CHI,HOME,BRK,W (+23),0,23:57,1,4,.250,1,3,.333,2,2,1.000,0,4,4,2,2,0,2,1,5,4.8,+9,Alex Caruso
2021-11-10,27-255,CHI,HOME,DAL,W (+10),0,22:44,6,7,.857,3,4,.750,1,1,1.000,0,2,2,1,6,0,2,2,16,18.0,-3,Alex Caruso
2021-11-12,27-257,CHI,AWAY,GSW,L (-26),0,24:45,2,5,.400,0,3,.000,0,0,,0,3,3,5,1,0,1,4,4,4.1,-16,Alex Caruso
2021-11-14,27-259,CHI,AWAY,LAC,W (+10),1,38:40,2,11,.182,1,5,.200,2,2,1.000,3,6,9,5,3,1,1,4,7,8.6,+16,Alex Caruso
2021-11-15,27-260,CHI,AWAY,LAL,W (+18),1,34:27,0,1,.000,0,1,.000,0,0,,0,6,6,5,2,0,1,4,0,4.0,+28,Alex Caruso
2021-11-17,27-262,CHI,AWAY,POR,L (-5),1,37:36,3,9,.333,1,4,.250,5,6,.833,4,6,10,9,2,2,1,4,12,18.2,+5,Alex Caruso
2021-11-19,27-264,CHI,AWAY,DEN,W (+6),1,34:18,1,8,.125,0,5,.000,2,2,1.000,1,3,4,2,1,1,0,3,4,2.3,-7,Alex Caruso
2021-11-21,27-266,CHI,HOME,NYK,W (+6),1,30:02,2,7,.286,1,4,.250,2,2,1.000,0,4,4,4,0,0,0,6,7,4.5,+17,Alex Caruso
2021-11-22,27-267,CHI,HOME,IND,L (-32),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Alex Caruso
2021-11-24,27-269,CHI,AWAY,HOU,L (-5),0,32:49,6,10,.600,3,5,.600,0,0,,1,3,4,2,3,0,0,2,15,15.6,-6,Alex Caruso
2021-11-26,27-271,CHI,AWAY,ORL,W (+35),0,25:15,2,5,.400,0,1,.000,0,0,,1,4,5,3,4,0,0,1,4,8.9,+38,Alex Caruso
2021-11-27,27-272,CHI,HOME,MIA,L (-3),0,34:07,6,8,.750,3,4,.750,7,7,1.000,2,1,3,6,1,0,2,0,22,23.7,+3,Alex Caruso
2021-11-29,27-274,CHI,HOME,CHO,W (+14),0,25:05,5,7,.714,1,3,.333,3,6,.500,1,2,3,7,0,1,3,1,14,13.4,-2,Alex Caruso
