DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,21-092,HOU,AWAY,ORL,L (-30),1,28:28,6,11,.545,0,1,.000,2,4,.500,2,6,8,6,0,0,1,4,14,12.7,-2,Alperen Sengun
2023-10-27,21-094,HOU,AWAY,SAS,L (-4),1,40:46,11,18,.611,1,3,.333,2,6,.333,6,8,14,7,2,1,6,6,25,21.0,-4,Alperen Sengun
2023-10-29,21-096,HOU,HOME,GSW,L (-11),1,33:11,7,15,.467,1,2,.500,4,4,1.000,4,1,5,7,0,0,0,3,19,18.1,-10,Alperen Sengun
2023-11-01,21-099,HOU,HOME,CHO,W (+9),1,27:09,9,12,.750,1,1,1.000,0,1,.000,1,6,7,4,1,0,1,1,19,18.7,+9,Alperen Sengun
2023-11-04,21-102,HOU,HOME,SAC,W (+18),1,34:16,7,13,.538,1,3,.333,0,0,,0,9,9,6,2,0,2,2,15,14.8,+27,Alperen Sengun
2023-11-06,21-104,HOU,HOME,SAC,W (+25),1,25:37,7,13,.538,0,2,.000,3,4,.750,2,6,8,12,1,0,1,3,17,20.7,+30,Alperen Sengun
2023-11-08,21-106,HOU,HOME,LAL,W (+34),1,25:03,8,10,.800,0,0,,3,4,.750,0,7,7,4,0,0,1,1,19,18.3,+18,Alperen Sengun
2023-11-10,21-108,HOU,HOME,NOP,W (+3),1,33:38,11,15,.733,0,2,.000,2,5,.400,4,4,8,3,2,1,4,3,24,20.3,-3,Alperen Sengun
2023-11-12,21-110,HOU,HOME,DEN,W (+3),1,34:42,9,18,.500,0,2,.000,5,6,.833,4,4,8,5,1,2,3,2,23,19.7,-8,Alperen Sengun
2023-11-17,21-115,HOU,AWAY,LAC,L (-6),1,34:17,8,18,.444,2,5,.400,5,7,.714,2,6,8,4,1,0,6,4,23,12.2,-17,Alperen Sengun
2023-11-19,21-117,HOU,AWAY,LAL,L (-1),1,30:37,11,16,.688,1,2,.500,0,0,,2,8,10,5,0,1,4,4,23,18.6,+21,Alperen Sengun
2023-11-20,21-118,HOU,AWAY,GSW,L (-5),1,36:32,13,23,.565,2,3,.667,2,5,.400,7,6,13,5,1,1,3,4,30,25.2,+6,Alperen Sengun
2023-11-22,21-120,HOU,HOME,MEM,W (+20),1,31:43,4,9,.444,1,1,1.000,2,3,.667,1,6,7,3,0,3,2,5,11,8.6,+21,Alperen Sengun
2023-11-24,21-122,HOU,HOME,DEN,W (+19),1,42:48,8,19,.421,0,4,.000,5,6,.833,1,14,15,8,2,1,5,4,21,17.1,+12,Alperen Sengun
2023-11-28,21-126,HOU,AWAY,DAL,L (-6),1,34:58,10,19,.526,0,2,.000,11,14,.786,4,5,9,6,0,1,3,2,31,25.9,-8,Alperen Sengun
2023-11-29,21-127,HOU,AWAY,DEN,L (-10),1,28:10,10,18,.556,2,6,.333,0,0,,2,5,7,4,1,0,1,3,22,17.9,-19,Alperen Sengun
2023-12-02,21-130,HOU,AWAY,LAL,L (-10),1,33:44,8,25,.320,3,8,.375,2,2,1.000,3,10,13,5,2,2,0,2,21,17.9,-6,Alperen Sengun
