DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2021-10-20,28-071,PHI,AWAY,NOP,W (+20),0,19:03,2,4,.500,0,0,,2,3,.667,2,15,17,3,2,2,4,2,6,10.2,+22,Andre Drummond
2021-10-22,28-073,PHI,HOME,BRK,L (-5),0,18:17,2,3,.667,0,1,.000,0,0,,3,7,10,2,2,2,1,2,4,9.9,-1,Andre Drummond
2021-10-24,28-075,PHI,AWAY,OKC,W (+12),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Andre Drummond
2021-10-26,28-077,PHI,AWAY,NYK,L (-13),0,14:23,2,5,.400,0,0,,2,2,1.000,5,4,9,2,1,0,2,3,6,7.2,-9,Andre Drummond
2021-10-28,28-079,PHI,HOME,DET,W (+8),0,14:25,1,2,.500,0,0,,0,0,,0,4,4,0,0,1,4,6,2,-3.5,0,Andre Drummond
2021-10-30,28-081,PHI,HOME,ATL,W (+28),0,13:04,4,6,.667,0,0,,0,0,,1,4,5,1,2,0,2,1,8,7.6,+7,Andre Drummond
2021-11-01,28-083,PHI,HOME,POR,W (+10),1,33:34,5,11,.455,0,0,,4,4,1.000,4,11,15,7,5,1,0,4,14,23.4,+15,Andre Drummond
2021-11-03,28-085,PHI,HOME,CHI,W (+5),0,13:55,0,3,.000,0,0,,2,2,1.000,2,3,5,3,1,0,3,0,2,2.3,-5,Andre Drummond
2021-11-04,28-086,PHI,AWAY,DET,W (+11),0,17:58,3,6,.500,0,0,,2,6,.333,5,5,10,3,1,0,1,2,8,9.7,+20,Andre Drummond
2021-11-06,28-088,PHI,AWAY,CHI,W (+9),0,13:58,1,3,.333,0,0,,1,2,.500,0,2,2,1,0,0,1,5,3,-0.8,-7,Andre Drummond
2021-11-08,28-090,PHI,HOME,NYK,L (-7),1,38:24,5,9,.556,0,0,,4,6,.667,8,17,25,1,0,2,1,2,14,19.9,-5,Andre Drummond
2021-11-09,28-091,PHI,HOME,MIL,L (-9),1,33:06,8,13,.615,0,0,,1,2,.500,7,13,20,3,1,2,3,3,17,19.8,-12,Andre Drummond
2021-11-11,28-093,PHI,HOME,TOR,L (-6),1,30:25,2,8,.250,0,0,,0,0,,5,7,12,3,0,4,0,1,4,9.3,-2,Andre Drummond
2021-11-13,28-095,PHI,AWAY,IND,L (-5),1,30:47,4,12,.333,0,0,,3,6,.500,8,8,16,2,1,1,1,2,11,12.3,+11,Andre Drummond
2021-11-16,28-098,PHI,AWAY,UTA,L (-35),1,12:18,3,6,.500,0,0,,0,1,.000,1,5,6,1,1,1,2,1,6,4.8,-22,Andre Drummond
2021-11-18,28-100,PHI,AWAY,DEN,W (+14),1,28:42,2,5,.400,0,0,,0,1,.000,0,6,6,1,0,0,1,5,4,0.4,-6,Andre Drummond
2021-11-20,28-102,PHI,AWAY,POR,L (-7),1,22:51,3,3,1.000,0,0,,0,0,,0,4,4,3,1,1,0,4,6,8.5,-8,Andre Drummond
2021-11-22,28-104,PHI,AWAY,SAC,W (+8),1,31:12,3,8,.375,0,0,,3,6,.500,7,16,23,3,1,3,2,4,9,14.7,+19,Andre Drummond
2021-11-24,28-106,PHI,AWAY,GSW,L (-20),1,27:12,0,5,.000,0,0,,1,2,.500,3,9,12,2,0,0,5,4,1,-3.3,-12,Andre Drummond
2021-11-27,28-109,PHI,HOME,MIN,L (-1),0,12:36,1,1,1.000,0,0,,0,0,,1,2,3,1,0,1,2,3,2,1.2,-10,Andre Drummond
2021-11-29,28-111,PHI,HOME,ORL,W (+5),0,18:08,3,4,.750,0,0,,1,3,.333,6,6,12,1,0,2,3,1,7,9.3,+2,Andre Drummond
2021-12-01,28-113,PHI,AWAY,BOS,L (-1),0,14:46,2,2,1.000,0,0,,0,0,,3,6,9,1,0,2,0,3,4,8.2,+8,Andre Drummond
2021-12-03,28-115,PHI,AWAY,ATL,W (+2),0,11:52,2,2,1.000,0,0,,0,1,.000,3,4,7,1,2,0,1,0,4,8.0,-13,Andre Drummond
2021-12-06,28-118,PHI,AWAY,CHO,W (+3),0,12:20,3,5,.600,0,0,,0,2,.000,2,1,3,2,1,2,1,3,6,6.2,-4,Andre Drummond
2021-12-08,28-120,PHI,AWAY,CHO,W (+4),0,15:28,2,2,1.000,0,0,,4,4,1.000,3,2,5,2,2,1,3,3,8,10.0,+5,Andre Drummond
2021-12-09,28-121,PHI,HOME,UTA,L (-22),0,10:08,0,1,.000,0,0,,0,0,,0,3,3,1,0,0,2,2,0,-1.9,-11,Andre Drummond
2021-12-11,28-123,PHI,HOME,GSW,W (+9),0,15:29,4,5,.800,0,0,,1,2,.500,3,6,9,1,2,0,0,1,9,12.9,+18,Andre Drummond
2021-12-13,28-125,PHI,AWAY,MEM,L (-35),1,20:44,3,7,.429,0,0,,0,0,,3,6,9,3,0,3,2,1,6,8.0,-13,Andre Drummond
2021-12-15,28-127,PHI,HOME,MIA,L (-5),0,10:47,0,0,,0,0,,0,0,,1,3,4,0,1,0,0,2,0,1.8,-12,Andre Drummond
2021-12-16,28-128,PHI,AWAY,BRK,L (-9),0,14:47,2,2,1.000,0,0,,0,0,,0,6,6,2,3,0,2,2,4,6.8,-4,Andre Drummond
2021-12-20,28-132,PHI,AWAY,BOS,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Andre Drummond
2021-12-23,28-135,PHI,HOME,ATL,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Andre Drummond
2021-12-26,28-138,PHI,AWAY,WAS,W (+21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Andre Drummond
2021-12-28,28-140,PHI,AWAY,TOR,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Andre Drummond
2021-12-30,28-142,PHI,AWAY,BRK,W (+8),0,15:58,5,8,.625,0,0,,0,1,.000,5,5,10,1,1,1,2,2,10,10.6,+8,Andre Drummond
2022-01-03,28-146,PHI,HOME,HOU,W (+20),0,16:39,3,5,.600,0,0,,2,2,1.000,2,5,7,2,1,1,0,1,8,11.3,+6,Andre Drummond
2022-01-05,28-148,PHI,AWAY,ORL,W (+10),0,18:16,5,8,.625,0,0,,2,3,.667,4,4,8,4,2,1,0,2,12,16.7,+14,Andre Drummond
2022-01-07,28-150,PHI,HOME,SAS,W (+19),0,13:37,2,4,.500,0,0,,1,2,.500,3,3,6,2,3,0,4,3,5,4.8,-7,Andre Drummond
2022-01-10,28-153,PHI,AWAY,HOU,W (+20),0,17:05,6,8,.750,0,0,,1,3,.333,4,6,10,3,1,1,1,2,13,15.6,+13,Andre Drummond
2022-01-12,28-155,PHI,HOME,CHO,L (-11),0,19:41,1,2,.500,0,0,,0,4,.000,0,8,8,1,1,0,1,1,2,2.1,+4,Andre Drummond
2022-01-14,28-157,PHI,HOME,BOS,W (+12),0,15:36,4,5,.800,0,0,,1,2,.500,3,5,8,2,1,0,1,4,9,10.1,-8,Andre Drummond
2022-01-15,28-158,PHI,AWAY,MIA,W (+11),0,11:09,0,0,,0,0,,1,2,.500,0,4,4,2,2,1,3,2,1,2.1,-5,Andre Drummond
