DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2019-10-23,20-137,POR,HOME,DEN,L (-8),0,12:16,2,7,.286,0,2,.000,1,2,.500,0,0,0,0,2,0,1,2,5,0.7,-5,Anfernee Simons
2019-10-25,20-139,POR,AWAY,SAC,W (+10),0,21:09,6,9,.667,3,6,.500,0,0,,0,2,2,0,1,0,3,1,15,9.3,-3,Anfernee Simons
2019-10-27,20-141,POR,AWAY,DAL,W (+2),0,15:04,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,1,1,3,0.6,+2,Anfernee Simons
2019-10-28,20-142,POR,AWAY,SAS,L (-3),0,21:01,5,9,.556,0,1,.000,0,0,,1,1,2,1,1,0,2,2,10,5.6,+4,Anfernee Simons
2019-10-30,20-144,POR,AWAY,OKC,W (+3),0,15:32,3,6,.500,1,3,.333,0,0,,0,3,3,1,0,0,0,2,7,4.8,+1,Anfernee Simons
2019-11-02,20-147,POR,HOME,PHI,L (-1),0,14:18,4,6,.667,3,5,.600,2,2,1.000,0,1,1,2,0,1,2,1,13,10.4,-10,Anfernee Simons
2019-11-04,20-149,POR,AWAY,GSW,L (-9),0,19:07,5,10,.500,1,3,.333,3,3,1.000,0,2,2,1,2,0,0,4,14,10.7,+8,Anfernee Simons
2019-11-07,20-152,POR,AWAY,LAC,L (-6),0,26:07,5,13,.385,3,8,.375,4,6,.667,1,1,2,2,0,0,0,3,17,10.3,-7,Anfernee Simons
2019-11-08,20-153,POR,HOME,BRK,L (-4),0,35:35,5,14,.357,2,7,.286,3,4,.750,0,4,4,2,0,1,0,1,15,9.7,-4,Anfernee Simons
2019-11-10,20-155,POR,HOME,ATL,W (+11),0,24:10,8,12,.667,3,5,.600,1,1,1.000,1,2,3,2,2,0,2,3,20,16.3,-6,Anfernee Simons
2019-11-12,20-157,POR,AWAY,SAC,L (-8),0,27:48,2,11,.182,1,5,.200,0,0,,0,2,2,2,0,0,2,2,5,-2.7,-5,Anfernee Simons
2019-11-13,20-158,POR,HOME,TOR,L (-8),0,27:20,6,11,.545,3,8,.375,2,2,1.000,0,1,1,1,0,0,1,1,17,11.3,-8,Anfernee Simons
2019-11-16,20-161,POR,AWAY,SAS,W (+5),0,16:55,3,8,.375,1,4,.250,0,0,,0,1,1,2,0,0,1,0,7,3.3,-18,Anfernee Simons
2019-11-18,20-163,POR,AWAY,HOU,L (-24),0,21:56,3,10,.300,1,5,.200,3,4,.750,0,1,1,2,0,0,0,3,10,4.3,-8,Anfernee Simons
2019-11-19,20-164,POR,AWAY,NOP,L (-11),1,36:01,4,13,.308,3,5,.600,2,4,.500,0,3,3,4,0,0,0,2,13,7.6,-8,Anfernee Simons
2019-11-21,20-166,POR,AWAY,MIL,L (-8),0,17:26,2,9,.222,0,4,.000,2,2,1.000,1,1,2,1,1,0,0,2,6,2.4,-3,Anfernee Simons
2019-11-23,20-168,POR,AWAY,CLE,L (-6),0,14:25,4,6,.667,2,3,.667,1,2,.500,0,2,2,2,1,0,0,2,11,10.2,-15,Anfernee Simons
2019-11-25,20-170,POR,AWAY,CHI,W (+23),0,20:43,1,5,.200,0,2,.000,0,0,,0,2,2,0,0,0,4,2,2,-5.3,+4,Anfernee Simons
2019-11-27,20-172,POR,HOME,OKC,W (+17),0,26:37,6,14,.429,1,4,.250,1,1,1.000,0,0,0,1,0,0,0,3,14,6.1,+5,Anfernee Simons
