DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2020-12-22,27-286,LAL,HOME,LAC,L (-7),1,30:53,8,15,.533,0,2,.000,2,2,1.000,0,7,7,2,0,0,4,1,18,9.8,-16,Anthony Davis
2020-12-25,27-289,LAL,HOME,DAL,W (+23),1,30:17,10,16,.625,3,5,.600,5,7,.714,1,7,8,5,2,0,2,2,28,25.5,+16,Anthony Davis
2020-12-27,27-291,LAL,HOME,MIN,W (+36),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Anthony Davis
2020-12-28,27-292,LAL,HOME,POR,L (-8),1,37:49,6,14,.429,0,0,,1,2,.500,1,9,10,5,1,0,3,1,13,9.7,+5,Anthony Davis
2020-12-30,27-294,LAL,AWAY,SAS,W (+14),1,31:37,9,15,.600,0,2,.000,2,2,1.000,1,7,8,3,0,2,1,3,20,17.2,+17,Anthony Davis
2021-01-01,27-296,LAL,AWAY,SAS,W (+6),1,35:03,13,26,.500,4,6,.667,4,7,.571,7,4,11,5,2,0,1,2,34,29.6,0,Anthony Davis
2021-01-03,27-298,LAL,AWAY,MEM,W (+14),1,32:12,6,15,.400,0,2,.000,5,6,.833,2,7,9,1,3,3,3,0,17,14.8,+5,Anthony Davis
2021-01-05,27-300,LAL,AWAY,MEM,W (+2),1,34:24,10,20,.500,4,10,.400,3,4,.750,0,10,10,4,3,3,4,0,26,22.5,+12,Anthony Davis
2021-01-07,27-302,LAL,HOME,SAS,L (-9),1,34:20,11,17,.647,1,3,.333,0,2,.000,2,8,10,3,1,3,1,2,23,21.9,-16,Anthony Davis
2021-01-08,27-303,LAL,HOME,CHI,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Anthony Davis
