DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,22-081,MIN,AWAY,TOR,L (-3),1,38:18,8,27,.296,4,7,.571,6,6,1.000,5,9,14,1,0,0,2,1,26,14.8,0,Anthony Edwards
2023-10-28,22-084,MIN,HOME,MIA,W (+16),1,33:22,7,15,.467,3,5,.600,2,2,1.000,0,2,2,7,0,0,2,3,19,13.6,+21,Anthony Edwards
2023-10-30,22-086,MIN,AWAY,ATL,L (-14),1,37:47,13,21,.619,5,8,.625,0,1,.000,0,5,5,7,1,0,5,4,31,21.9,-9,Anthony Edwards
2023-11-01,22-088,MIN,HOME,DEN,W (+21),1,31:50,8,16,.500,1,4,.250,7,8,.875,0,2,2,1,2,0,4,1,24,14.5,+11,Anthony Edwards
2023-11-04,22-091,MIN,HOME,UTA,W (+28),1,35:44,13,19,.684,2,4,.500,3,5,.600,0,8,8,6,1,0,6,0,31,23.7,+27,Anthony Edwards
2023-11-06,22-093,MIN,HOME,BOS,W (+5),1,38:08,15,25,.600,2,8,.250,6,7,.857,0,9,9,7,1,0,3,5,38,29.7,+18,Anthony Edwards
2023-11-08,22-095,MIN,HOME,NOP,W (+21),1,33:04,10,22,.455,2,8,.250,4,5,.800,0,3,3,8,3,2,3,1,26,21.7,+35,Anthony Edwards
2023-11-10,22-097,MIN,AWAY,SAS,W (+7),1,37:07,9,21,.429,2,8,.250,8,11,.727,2,5,7,5,2,1,4,1,28,20.4,+3,Anthony Edwards
2023-11-12,22-099,MIN,AWAY,GSW,W (+6),1,37:46,11,27,.407,1,9,.111,10,10,1.000,1,5,6,7,2,0,4,0,33,23.6,+15,Anthony Edwards
2023-11-14,22-101,MIN,AWAY,GSW,W (+3),1,36:18,7,16,.438,3,6,.500,3,5,.600,0,4,4,4,3,0,5,1,20,12.4,-9,Anthony Edwards
2023-11-15,22-102,MIN,AWAY,PHO,L (-18),1,30:31,4,16,.250,1,3,.333,4,4,1.000,1,3,4,4,1,1,1,0,13,8.5,-29,Anthony Edwards
2023-11-18,22-105,MIN,AWAY,NOP,W (+1),1,30:08,9,19,.474,5,10,.500,0,0,,0,3,3,4,0,0,3,6,23,11.6,+13,Anthony Edwards
