DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,20-268,DET,AWAY,MIA,L (-1),1,26:53,1,7,.143,1,2,.500,1,2,.500,3,4,7,3,0,5,2,2,4,5.2,-14,Ausar Thompson
2023-10-27,20-270,DET,AWAY,CHO,W (+12),1,29:35,2,9,.222,0,1,.000,2,2,1.000,4,9,13,6,0,1,3,5,6,5.9,+10,Ausar Thompson
2023-10-28,20-271,DET,HOME,CHI,W (+16),1,31:15,3,7,.429,0,2,.000,3,4,.750,3,9,12,5,1,1,2,3,9,11.7,+6,Ausar Thompson
2023-10-30,20-273,DET,AWAY,OKC,L (-12),1,30:36,6,14,.429,0,2,.000,3,4,.750,7,3,10,3,1,3,3,4,15,13.6,-13,Ausar Thompson
2023-11-01,20-275,DET,HOME,POR,L (-9),1,29:56,8,14,.571,0,3,.000,0,0,,3,4,7,2,2,0,2,4,16,12.5,-9,Ausar Thompson
2023-11-02,20-276,DET,AWAY,NOP,L (-9),1,25:03,5,17,.294,0,6,.000,6,7,.857,5,2,7,5,0,1,3,5,16,9.0,-16,Ausar Thompson
2023-11-05,20-279,DET,HOME,PHO,L (-14),1,38:07,6,14,.429,2,3,.667,0,0,,5,4,9,4,4,4,1,3,14,18.7,-13,Ausar Thompson
2023-11-06,20-280,DET,HOME,GSW,L (-11),1,37:31,6,10,.600,1,4,.250,3,3,1.000,4,3,7,2,4,0,1,2,16,18.7,+3,Ausar Thompson
2023-11-08,20-282,DET,AWAY,MIL,L (-2),1,36:48,3,8,.375,0,1,.000,0,0,,3,12,15,3,0,1,2,4,6,6.5,-6,Ausar Thompson
2023-11-10,20-284,DET,HOME,PHI,L (-8),1,32:16,6,11,.545,0,1,.000,0,1,.000,3,10,13,4,1,3,2,4,12,13.7,+2,Ausar Thompson
2023-11-12,20-286,DET,AWAY,CHI,L (-11),1,32:21,2,9,.222,0,1,.000,5,7,.714,6,10,16,2,0,2,3,1,9,9.3,-19,Ausar Thompson
2023-11-14,20-288,DET,HOME,ATL,L (-6),1,34:50,9,12,.750,0,1,.000,3,6,.500,1,7,8,5,3,2,2,3,21,22.5,-4,Ausar Thompson
2023-11-17,20-291,DET,AWAY,CLE,L (-8),1,17:19,4,8,.500,0,1,.000,1,3,.333,5,5,10,2,0,0,5,4,9,4.0,-5,Ausar Thompson
2023-11-19,20-293,DET,AWAY,TOR,L (-29),1,30:16,3,5,.600,0,1,.000,3,4,.750,1,9,10,2,1,1,5,6,9,5.4,-21,Ausar Thompson
2023-11-20,20-294,DET,HOME,DEN,L (-4),1,23:45,4,10,.400,0,0,,0,0,,3,4,7,0,0,2,0,5,8,5.3,-7,Ausar Thompson
2023-11-24,20-298,DET,AWAY,IND,L (-23),1,30:06,4,5,.800,0,0,,0,0,,1,5,6,3,0,2,1,2,8,10.0,+6,Ausar Thompson
2023-11-27,20-301,DET,HOME,WAS,L (-19),1,27:52,8,14,.571,0,2,.000,0,0,,0,4,4,2,2,1,1,4,16,12.1,-3,Ausar Thompson
2023-11-29,20-303,DET,HOME,LAL,L (-26),1,20:53,6,11,.545,0,3,.000,0,0,,1,5,6,0,1,0,0,4,12,8.3,-23,Ausar Thompson
2023-11-30,20-304,DET,AWAY,NYK,L (-6),0,13:10,1,2,.500,1,1,1.000,0,0,,1,6,7,0,0,0,3,5,3,-0.5,-13,Ausar Thompson
2023-12-02,20-306,DET,HOME,CLE,L (-9),0,16:02,2,6,.333,0,2,.000,0,0,,4,4,8,0,0,0,2,5,4,0.6,-14,Ausar Thompson
2023-12-06,20-310,DET,HOME,MEM,L (-14),0,16:07,2,6,.333,1,4,.250,0,0,,2,2,4,0,0,0,0,0,5,3.6,-15,Ausar Thompson
2023-12-08,20-312,DET,AWAY,ORL,L (-32),0,19:36,2,12,.167,0,5,.000,1,2,.500,1,1,2,2,1,0,0,3,5,-0.8,-15,Ausar Thompson
2023-12-11,20-315,DET,HOME,IND,L (-8),1,33:22,8,10,.800,1,2,.500,3,5,.600,2,4,6,2,1,1,1,4,20,18.5,-8,Ausar Thompson
2023-12-13,20-317,DET,HOME,PHI,L (-18),1,29:56,5,7,.714,0,1,.000,0,0,,2,6,8,3,1,0,0,3,10,12.2,-1,Ausar Thompson
2023-12-15,20-319,DET,AWAY,PHI,L (-32),1,21:50,3,5,.600,0,0,,2,2,1.000,0,3,3,1,0,1,1,2,8,6.2,-15,Ausar Thompson
2023-12-16,20-320,DET,AWAY,MIL,L (-32),1,23:37,3,6,.500,1,3,.333,0,0,,0,6,6,1,0,0,0,4,7,4.9,-17,Ausar Thompson
2023-12-18,20-322,DET,AWAY,ATL,L (-6),1,18:56,1,5,.200,0,1,.000,0,0,,3,5,8,3,1,0,2,2,2,2.8,-15,Ausar Thompson
2023-12-21,20-325,DET,HOME,UTA,L (-8),0,18:39,3,3,1.000,0,0,,1,2,.500,1,1,2,1,1,2,3,2,7,6.0,-18,Ausar Thompson
2023-12-23,20-327,DET,AWAY,BRK,L (-11),1,31:02,2,7,.286,1,3,.333,2,3,.667,1,4,5,2,1,0,0,2,7,6.0,-4,Ausar Thompson
2023-12-26,20-330,DET,HOME,BRK,L (-6),0,8:31,0,2,.000,0,0,,2,2,1.000,0,1,1,1,1,1,0,2,2,2.5,-5,Ausar Thompson
2023-12-28,20-332,DET,AWAY,BOS,L (-6),0,11:51,1,2,.500,0,1,.000,0,0,,0,3,3,2,0,0,0,1,2,2.9,-1,Ausar Thompson
2023-12-30,20-334,DET,HOME,TOR,W (+2),0,12:02,2,4,.500,0,2,.000,2,2,1.000,0,1,1,0,0,0,0,1,6,3.9,+3,Ausar Thompson
2024-01-01,20-336,DET,AWAY,HOU,L (-23),0,24:26,2,4,.500,0,0,,1,2,.500,1,3,4,2,0,2,2,2,5,4.2,-10,Ausar Thompson
2024-01-03,20-338,DET,AWAY,UTA,L (-6),0,11:07,1,4,.250,0,1,.000,0,2,.000,2,1,3,1,1,1,0,2,2,2.1,+6,Ausar Thompson
2024-01-05,20-340,DET,AWAY,GSW,L (-4),0,8:31,0,3,.000,0,1,.000,2,2,1.000,0,4,4,1,2,0,1,3,2,1.6,+3,Ausar Thompson
2024-01-07,20-342,DET,AWAY,DEN,L (-17),0,20:14,2,5,.400,0,1,.000,1,2,.500,3,2,5,4,0,0,1,2,5,5.6,0,Ausar Thompson
2024-01-09,20-344,DET,HOME,SAC,L (-21),0,13:31,0,2,.000,0,0,,0,0,,0,2,2,0,3,0,0,3,0,1.0,-2,Ausar Thompson
2024-01-10,20-345,DET,HOME,SAS,L (-22),0,15:02,1,6,.167,0,3,.000,1,1,1.000,0,6,6,1,0,1,1,4,3,-0.2,-10,Ausar Thompson
2024-01-12,20-347,DET,HOME,HOU,L (-2),0,18:17,2,3,.667,0,1,.000,0,0,,2,6,8,0,0,0,1,2,4,4.1,+5,Ausar Thompson
2024-01-15,20-350,DET,AWAY,WAS,W (+12),0,27:11,6,8,.750,0,1,.000,2,3,.667,1,7,8,2,3,0,0,2,14,16.8,+9,Ausar Thompson
2024-01-17,20-352,DET,HOME,MIN,L (-7),0,21:57,3,6,.500,0,2,.000,1,5,.200,3,6,9,1,0,1,0,0,7,7.7,-6,Ausar Thompson
2024-01-20,20-355,DET,HOME,MIL,L (-6),0,32:04,10,15,.667,2,2,1.000,0,0,,5,4,9,1,0,1,1,4,22,19.0,+6,Ausar Thompson
2024-01-22,20-357,DET,HOME,MIL,L (-9),0,18:57,0,1,.000,0,0,,0,2,.000,1,4,5,1,0,0,0,2,0,0.3,+11,Ausar Thompson
2024-01-24,20-359,DET,HOME,CHO,W (+7),0,26:46,3,4,.750,0,1,.000,1,2,.500,0,2,2,1,2,0,2,4,7,4.7,+3,Ausar Thompson
2024-01-27,20-362,DET,HOME,WAS,L (-14),0,17:11,4,6,.667,0,2,.000,0,0,,2,0,2,0,1,2,1,0,8,8.2,-18,Ausar Thompson
2024-01-28,20-363,DET,HOME,OKC,W (+16),0,19:43,3,7,.429,0,1,.000,3,3,1.000,2,2,4,1,1,1,0,1,9,9.3,+16,Ausar Thompson
2024-01-31,21-001,DET,AWAY,CLE,L (-7),0,17:42,2,3,.667,0,1,.000,0,0,,1,5,6,2,2,0,2,0,4,6.3,+19,Ausar Thompson
2024-02-02,21-003,DET,HOME,LAC,L (-11),0,26:08,1,4,.250,0,1,.000,1,2,.500,4,3,7,1,2,1,1,1,3,5.9,-11,Ausar Thompson
2024-02-04,21-005,DET,HOME,ORL,L (-12),0,27:26,7,10,.700,1,3,.333,2,3,.667,4,3,7,1,1,3,2,1,17,17.5,-8,Ausar Thompson
2024-02-07,21-008,DET,AWAY,SAC,W (+13),1,27:24,5,6,.833,0,0,,2,2,1.000,1,5,6,2,2,1,2,5,12,12.1,+12,Ausar Thompson
2024-02-08,21-009,DET,AWAY,POR,W (+6),1,28:30,3,9,.333,0,0,,0,2,.000,2,3,5,1,1,0,0,4,6,2.5,+20,Ausar Thompson
2024-02-10,21-011,DET,AWAY,LAC,L (-6),1,27:30,5,12,.417,0,2,.000,0,0,,4,4,8,5,2,0,2,2,10,10.3,+3,Ausar Thompson
2024-02-13,21-014,DET,AWAY,LAL,L (-14),1,28:55,9,13,.692,1,2,.500,0,0,,1,1,2,0,1,0,1,4,19,12.9,-8,Ausar Thompson
2024-02-14,21-015,DET,AWAY,PHO,L (-16),1,28:57,7,13,.538,0,0,,0,3,.000,4,3,7,1,2,1,0,4,14,12.0,0,Ausar Thompson
