DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2018-10-16,22-088,PHI,AWAY,BOS,L (-18),1,42:45,7,14,.500,0,0,,5,10,.500,3,12,15,8,4,2,3,5,19,21.7,-8,Ben Simmons
2018-10-18,22-090,PHI,HOME,CHI,W (+19),1,33:42,5,8,.625,0,0,,3,3,1.000,1,12,13,11,1,2,3,0,13,20.8,+24,Ben Simmons
2018-10-20,22-092,PHI,HOME,ORL,W (+1),1,7:41,2,3,.667,0,0,,0,0,,0,0,0,4,0,0,0,2,4,4.7,-12,Ben Simmons
2018-10-23,22-095,PHI,AWAY,DET,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Ben Simmons
2018-10-24,22-096,PHI,AWAY,MIL,L (-15),1,37:32,6,15,.400,0,0,,2,6,.333,3,10,13,11,1,0,3,5,14,13.1,-10,Ben Simmons
2018-10-27,22-099,PHI,HOME,CHO,W (+2),1,32:11,5,20,.250,0,0,,4,6,.667,6,6,12,3,1,0,4,4,14,4.7,-6,Ben Simmons
2018-10-29,22-101,PHI,HOME,ATL,W (+21),1,26:54,8,11,.727,0,0,,5,5,1.000,5,7,12,9,0,1,2,3,21,25.9,+19,Ben Simmons
2018-10-30,22-102,PHI,AWAY,TOR,L (-17),1,34:09,4,9,.444,0,0,,3,6,.500,3,5,8,10,0,0,11,4,11,3.1,-12,Ben Simmons
2018-11-01,22-104,PHI,HOME,LAC,W (+9),1,34:41,6,11,.545,0,0,,2,2,1.000,1,2,3,11,1,0,2,3,14,15.5,-2,Ben Simmons
2018-11-03,22-106,PHI,HOME,DET,W (+10),1,29:18,2,4,.500,0,0,,5,6,.833,1,4,5,5,5,0,2,5,9,13.0,+5,Ben Simmons
2018-11-04,22-107,PHI,AWAY,BRK,L (-25),1,27:29,8,11,.727,0,0,,4,9,.444,3,9,12,3,4,0,5,0,20,19.4,-15,Ben Simmons
2018-11-07,22-110,PHI,AWAY,IND,W (+6),1,34:19,7,12,.583,0,0,,2,4,.500,0,10,10,8,0,2,1,3,16,17.4,0,Ben Simmons
2018-11-09,22-112,PHI,HOME,CHO,W (+1),1,41:03,9,16,.563,0,0,,4,6,.667,3,6,9,13,2,3,3,4,22,26.1,-2,Ben Simmons
2018-11-10,22-113,PHI,AWAY,MEM,L (-6),1,38:27,9,15,.600,0,0,,0,0,,2,12,14,5,0,1,6,1,18,13.9,-17,Ben Simmons
