DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,21-128,IND,HOME,WAS,W (+23),1,25:50,6,15,.400,2,6,.333,4,4,1.000,0,4,4,5,2,0,2,1,18,14.2,+14,Bennedict Mathurin
2023-10-28,21-131,IND,AWAY,CLE,W (+12),1,17:04,5,10,.500,1,3,.333,2,3,.667,0,0,0,1,0,0,0,0,13,8.3,-11,Bennedict Mathurin
2023-10-30,21-133,IND,HOME,CHI,L (-7),1,27:34,4,11,.364,1,4,.250,6,6,1.000,1,3,4,0,0,0,2,5,15,6.5,-7,Bennedict Mathurin
2023-11-01,21-135,IND,AWAY,BOS,L (-51),1,15:17,4,7,.571,0,3,.000,0,0,,0,1,1,0,0,0,0,1,8,4.6,-24,Bennedict Mathurin
2023-11-03,21-137,IND,HOME,CLE,W (+5),1,24:06,2,7,.286,1,2,.500,0,3,.000,1,2,3,5,1,0,1,1,5,4.1,-4,Bennedict Mathurin
2023-11-04,21-138,IND,HOME,CHO,L (-1),1,23:56,3,11,.273,0,2,.000,2,2,1.000,4,1,5,5,1,0,3,1,8,5.7,+6,Bennedict Mathurin
2023-11-06,21-140,IND,HOME,SAS,W (+41),1,21:54,4,8,.500,0,2,.000,2,2,1.000,1,2,3,2,1,0,1,2,10,7.9,+14,Bennedict Mathurin
2023-11-08,21-142,IND,HOME,UTA,W (+16),1,38:24,9,18,.500,4,7,.571,0,0,,5,4,9,4,2,0,3,1,22,19.1,+18,Bennedict Mathurin
2023-11-09,21-143,IND,HOME,MIL,W (+2),1,36:18,9,18,.500,3,7,.429,5,6,.833,4,7,11,2,1,1,1,1,26,23.2,+14,Bennedict Mathurin
2023-11-12,21-146,IND,AWAY,PHI,L (-11),1,25:53,4,11,.364,0,3,.000,1,3,.333,1,4,5,1,0,1,1,1,9,4.0,-24,Bennedict Mathurin
2023-11-14,21-148,IND,AWAY,PHI,W (+6),1,15:53,3,8,.375,2,4,.500,0,0,,0,0,0,0,0,0,2,0,8,1.6,+3,Bennedict Mathurin
2023-11-19,21-153,IND,HOME,ORL,L (-12),1,25:00,4,12,.333,1,3,.333,5,5,1.000,0,6,6,3,1,0,0,6,14,9.7,-7,Bennedict Mathurin
2023-11-21,21-155,IND,AWAY,ATL,W (+5),0,20:29,7,10,.700,2,4,.500,3,4,.750,0,2,2,1,0,0,0,2,19,14.9,-1,Bennedict Mathurin
2023-11-22,21-156,IND,HOME,TOR,L (-1),0,23:48,2,7,.286,0,1,.000,1,2,.500,0,0,0,2,1,1,0,1,5,3.2,-10,Bennedict Mathurin
2023-11-24,21-158,IND,HOME,DET,W (+23),0,31:05,6,12,.500,1,2,.500,2,2,1.000,1,1,2,0,1,0,1,4,15,8.4,+27,Bennedict Mathurin
2023-11-27,21-161,IND,HOME,POR,L (-4),0,21:30,4,10,.400,0,2,.000,3,5,.600,1,3,4,0,0,0,2,3,11,3.2,-9,Bennedict Mathurin
2023-11-30,21-164,IND,AWAY,MIA,L (-10),0,23:42,5,7,.714,0,0,,2,2,1.000,0,3,3,0,0,0,1,1,12,8.6,-14,Bennedict Mathurin
2023-12-02,21-166,IND,AWAY,MIA,W (+15),0,25:10,6,10,.600,2,3,.667,2,3,.667,1,4,5,4,0,0,4,4,16,10.1,-4,Bennedict Mathurin
2023-12-04,21-168,IND,HOME,BOS,W (+10),0,27:05,5,14,.357,4,7,.571,2,2,1.000,1,4,5,2,0,0,1,1,16,10.1,-6,Bennedict Mathurin
2023-12-07,21-171,IND,AWAY,MIL,W (+9),0,23:44,3,12,.250,0,2,.000,3,3,1.000,2,4,6,1,0,1,2,4,9,2.2,+17,Bennedict Mathurin
2023-12-11,21-175,IND,AWAY,DET,W (+8),0,37:19,10,17,.588,3,5,.600,7,8,.875,3,4,7,8,2,0,2,3,30,29.4,+8,Bennedict Mathurin
2023-12-13,21-177,IND,AWAY,MIL,L (-14),0,24:45,2,8,.250,0,3,.000,10,10,1.000,0,1,1,1,0,0,3,3,14,6.0,-15,Bennedict Mathurin
2023-12-15,21-179,IND,AWAY,WAS,L (-14),0,21:49,4,9,.444,1,1,1.000,4,4,1.000,1,2,3,2,1,0,2,2,13,9.2,-14,Bennedict Mathurin
2023-12-16,21-180,IND,AWAY,MIN,L (-18),0,23:23,3,11,.273,0,1,.000,0,0,,0,1,1,3,0,1,1,1,6,1.2,+8,Bennedict Mathurin
2023-12-18,21-182,IND,HOME,LAC,L (-24),0,34:41,12,20,.600,3,7,.429,7,7,1.000,2,4,6,2,1,0,1,3,34,27.6,-11,Bennedict Mathurin
2023-12-20,21-184,IND,HOME,CHO,W (+31),0,28:27,5,7,.714,4,6,.667,0,0,,0,2,2,1,1,0,2,2,14,10.6,+10,Bennedict Mathurin
2023-12-21,21-185,IND,AWAY,MEM,L (-13),0,18:32,3,10,.300,0,4,.000,0,0,,2,2,4,3,1,0,1,0,6,4.3,-22,Bennedict Mathurin
2023-12-23,21-187,IND,HOME,ORL,L (-7),0,16:18,1,5,.200,0,2,.000,0,0,,0,2,2,1,0,0,1,1,2,-1.2,-24,Bennedict Mathurin
2023-12-26,21-190,IND,AWAY,HOU,W (+6),0,24:01,3,9,.333,2,5,.400,2,2,1.000,0,4,4,0,1,0,3,2,10,3.3,-6,Bennedict Mathurin
2023-12-28,21-192,IND,AWAY,CHI,W (+16),0,25:34,5,9,.556,1,3,.333,4,5,.800,2,3,5,1,0,1,3,1,15,10.6,+2,Bennedict Mathurin
