DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,31-068,ATL,AWAY,CHO,L (-6),0,24:26,3,9,.333,1,5,.200,0,0,,0,4,4,4,3,0,0,1,7,8.5,+6,Bogdan Bogdanovic
2023-10-27,31-070,ATL,HOME,NYK,L (-6),0,25:50,6,11,.545,4,9,.444,0,0,,0,1,1,3,1,0,2,3,16,10.9,0,Bogdan Bogdanovic
2023-10-29,31-072,ATL,AWAY,MIL,W (+17),0,26:19,6,10,.600,4,7,.571,1,1,1.000,0,1,1,6,2,0,2,1,17,16.5,+12,Bogdan Bogdanovic
2023-10-30,31-073,ATL,HOME,MIN,W (+14),0,20:27,3,10,.300,2,7,.286,0,0,,0,1,1,4,1,0,1,1,8,4.9,+3,Bogdan Bogdanovic
2023-11-01,31-075,ATL,HOME,WAS,W (+9),0,23:01,4,10,.400,1,5,.200,3,3,1.000,0,3,3,1,1,1,1,2,12,8.1,+8,Bogdan Bogdanovic
2023-11-04,31-078,ATL,AWAY,NOP,W (+18),0,20:52,4,14,.286,2,10,.200,0,0,,3,2,5,2,1,2,0,1,10,7.9,+7,Bogdan Bogdanovic
2023-11-06,31-080,ATL,AWAY,OKC,L (-9),0,26:37,7,14,.500,3,8,.375,0,0,,0,2,2,3,2,0,0,1,17,14.3,+3,Bogdan Bogdanovic
2023-11-09,31-083,ATL,AWAY,ORL,W (+1),0,28:38,6,11,.545,3,6,.500,0,0,,0,4,4,3,3,0,1,3,15,13.8,-4,Bogdan Bogdanovic
2023-11-11,31-085,ATL,HOME,MIA,L (-8),0,28:47,5,13,.385,5,12,.417,0,0,,0,3,3,1,0,0,2,4,15,5.9,-3,Bogdan Bogdanovic
2023-11-14,31-088,ATL,AWAY,DET,W (+6),1,33:56,7,17,.412,3,11,.273,0,0,,0,3,3,3,0,1,3,0,17,8.6,+5,Bogdan Bogdanovic
2023-11-15,31-089,ATL,HOME,NYK,L (-2),0,29:19,8,15,.533,4,11,.364,8,8,1.000,1,2,3,3,2,1,1,4,28,24.2,+11,Bogdan Bogdanovic
2023-11-17,31-091,ATL,HOME,PHI,L (-10),0,23:53,4,12,.333,3,8,.375,2,3,.667,0,2,2,3,3,0,3,3,13,7.3,-14,Bogdan Bogdanovic
2023-11-21,31-095,ATL,HOME,IND,L (-5),0,26:21,10,15,.667,2,5,.400,4,4,1.000,0,2,2,0,0,0,0,4,26,18.5,-2,Bogdan Bogdanovic
2023-11-22,31-096,ATL,HOME,BRK,W (+2),0,25:35,5,15,.333,3,11,.273,1,1,1.000,1,3,4,3,1,1,1,4,14,8.3,+17,Bogdan Bogdanovic
2023-11-25,31-099,ATL,AWAY,WAS,W (+28),0,21:04,6,9,.667,3,3,1.000,0,1,.000,0,3,3,1,1,0,2,3,15,10.1,+13,Bogdan Bogdanovic
2023-11-26,31-100,ATL,AWAY,BOS,L (-10),0,31:45,8,12,.667,7,10,.700,0,0,,1,6,7,0,1,0,4,3,23,16.1,-1,Bogdan Bogdanovic
2023-11-28,31-102,ATL,AWAY,CLE,L (-23),0,30:35,6,16,.375,4,10,.400,2,2,1.000,1,5,6,1,2,0,1,2,18,12.3,-3,Bogdan Bogdanovic
2023-11-30,31-104,ATL,AWAY,SAS,W (+2),0,31:44,5,10,.500,2,4,.500,2,2,1.000,0,2,2,3,2,0,1,4,14,11.1,+12,Bogdan Bogdanovic
2023-12-02,31-106,ATL,AWAY,MIL,L (-11),0,25:16,6,18,.333,2,7,.286,0,0,,0,3,3,0,2,1,0,2,14,6.6,-7,Bogdan Bogdanovic
2023-12-06,31-110,ATL,HOME,BRK,L (-1),0,27:06,7,14,.500,4,9,.444,2,2,1.000,0,4,4,1,0,0,0,2,20,14.1,-6,Bogdan Bogdanovic
2023-12-08,31-112,ATL,AWAY,PHI,L (-11),1,39:05,7,17,.412,3,11,.273,3,3,1.000,1,8,9,2,1,0,2,5,20,12.4,-3,Bogdan Bogdanovic
2023-12-11,31-115,ATL,HOME,DEN,L (-7),0,35:34,14,24,.583,10,17,.588,2,2,1.000,1,2,3,3,2,0,1,4,40,31.6,-2,Bogdan Bogdanovic
2023-12-13,31-117,ATL,AWAY,TOR,L (-7),0,32:15,7,13,.538,4,7,.571,2,3,.667,1,2,3,5,4,0,1,4,20,19.5,+5,Bogdan Bogdanovic
2023-12-15,31-119,ATL,AWAY,TOR,W (+21),0,32:54,7,16,.438,3,7,.429,3,3,1.000,0,3,3,6,0,0,0,2,20,15.9,+21,Bogdan Bogdanovic
2023-12-16,31-120,ATL,AWAY,CLE,L (-8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Bogdan Bogdanovic
2023-12-18,31-122,ATL,HOME,DET,W (+6),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Bogdan Bogdanovic
2023-12-20,31-124,ATL,AWAY,HOU,W (+7),0,29:36,8,14,.571,4,8,.500,2,2,1.000,0,4,4,5,1,1,0,3,22,20.6,+14,Bogdan Bogdanovic
2023-12-22,31-126,ATL,AWAY,MIA,L (-9),0,35:22,8,24,.333,6,18,.333,1,2,.500,1,1,2,5,1,0,0,3,23,13.3,-8,Bogdan Bogdanovic
2023-12-23,31-127,ATL,HOME,MEM,L (-6),0,34:15,6,15,.400,2,8,.250,2,3,.667,1,3,4,3,0,0,0,2,16,10.4,-1,Bogdan Bogdanovic
2023-12-26,31-130,ATL,AWAY,CHI,L (-5),0,31:24,8,21,.381,3,12,.250,3,3,1.000,1,2,3,1,0,0,0,2,22,11.7,+3,Bogdan Bogdanovic
2023-12-29,31-133,ATL,HOME,SAC,L (-7),0,26:45,4,14,.286,2,10,.200,2,2,1.000,2,2,4,5,0,0,1,1,12,7.9,-14,Bogdan Bogdanovic
2023-12-31,31-135,ATL,AWAY,WAS,W (+4),0,27:20,5,19,.263,1,8,.125,1,1,1.000,0,1,1,1,0,0,0,1,12,1.3,+24,Bogdan Bogdanovic
2024-01-03,31-138,ATL,HOME,OKC,W (+3),0,27:44,7,16,.438,5,11,.455,4,4,1.000,0,1,1,4,1,0,0,2,23,17.9,+11,Bogdan Bogdanovic
2024-01-05,31-140,ATL,AWAY,IND,L (-34),0,23:22,3,14,.214,1,9,.111,9,10,.900,0,4,4,3,2,0,3,2,16,8.5,-18,Bogdan Bogdanovic
2024-01-07,31-142,ATL,AWAY,ORL,L (-7),0,26:02,7,17,.412,4,9,.444,0,0,,1,2,3,1,4,0,0,5,18,12.9,+13,Bogdan Bogdanovic
2024-01-10,31-145,ATL,HOME,PHI,W (+7),0,28:18,7,16,.438,1,8,.125,0,1,.000,0,2,2,4,2,0,1,1,15,10.2,+12,Bogdan Bogdanovic
2024-01-12,31-147,ATL,HOME,IND,L (-18),0,24:56,3,12,.250,2,5,.400,2,2,1.000,3,2,5,2,3,0,2,2,10,7.1,-24,Bogdan Bogdanovic
2024-01-13,31-148,ATL,HOME,WAS,L (-28),0,23:45,5,13,.385,3,8,.375,1,1,1.000,1,2,3,2,3,0,0,2,14,11.8,-20,Bogdan Bogdanovic
2024-01-15,31-150,ATL,HOME,SAS,W (+10),0,25:34,2,10,.200,1,6,.167,0,0,,0,2,2,1,1,0,3,2,5,-2.7,+4,Bogdan Bogdanovic
