DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-24,20-241,GSW,HOME,PHO,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Brandin Podziemski
2023-10-27,20-244,GSW,AWAY,SAC,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Brandin Podziemski
2023-10-29,20-246,GSW,AWAY,HOU,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Brandin Podziemski
2023-10-30,20-247,GSW,AWAY,NOP,W (+28),0,22:48,2,5,.400,0,1,.000,1,2,.500,1,7,8,2,0,0,2,4,5,2.5,+15,Brandin Podziemski
2023-11-01,20-249,GSW,HOME,SAC,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Brandin Podziemski
2023-11-03,20-251,GSW,AWAY,OKC,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Brandin Podziemski
2023-11-05,20-253,GSW,AWAY,CLE,L (-11),0,8:17,0,2,.000,0,1,.000,0,0,,1,1,2,2,0,0,2,0,0,-1.0,+4,Brandin Podziemski
2023-11-06,20-254,GSW,AWAY,DET,W (+11),0,0:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,Brandin Podziemski
2023-11-08,20-256,GSW,AWAY,DEN,L (-3),0,11:14,2,3,.667,0,0,,1,1,1.000,1,2,3,2,0,0,0,2,5,5.6,+8,Brandin Podziemski
2023-11-11,20-259,GSW,HOME,CLE,L (-8),0,8:21,1,2,.500,0,0,,0,0,,1,1,2,2,1,0,1,1,2,3.0,+5,Brandin Podziemski
2023-11-12,20-260,GSW,HOME,MIN,L (-6),0,1:16,3,5,.600,2,2,1.000,0,0,,1,0,1,0,1,0,0,0,8,7.4,+6,Brandin Podziemski
2023-11-14,20-262,GSW,HOME,MIN,L (-3),0,38:57,9,18,.500,3,8,.375,2,2,1.000,1,6,7,5,1,0,3,4,23,16.4,+11,Brandin Podziemski
2023-11-16,20-264,GSW,HOME,OKC,L (-19),0,25:00,4,7,.571,3,4,.750,2,2,1.000,2,6,8,3,0,0,1,5,13,12.0,-26,Brandin Podziemski
2023-11-18,20-266,GSW,HOME,OKC,L (-7),0,25:02,2,6,.333,1,4,.250,3,4,.750,0,3,3,3,0,0,3,0,8,4.2,-15,Brandin Podziemski
2023-11-20,20-268,GSW,HOME,HOU,W (+5),0,17:57,1,2,.500,1,2,.500,0,0,,0,5,5,3,0,0,0,2,3,4.8,+3,Brandin Podziemski
2023-11-22,20-270,GSW,AWAY,PHO,L (-8),0,23:26,4,9,.444,1,3,.333,1,2,.500,2,2,4,2,3,0,0,1,10,10.9,+20,Brandin Podziemski
2023-11-24,20-272,GSW,HOME,SAS,W (+6),0,11:46,0,5,.000,0,2,.000,0,0,,1,2,3,2,0,0,1,0,0,-1.8,0,Brandin Podziemski
