DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2020-12-23,23-112,NOP,AWAY,TOR,W (+14),1,37:20,10,19,.526,3,6,.500,1,2,.500,0,9,9,11,3,1,3,2,24,24.6,+17,Brandon Ingram
2020-12-25,23-114,NOP,AWAY,MIA,L (-13),1,37:03,7,17,.412,4,8,.500,10,11,.909,0,2,2,3,0,0,4,0,28,17.2,+2,Brandon Ingram
2020-12-27,23-116,NOP,HOME,SAS,W (+3),1,35:15,9,23,.391,2,5,.400,8,10,.800,2,9,11,6,0,1,3,1,28,20.3,+15,Brandon Ingram
2020-12-29,23-118,NOP,AWAY,PHO,L (-25),1,28:14,6,11,.545,1,5,.200,0,0,,0,6,6,6,1,0,4,0,13,10.7,-25,Brandon Ingram
2020-12-31,23-120,NOP,AWAY,OKC,W (+33),1,26:01,8,16,.500,2,6,.333,2,3,.667,1,6,7,2,0,1,0,2,20,15.4,+7,Brandon Ingram
2021-01-02,23-122,NOP,HOME,TOR,W (+4),1,35:20,8,17,.471,4,8,.500,11,14,.786,0,6,6,4,0,1,3,2,31,22.6,+3,Brandon Ingram
2021-01-04,23-124,NOP,HOME,IND,L (-2),1,39:59,12,31,.387,1,6,.167,6,6,1.000,1,3,4,8,1,2,1,0,31,22.7,-6,Brandon Ingram
2021-01-06,23-126,NOP,HOME,OKC,L (-1),1,35:52,9,15,.600,0,2,.000,6,6,1.000,1,10,11,4,0,0,2,0,24,21.6,+5,Brandon Ingram
2021-01-08,23-128,NOP,HOME,CHO,L (-8),1,36:28,3,11,.273,3,10,.300,8,9,.889,3,5,8,8,1,1,4,0,17,17.0,-7,Brandon Ingram
2021-01-13,23-133,NOP,AWAY,LAC,L (-5),1,38:21,8,19,.421,0,2,.000,6,6,1.000,2,4,6,3,0,2,4,4,22,12.4,-1,Brandon Ingram
2021-01-15,23-135,NOP,AWAY,LAL,L (-17),1,34:49,9,15,.600,2,4,.500,0,1,.000,1,2,3,5,2,1,4,2,20,15.4,-24,Brandon Ingram
2021-01-17,23-137,NOP,AWAY,SAC,W (+5),1,35:25,8,19,.421,3,7,.429,3,4,.750,0,3,3,1,1,1,5,3,22,8.6,-8,Brandon Ingram
2021-01-19,23-139,NOP,AWAY,UTA,L (-16),1,35:19,8,18,.444,0,1,.000,1,2,.500,0,3,3,4,0,2,1,2,17,10.5,-18,Brandon Ingram
2021-01-21,23-141,NOP,AWAY,UTA,L (-11),1,33:05,8,14,.571,4,6,.667,3,4,.750,0,1,1,2,1,0,1,1,23,17.3,-15,Brandon Ingram
2021-01-23,23-143,NOP,AWAY,MIN,L (-10),1,36:39,11,20,.550,2,7,.286,6,6,1.000,0,4,4,2,0,1,7,5,30,14.7,-4,Brandon Ingram
2021-01-27,23-147,NOP,HOME,WAS,W (+18),1,36:03,12,19,.632,7,12,.583,1,1,1.000,0,6,6,8,0,0,4,2,32,26.1,+28,Brandon Ingram
2021-01-29,23-149,NOP,HOME,MIL,W (+5),1,35:21,7,15,.467,3,8,.375,11,13,.846,0,0,0,4,1,1,1,1,28,22.6,-1,Brandon Ingram
2021-01-30,23-150,NOP,HOME,HOU,L (-14),1,31:40,5,15,.333,2,7,.286,3,4,.750,1,4,5,4,1,2,0,0,15,13.2,-11,Brandon Ingram
2021-02-01,23-152,NOP,HOME,SAC,L (-9),1,35:36,6,20,.300,1,7,.143,7,8,.875,0,5,5,2,1,1,1,3,20,10.4,-1,Brandon Ingram
