DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2019-10-23,26-310,SAC,AWAY,PHO,L (-29),1,31:10,10,19,.526,6,12,.500,2,2,1.000,2,3,5,2,0,0,5,2,28,16.6,-15,Buddy Hield
2019-10-25,26-312,SAC,HOME,POR,L (-10),1,31:39,7,18,.389,4,11,.364,3,3,1.000,1,4,5,1,0,0,3,3,21,9.6,-8,Buddy Hield
2019-10-26,26-313,SAC,AWAY,UTA,L (-32),1,20:00,1,7,.143,1,3,.333,0,0,,0,2,2,0,0,0,1,0,3,-1.9,-29,Buddy Hield
2019-10-28,26-315,SAC,HOME,DEN,L (-7),1,33:52,2,13,.154,1,6,.167,0,0,,1,3,4,4,1,2,5,5,5,-3.5,-11,Buddy Hield
2019-10-30,26-317,SAC,HOME,CHO,L (-7),1,37:40,8,22,.364,7,16,.438,0,0,,0,1,1,4,2,0,2,4,23,12.3,-7,Buddy Hield
2019-11-01,26-319,SAC,HOME,UTA,W (+1),1,29:45,9,16,.563,0,5,.000,0,0,,1,4,5,1,1,0,4,3,18,8.8,+9,Buddy Hield
2019-11-03,26-321,SAC,AWAY,NYK,W (+21),1,30:29,8,16,.500,5,11,.455,1,3,.333,0,4,4,1,1,1,1,3,22,14.6,+26,Buddy Hield
2019-11-06,26-324,SAC,AWAY,TOR,L (-4),1,31:40,7,16,.438,5,7,.714,2,2,1.000,1,7,8,0,1,1,2,2,21,14.3,-14,Buddy Hield
2019-11-08,26-326,SAC,AWAY,ATL,W (+12),1,25:54,9,17,.529,3,8,.375,1,1,1.000,1,4,5,1,0,1,2,1,22,14.6,-4,Buddy Hield
2019-11-12,26-330,SAC,HOME,POR,W (+8),1,37:00,7,21,.333,2,11,.182,4,4,1.000,1,3,4,1,0,0,3,2,20,6.6,+10,Buddy Hield
2019-11-15,26-333,SAC,AWAY,LAL,L (-2),1,37:50,6,15,.400,6,14,.429,3,3,1.000,3,5,8,3,1,0,5,4,21,13.0,+2,Buddy Hield
2019-11-17,26-335,SAC,HOME,BOS,W (+1),1,38:21,14,24,.583,7,12,.583,0,0,,1,5,6,2,4,1,3,1,35,28.7,+6,Buddy Hield
2019-11-19,26-337,SAC,HOME,PHO,W (+4),1,28:40,3,14,.214,1,7,.143,5,6,.833,0,5,5,4,1,0,1,5,12,5.3,+9,Buddy Hield
2019-11-22,26-340,SAC,AWAY,BRK,L (-19),1,32:13,6,15,.400,1,8,.125,3,3,1.000,0,1,1,5,0,0,4,3,16,6.5,-18,Buddy Hield
2019-11-24,26-342,SAC,AWAY,WAS,W (+7),1,36:10,4,14,.286,3,7,.429,7,7,1.000,1,1,2,5,0,0,2,2,18,11.5,+2,Buddy Hield
2019-11-25,26-343,SAC,AWAY,BOS,L (-1),1,41:55,15,26,.577,11,21,.524,0,1,.000,0,5,5,2,0,1,4,0,41,28.0,+2,Buddy Hield
2019-11-27,26-345,SAC,AWAY,PHI,L (-6),1,37:03,9,24,.375,3,12,.250,1,1,1.000,2,4,6,4,0,0,3,3,22,10.0,-16,Buddy Hield
2019-11-30,26-348,SAC,HOME,DEN,W (+3),1,40:28,7,20,.350,3,13,.231,4,5,.800,0,7,7,3,2,1,1,3,21,14.1,+11,Buddy Hield
2019-12-02,26-350,SAC,HOME,CHI,L (-7),1,39:14,9,21,.429,3,13,.231,5,6,.833,0,5,5,4,1,0,1,4,26,17.2,-4,Buddy Hield
2019-12-04,26-352,SAC,AWAY,POR,L (-11),1,40:20,8,24,.333,3,12,.250,4,6,.667,3,4,7,7,2,0,1,2,23,17.0,-7,Buddy Hield
2019-12-06,26-354,SAC,AWAY,SAS,L (-1),1,39:05,10,27,.370,3,11,.273,0,0,,4,3,7,0,0,1,2,3,23,9.3,+3,Buddy Hield
2019-12-08,26-356,SAC,AWAY,DAL,W (+4),1,34:20,10,15,.667,5,6,.833,1,1,1.000,0,4,4,5,0,0,0,2,26,23.4,+1,Buddy Hield
2019-12-09,26-357,SAC,AWAY,HOU,W (+1),1,33:19,10,19,.526,6,13,.462,0,0,,0,4,4,3,2,0,4,3,26,16.8,+14,Buddy Hield
2019-12-11,26-359,SAC,HOME,OKC,W (+1),1,37:03,9,24,.375,5,14,.357,0,0,,0,7,7,6,1,0,2,3,23,13.9,+9,Buddy Hield
2019-12-13,26-361,SAC,HOME,NYK,L (-2),1,36:22,14,23,.609,6,13,.462,0,0,,4,8,12,3,0,0,3,3,34,26.6,+14,Buddy Hield
2019-12-15,26-363,SAC,AWAY,GSW,W (+21),1,33:19,8,11,.727,2,5,.400,1,1,1.000,0,4,4,4,2,0,3,2,19,16.7,+21,Buddy Hield
2019-12-17,27-000,SAC,AWAY,CHO,L (-8),1,29:29,5,13,.385,4,8,.500,0,0,,0,2,2,2,1,0,1,0,14,8.9,+1,Buddy Hield
2019-12-20,27-003,SAC,AWAY,IND,L (-14),1,28:04,3,15,.200,1,9,.111,0,0,,2,5,7,6,1,0,1,5,7,2.8,-27,Buddy Hield
2019-12-21,27-004,SAC,AWAY,MEM,L (-4),1,38:41,3,18,.167,2,11,.182,0,1,.000,0,6,6,1,1,0,4,3,8,-5.5,-1,Buddy Hield
2019-12-23,27-006,SAC,HOME,HOU,L (-9),1,27:29,3,12,.250,1,8,.125,3,4,.750,0,3,3,4,0,0,1,1,10,4.7,-23,Buddy Hield
2019-12-26,27-009,SAC,HOME,MIN,L (-1),1,36:44,6,20,.300,3,11,.273,2,2,1.000,0,4,4,1,1,0,2,1,17,5.9,+2,Buddy Hield
2019-12-28,27-011,SAC,HOME,PHO,L (-2),1,37:18,8,17,.471,4,6,.667,3,5,.600,0,5,5,2,0,1,4,2,23,12.3,-3,Buddy Hield
2019-12-29,27-012,SAC,AWAY,DEN,L (-5),1,35:35,8,18,.444,3,9,.333,1,2,.500,1,4,5,8,2,1,3,2,20,16.6,0,Buddy Hield
2019-12-31,27-014,SAC,HOME,LAC,L (-18),1,36:52,7,17,.412,3,10,.300,3,3,1.000,1,5,6,5,0,0,3,4,20,12.0,-9,Buddy Hield
2020-01-02,27-016,SAC,HOME,MEM,W (+5),1,33:36,8,17,.471,5,9,.556,5,6,.833,0,7,7,3,0,1,2,2,26,19.0,+1,Buddy Hield
2020-01-04,27-018,SAC,HOME,NOP,L (-2),1,39:05,7,20,.350,4,7,.571,6,6,1.000,4,8,12,3,2,0,7,4,24,13.5,+4,Buddy Hield
2020-01-06,27-020,SAC,HOME,GSW,W (+13),1,35:42,7,17,.412,4,10,.400,3,5,.600,1,1,2,5,1,0,2,4,21,13.0,+26,Buddy Hield
2020-01-07,27-021,SAC,AWAY,PHO,W (+11),1,24:11,5,11,.455,4,7,.571,2,2,1.000,0,3,3,2,0,0,3,2,16,8.8,-25,Buddy Hield
2020-01-10,27-024,SAC,HOME,MIL,L (-21),1,34:19,7,16,.438,2,7,.286,0,0,,1,4,5,4,0,0,3,2,16,8.5,-17,Buddy Hield
2020-01-13,27-027,SAC,HOME,ORL,L (-2),1,37:49,7,13,.538,2,6,.333,0,0,,1,3,4,5,3,0,3,3,16,13.6,+7,Buddy Hield
2020-01-15,27-029,SAC,HOME,DAL,L (-4),1,37:28,10,23,.435,3,11,.273,2,3,.667,0,3,3,2,0,0,3,2,25,11.0,-8,Buddy Hield
2020-01-18,27-032,SAC,AWAY,UTA,L (-22),1,34:35,5,11,.455,2,7,.286,2,2,1.000,0,3,3,3,0,0,2,2,14,8.5,-31,Buddy Hield
2020-01-20,27-034,SAC,AWAY,MIA,L (-5),1,42:36,7,19,.368,5,17,.294,1,1,1.000,2,5,7,7,3,2,2,4,20,18.1,+1,Buddy Hield
2020-01-22,27-036,SAC,AWAY,DET,L (-21),1,28:53,6,16,.375,2,9,.222,0,1,.000,0,4,4,5,2,0,1,5,14,8.5,-13,Buddy Hield
2020-01-24,27-038,SAC,AWAY,CHI,W (+17),0,22:53,7,12,.583,5,9,.556,2,2,1.000,1,7,8,1,0,1,2,2,21,16.8,+5,Buddy Hield
2020-01-27,27-041,SAC,AWAY,MIN,W (+4),0,37:44,14,24,.583,9,14,.643,5,5,1.000,1,4,5,3,0,0,2,3,42,31.6,+19,Buddy Hield
2020-01-29,27-043,SAC,HOME,OKC,L (-20),0,23:20,5,12,.417,3,10,.300,0,0,,1,1,2,2,0,0,2,1,13,6.6,-20,Buddy Hield
2020-01-30,27-044,SAC,AWAY,LAC,W (+21),0,26:19,7,14,.500,5,11,.455,0,0,,3,4,7,1,1,0,1,1,19,15.6,+10,Buddy Hield
2020-02-01,27-046,SAC,HOME,LAL,L (-16),0,29:33,8,16,.500,6,13,.462,0,0,,2,2,4,2,1,1,2,2,22,16.3,-10,Buddy Hield
2020-02-03,27-048,SAC,HOME,MIN,W (+4),0,19:50,6,12,.500,2,5,.400,2,3,.667,0,2,2,3,1,0,2,2,16,10.5,-8,Buddy Hield
2020-02-07,27-052,SAC,HOME,MIA,W (+8),0,35:42,7,16,.438,5,13,.385,2,2,1.000,0,7,7,5,0,0,2,4,21,14.6,-1,Buddy Hield
2020-02-08,27-053,SAC,HOME,SAS,W (+20),0,31:54,11,17,.647,9,10,.900,0,0,,1,5,6,5,2,0,2,1,31,28.8,+33,Buddy Hield
2020-02-10,27-055,SAC,AWAY,MIL,L (-12),0,32:37,6,12,.500,3,7,.429,0,0,,4,3,7,1,1,0,2,2,15,11.6,-8,Buddy Hield
2020-02-12,27-057,SAC,AWAY,DAL,L (-19),0,31:25,8,21,.381,4,12,.333,2,2,1.000,0,1,1,9,1,0,2,1,22,15.7,-10,Buddy Hield
2020-02-20,27-065,SAC,HOME,MEM,W (+4),0,26:45,5,12,.417,2,6,.333,8,8,1.000,0,3,3,4,3,0,0,1,20,19.9,+12,Buddy Hield
2020-02-22,27-067,SAC,AWAY,LAC,W (+9),0,15:29,2,7,.286,1,2,.500,2,2,1.000,1,1,2,1,1,0,2,1,7,3.2,-12,Buddy Hield
2020-02-25,27-070,SAC,AWAY,GSW,W (+18),0,25:20,6,15,.400,5,10,.500,2,2,1.000,0,6,6,2,1,0,0,0,19,15.1,+14,Buddy Hield
2020-02-27,27-072,SAC,AWAY,OKC,L (-4),0,26:28,5,11,.455,5,9,.556,0,0,,1,0,1,2,2,1,4,4,15,8.5,+5,Buddy Hield
2020-02-28,27-073,SAC,AWAY,MEM,W (+3),0,23:10,4,12,.333,2,8,.250,4,4,1.000,0,4,4,2,1,0,1,2,14,9.0,+8,Buddy Hield
2020-03-01,27-075,SAC,HOME,DET,W (+6),0,25:07,7,17,.412,3,11,.273,2,2,1.000,0,6,6,2,0,0,3,0,19,10.1,+16,Buddy Hield
2020-03-03,27-077,SAC,HOME,WAS,W (+7),0,23:17,6,16,.375,4,8,.500,1,1,1.000,1,4,5,4,0,0,0,1,17,12.5,+6,Buddy Hield
2020-03-05,27-079,SAC,HOME,PHI,L (-17),0,25:17,8,16,.500,6,10,.600,0,0,,0,1,1,1,3,0,3,4,22,13.4,-5,Buddy Hield
2020-03-07,27-081,SAC,AWAY,POR,W (+12),0,25:43,8,14,.571,6,9,.667,0,0,,1,2,3,3,2,0,2,1,22,18.4,-3,Buddy Hield
2020-03-08,27-082,SAC,HOME,TOR,L (-5),0,23:39,4,12,.333,3,8,.375,0,0,,1,4,5,1,1,0,2,1,11,5.4,+7,Buddy Hield
2020-07-31,27-227,SAC,AWAY,SAS,L (-9),0,19:31,2,13,.154,1,8,.125,1,3,.333,0,4,4,1,1,0,3,2,6,-4.0,-13,Buddy Hield
2020-08-02,27-229,SAC,AWAY,ORL,L (-16),0,20:26,5,13,.385,2,7,.286,0,0,,0,2,2,5,1,0,3,1,12,6.6,-21,Buddy Hield
2020-08-04,27-231,SAC,HOME,DAL,L (-4),0,30:34,8,20,.400,5,14,.357,0,0,,0,4,4,3,1,0,4,4,21,8.9,-8,Buddy Hield
2020-08-06,27-233,SAC,HOME,NOP,W (+15),0,10:43,1,5,.200,1,4,.250,0,0,,0,1,1,0,1,0,0,1,3,0.8,-2,Buddy Hield
2020-08-07,27-234,SAC,AWAY,BRK,L (-13),0,20:29,6,16,.375,3,10,.300,2,2,1.000,0,1,1,0,0,0,0,1,17,8.1,-9,Buddy Hield
2020-08-09,27-236,SAC,HOME,HOU,L (-17),0,24:35,6,11,.545,4,9,.444,0,0,,0,3,3,2,0,0,3,2,16,9.2,-5,Buddy Hield
2020-08-11,27-238,SAC,HOME,NOP,W (+6),0,18:35,4,5,.800,3,4,.750,0,0,,0,2,2,3,0,0,3,2,11,8.0,-9,Buddy Hield
2020-08-13,27-240,SAC,AWAY,LAL,W (+14),0,26:20,10,17,.588,8,14,.571,0,0,,0,5,5,2,2,0,2,2,28,22.2,+12,Buddy Hield
