DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2019-10-23,28-034,POR,HOME,DEN,L (-8),1,35:50,5,18,.278,2,4,.500,0,0,,2,1,3,3,1,0,5,3,12,0.0,-10,CJ McCollum
2019-10-25,28-036,POR,AWAY,SAC,W (+10),1,33:44,8,18,.444,1,4,.250,2,2,1.000,0,2,2,3,1,0,2,2,19,10.5,+5,CJ McCollum
2019-10-27,28-038,POR,AWAY,DAL,W (+2),1,40:59,13,26,.500,1,4,.250,8,8,1.000,0,6,6,4,2,0,2,3,35,25.4,+12,CJ McCollum
2019-10-28,28-039,POR,AWAY,SAS,L (-3),1,37:33,10,22,.455,3,6,.500,4,5,.800,0,3,3,5,0,0,1,5,27,16.6,+3,CJ McCollum
2019-10-30,28-041,POR,AWAY,OKC,W (+3),1,35:49,7,22,.318,5,10,.500,3,4,.750,0,4,4,3,1,1,7,5,22,5.0,-1,CJ McCollum
2019-11-02,28-044,POR,HOME,PHI,L (-1),1,38:22,6,15,.400,0,4,.000,4,4,1.000,0,3,3,1,0,0,2,4,16,5.9,+5,CJ McCollum
2019-11-04,28-046,POR,AWAY,GSW,L (-9),1,33:37,6,16,.375,2,6,.333,0,0,,0,1,1,6,0,0,0,2,14,8.9,-9,CJ McCollum
2019-11-07,28-049,POR,AWAY,LAC,L (-6),1,39:33,9,23,.391,1,6,.167,3,3,1.000,3,4,7,3,0,0,2,4,22,11.3,+1,CJ McCollum
2019-11-08,28-050,POR,HOME,BRK,L (-4),1,39:32,4,19,.211,0,2,.000,0,0,,2,3,5,0,1,2,2,4,8,-2.6,+6,CJ McCollum
2019-11-10,28-052,POR,HOME,ATL,W (+11),1,41:35,11,23,.478,1,6,.167,0,1,.000,2,6,8,4,2,2,3,3,23,16.1,+12,CJ McCollum
2019-11-12,28-054,POR,AWAY,SAC,L (-8),1,36:47,11,21,.524,1,5,.200,1,4,.250,1,4,5,1,0,1,1,3,24,13.6,-5,CJ McCollum
2019-11-13,28-055,POR,HOME,TOR,L (-8),1,36:33,8,18,.444,3,7,.429,0,1,.000,1,5,6,4,1,1,1,1,19,14.5,+7,CJ McCollum
2019-11-16,28-058,POR,AWAY,SAS,W (+5),1,38:46,13,25,.520,6,11,.545,0,0,,2,4,6,7,1,0,2,3,32,25.0,+10,CJ McCollum
2019-11-18,28-060,POR,AWAY,HOU,L (-24),1,36:57,10,19,.526,5,12,.417,0,0,,0,5,5,3,2,0,2,0,25,19.3,-18,CJ McCollum
2019-11-19,28-061,POR,AWAY,NOP,L (-11),1,35:15,9,22,.409,4,10,.400,0,1,.000,2,2,4,5,2,1,1,2,22,16.2,-9,CJ McCollum
2019-11-21,28-063,POR,AWAY,MIL,L (-8),1,38:29,15,29,.517,5,10,.500,2,2,1.000,1,5,6,10,0,3,3,3,37,29.8,-8,CJ McCollum
2019-11-23,28-065,POR,AWAY,CLE,L (-6),1,38:08,8,19,.421,2,7,.286,2,2,1.000,0,6,6,5,1,3,1,4,20,15.7,+9,CJ McCollum
2019-11-25,28-067,POR,AWAY,CHI,W (+23),1,32:17,8,16,.500,2,7,.286,3,3,1.000,0,3,3,3,0,1,1,2,21,14.9,+23,CJ McCollum
2019-11-27,28-069,POR,HOME,OKC,W (+17),1,28:16,8,16,.500,4,7,.571,2,2,1.000,0,2,2,4,0,0,2,2,22,14.6,+15,CJ McCollum
2019-11-29,28-071,POR,HOME,CHI,W (+4),1,37:53,7,14,.500,3,6,.500,3,3,1.000,1,6,7,2,0,1,3,3,20,13.4,+10,CJ McCollum
2019-12-03,28-075,POR,AWAY,LAC,L (-20),1,28:39,9,17,.529,2,6,.333,0,0,,0,3,3,3,0,1,0,2,20,14.6,-23,CJ McCollum
2019-12-04,28-076,POR,HOME,SAC,W (+11),1,37:04,14,22,.636,5,10,.500,0,0,,1,3,4,4,1,4,2,2,33,28.6,+18,CJ McCollum
2019-12-06,28-078,POR,HOME,LAL,L (-23),1,34:36,5,13,.385,3,7,.429,2,2,1.000,0,3,3,5,1,0,1,2,15,11.5,-24,CJ McCollum
2019-12-08,28-080,POR,HOME,OKC,L (-12),1,37:36,8,21,.381,2,6,.333,2,4,.500,2,3,5,2,2,0,0,4,20,11.8,-7,CJ McCollum
