DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2021-10-19,20-006,BRK,AWAY,MIL,L (-23),0,3:45,0,2,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,1,0,2,-0.4,-9,Cam Thomas
2021-10-22,20-009,BRK,AWAY,PHI,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Cam Thomas
2021-10-24,20-011,BRK,HOME,CHO,L (-16),0,1:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,Cam Thomas
2021-10-25,20-012,BRK,HOME,WAS,W (+14),0,4:03,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.8,-2,Cam Thomas
2021-10-27,20-014,BRK,HOME,MIA,L (-13),0,1:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,Cam Thomas
2021-10-29,20-016,BRK,HOME,IND,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Cam Thomas
2021-10-31,20-018,BRK,HOME,DET,W (+26),0,5:49,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,-2,Cam Thomas
2021-11-03,20-021,BRK,HOME,ATL,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Cam Thomas
2021-11-05,20-023,BRK,AWAY,DET,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Cam Thomas
2021-11-07,20-025,BRK,AWAY,TOR,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Cam Thomas
2021-11-08,20-026,BRK,AWAY,CHI,L (-23),0,3:14,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-1.7,-4,Cam Thomas
2021-11-10,20-028,BRK,AWAY,ORL,W (+33),0,6:54,1,2,.500,0,0,,0,0,,0,1,1,0,0,1,0,0,2,2.0,+2,Cam Thomas
2021-11-12,20-030,BRK,AWAY,NOP,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Cam Thomas
2021-11-14,20-032,BRK,AWAY,OKC,W (+24),0,2:43,2,4,.500,0,2,.000,0,0,,0,1,1,0,1,0,0,0,4,3.3,+5,Cam Thomas
2021-11-16,20-034,BRK,HOME,GSW,L (-18),0,15:03,2,9,.222,0,5,.000,0,0,,1,1,2,3,2,0,0,1,4,3.2,+1,Cam Thomas
2021-11-17,20-035,BRK,HOME,CLE,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Cam Thomas
2021-11-19,20-037,BRK,HOME,ORL,W (+2),0,9:59,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-5,Cam Thomas
2021-11-22,20-040,BRK,AWAY,CLE,W (+5),0,14:41,4,7,.571,2,3,.667,1,1,1.000,0,3,3,0,0,1,0,0,11,9.3,+11,Cam Thomas
2021-11-24,20-042,BRK,AWAY,BOS,W (+19),0,24:56,4,11,.364,0,6,.000,5,6,.833,1,2,3,3,0,1,0,2,13,9.8,-15,Cam Thomas
2021-11-27,20-045,BRK,HOME,PHO,L (-6),0,11:53,1,2,.500,0,1,.000,1,2,.500,0,0,0,0,0,0,1,1,3,0.2,-11,Cam Thomas
2021-11-30,20-048,BRK,HOME,NYK,W (+2),0,20:57,5,9,.556,2,4,.500,0,0,,0,1,1,2,1,0,0,1,12,10.0,-9,Cam Thomas
2021-12-03,20-051,BRK,HOME,MIN,W (+5),0,18:19,1,3,.333,1,3,.333,0,2,.000,0,2,2,0,0,0,1,1,3,-0.3,0,Cam Thomas
2021-12-04,20-052,BRK,HOME,CHI,L (-4),0,25:29,3,9,.333,0,2,.000,2,2,1.000,0,4,4,2,2,0,0,0,8,7.5,-14,Cam Thomas
2021-12-07,20-055,BRK,AWAY,DAL,W (+3),0,17:10,3,8,.375,0,3,.000,0,0,,1,4,5,0,0,0,0,0,6,3.5,0,Cam Thomas
2021-12-08,20-056,BRK,AWAY,HOU,L (-10),0,32:23,7,15,.467,1,5,.200,3,3,1.000,1,1,2,0,1,0,0,0,18,12.3,-22,Cam Thomas
2021-12-10,20-058,BRK,AWAY,ATL,W (+8),0,25:02,4,9,.444,3,4,.750,0,0,,0,6,6,1,0,0,0,1,11,8.4,+16,Cam Thomas
