DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2020-12-23,24-295,PHO,HOME,DAL,W (+4),0,25:32,5,9,.556,1,3,.333,4,4,1.000,0,5,5,1,1,0,0,2,15,13.1,+9,Cameron Johnson
2020-12-26,24-298,PHO,AWAY,SAC,L (-3),0,25:03,3,10,.300,2,8,.250,0,0,,1,1,2,1,1,0,0,1,8,4.5,-10,Cameron Johnson
2020-12-27,24-299,PHO,AWAY,SAC,W (+16),0,21:03,7,9,.778,3,4,.750,4,4,1.000,0,1,1,1,1,0,0,1,21,19.1,+25,Cameron Johnson
2020-12-29,24-301,PHO,HOME,NOP,W (+25),0,22:23,6,13,.462,4,10,.400,2,2,1.000,0,2,2,0,1,2,0,2,18,13.5,+23,Cameron Johnson
2020-12-31,24-303,PHO,AWAY,UTA,W (+11),0,17:59,4,4,1.000,2,2,1.000,0,0,,0,2,2,2,0,1,1,0,10,10.5,+8,Cameron Johnson
2021-01-01,24-304,PHO,AWAY,DEN,W (+3),0,22:18,3,9,.333,3,8,.375,0,0,,0,4,4,2,0,0,0,0,9,6.5,+14,Cameron Johnson
2021-01-03,24-306,PHO,HOME,LAC,L (-5),0,22:12,3,9,.333,2,8,.250,0,0,,1,2,3,1,1,0,2,2,8,3.1,+1,Cameron Johnson
2021-01-06,24-309,PHO,HOME,TOR,W (+8),0,23:19,6,10,.600,4,7,.571,0,0,,0,3,3,0,1,0,1,1,16,11.9,+9,Cameron Johnson
2021-01-08,24-311,PHO,AWAY,DET,L (-5),0,27:23,3,9,.333,2,7,.286,2,2,1.000,0,5,5,2,0,3,0,1,10,9.5,+18,Cameron Johnson
2021-01-09,24-312,PHO,AWAY,IND,W (+8),0,29:16,6,13,.462,4,10,.400,0,0,,1,3,4,4,0,0,1,0,16,12.7,+6,Cameron Johnson
2021-01-11,24-314,PHO,AWAY,WAS,L (-21),0,18:03,2,7,.286,1,6,.167,0,2,.000,0,4,4,2,0,0,1,1,5,1.3,-25,Cameron Johnson
2021-01-18,24-321,PHO,AWAY,MEM,L (-4),1,22:33,4,9,.444,2,5,.400,0,0,,3,1,4,3,1,0,2,1,10,8.4,+7,Cameron Johnson
2021-01-20,24-323,PHO,AWAY,HOU,W (+6),1,28:27,3,9,.333,2,7,.286,0,0,,1,2,3,3,2,1,2,1,8,6.6,+9,Cameron Johnson
2021-01-22,24-325,PHO,HOME,DEN,L (-4),1,31:33,2,7,.286,1,6,.167,0,0,,1,2,3,1,0,0,1,3,5,0.7,-14,Cameron Johnson
2021-01-23,24-326,PHO,HOME,DEN,L (-8),1,34:53,7,16,.438,3,11,.273,2,3,.667,1,2,3,0,2,0,1,1,19,12.1,+8,Cameron Johnson
2021-01-27,24-330,PHO,HOME,OKC,L (-5),1,31:44,3,8,.375,2,3,.667,0,0,,0,5,5,2,1,0,1,1,8,6.1,-1,Cameron Johnson
2021-01-28,24-331,PHO,HOME,GSW,W (+21),1,30:03,5,10,.500,3,8,.375,0,0,,0,5,5,2,0,0,1,2,13,9.1,+8,Cameron Johnson
2021-01-30,24-333,PHO,AWAY,DAL,W (+6),1,33:40,1,4,.250,1,1,1.000,3,3,1.000,0,4,4,0,0,0,0,2,6,4.0,-5,Cameron Johnson
2021-02-01,24-335,PHO,AWAY,DAL,W (+1),1,35:08,3,8,.375,2,6,.333,2,2,1.000,2,3,5,0,1,0,0,3,10,7.7,+10,Cameron Johnson
2021-02-03,24-337,PHO,AWAY,NOP,L (-22),1,26:14,3,9,.333,2,7,.286,0,0,,1,3,4,3,0,0,1,3,8,4.4,-25,Cameron Johnson
2021-02-05,24-339,PHO,HOME,DET,W (+17),0,20:12,6,10,.600,1,3,.333,1,1,1.000,1,5,6,3,1,0,2,0,14,12.7,+22,Cameron Johnson
2021-02-07,24-341,PHO,HOME,BOS,W (+9),0,27:03,5,10,.500,4,8,.500,3,3,1.000,1,4,5,1,0,0,1,2,17,12.8,-6,Cameron Johnson
2021-02-08,24-342,PHO,HOME,CLE,W (+6),0,28:12,3,11,.273,2,8,.250,0,0,,2,3,5,1,1,0,1,1,8,4.1,+13,Cameron Johnson
2021-02-10,24-344,PHO,HOME,MIL,W (+1),0,20:29,3,7,.429,3,7,.429,0,0,,1,2,3,1,1,0,1,1,9,6.9,+3,Cameron Johnson
2021-02-13,24-347,PHO,HOME,PHI,W (+9),0,23:37,3,4,.750,1,2,.500,2,3,.667,0,2,2,2,1,0,0,2,9,9.2,+21,Cameron Johnson
2021-02-14,24-348,PHO,HOME,ORL,W (+19),0,19:13,1,5,.200,1,3,.333,0,0,,0,2,2,1,0,1,0,1,3,1.5,+1,Cameron Johnson
2021-02-16,24-350,PHO,HOME,BRK,L (-4),0,18:19,2,4,.500,1,2,.500,2,2,1.000,0,4,4,1,0,0,1,1,7,5.5,+1,Cameron Johnson
2021-02-19,24-353,PHO,AWAY,NOP,W (+18),0,21:34,4,10,.400,3,8,.375,2,2,1.000,0,3,3,1,0,1,0,2,13,9.1,+19,Cameron Johnson
2021-02-20,24-354,PHO,AWAY,MEM,W (+31),0,12:50,1,6,.167,0,3,.000,0,0,,0,3,3,0,2,1,1,1,2,0.4,+4,Cameron Johnson
2021-02-22,24-356,PHO,HOME,POR,W (+32),0,16:23,5,7,.714,3,3,1.000,0,1,.000,2,1,3,0,1,0,0,2,13,11.6,+13,Cameron Johnson
2021-02-24,24-358,PHO,HOME,CHO,L (-3),0,30:25,5,11,.455,2,6,.333,2,2,1.000,0,5,5,1,1,0,2,2,14,8.7,0,Cameron Johnson
2021-02-26,24-360,PHO,AWAY,CHI,W (+9),0,17:56,3,5,.600,2,4,.500,0,0,,0,0,0,3,1,0,0,2,8,8.0,+12,Cameron Johnson
2021-02-28,24-362,PHO,AWAY,MIN,W (+19),0,16:10,2,9,.222,1,5,.200,1,1,1.000,0,3,3,0,0,0,2,1,6,-1.0,+10,Cameron Johnson
2021-03-02,24-364,PHO,AWAY,LAL,W (+10),0,21:30,3,5,.600,3,4,.750,0,0,,0,0,0,1,0,0,0,2,9,6.6,+8,Cameron Johnson
2021-03-04,25-001,PHO,HOME,GSW,W (+22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Cameron Johnson
2021-03-11,25-008,PHO,AWAY,POR,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Cameron Johnson
2021-03-13,25-010,PHO,HOME,IND,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Cameron Johnson
2021-03-15,25-012,PHO,HOME,MEM,W (+23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Cameron Johnson
2021-03-18,25-015,PHO,HOME,MIN,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Cameron Johnson
2021-03-19,25-016,PHO,HOME,MIN,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Cameron Johnson
2021-03-21,25-018,PHO,HOME,LAL,W (+17),0,15:50,3,4,.750,2,2,1.000,0,0,,0,3,3,0,0,2,1,1,8,7.3,-6,Cameron Johnson
2021-03-23,25-020,PHO,AWAY,MIA,W (+10),0,18:36,3,6,.500,2,5,.400,0,0,,1,0,1,3,1,1,0,3,8,8.3,-4,Cameron Johnson
2021-03-24,25-021,PHO,AWAY,ORL,L (-1),0,18:39,1,4,.250,1,3,.333,0,0,,0,2,2,0,0,0,0,1,3,0.8,-3,Cameron Johnson
2021-03-26,25-023,PHO,AWAY,TOR,W (+4),0,18:45,3,5,.600,1,3,.333,0,0,,1,4,5,3,0,0,0,0,7,8.7,+2,Cameron Johnson
2021-03-28,25-025,PHO,AWAY,CHO,W (+4),0,18:51,0,6,.000,0,6,.000,0,0,,0,1,1,1,0,0,1,1,0,-4.6,-5,Cameron Johnson
2021-03-30,25-027,PHO,HOME,ATL,W (+7),0,19:33,2,5,.400,2,5,.400,0,0,,0,2,2,1,0,0,1,1,6,3.2,-3,Cameron Johnson
2021-03-31,25-028,PHO,HOME,CHI,W (+5),0,19:41,2,4,.500,2,4,.500,0,0,,0,2,2,2,0,0,0,0,6,6.0,+5,Cameron Johnson
2021-04-02,25-030,PHO,HOME,OKC,W (+37),0,17:42,6,9,.667,3,5,.600,2,2,1.000,0,2,2,1,1,1,0,1,17,15.7,+18,Cameron Johnson
2021-04-05,25-033,PHO,AWAY,HOU,W (+3),0,21:13,4,9,.444,3,7,.429,1,1,1.000,2,2,4,0,1,0,1,1,12,8.9,-4,Cameron Johnson
2021-04-07,25-035,PHO,HOME,UTA,W (+4),0,36:54,3,6,.500,3,5,.600,2,2,1.000,1,7,8,2,1,1,0,2,11,13.1,+5,Cameron Johnson
2021-04-08,25-036,PHO,AWAY,LAC,L (-10),0,20:09,2,5,.400,2,5,.400,0,0,,1,2,3,2,0,0,0,2,6,5.2,-18,Cameron Johnson
2021-04-10,25-038,PHO,HOME,WAS,W (+28),0,17:04,4,6,.667,2,3,.667,2,2,1.000,0,4,4,1,0,0,1,5,12,8.3,-1,Cameron Johnson
