DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2021-10-20,27-056,IND,AWAY,CHO,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Caris LeVert
2021-10-22,27-058,IND,AWAY,WAS,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Caris LeVert
2021-10-23,27-059,IND,HOME,MIA,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Caris LeVert
2021-10-25,27-061,IND,HOME,MIL,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Caris LeVert
2021-10-27,27-063,IND,AWAY,TOR,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Caris LeVert
2021-10-29,27-065,IND,AWAY,BRK,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Caris LeVert
2021-10-30,27-066,IND,HOME,TOR,L (-3),1,15:33,6,10,.600,1,3,.333,2,4,.500,0,1,1,2,2,0,2,1,15,10.9,-2,Caris LeVert
2021-11-01,27-068,IND,HOME,SAS,W (+13),1,23:37,6,19,.316,3,7,.429,1,2,.500,0,2,2,7,0,0,3,1,16,6.8,+16,Caris LeVert
2021-11-03,27-070,IND,HOME,NYK,W (+13),1,31:04,8,18,.444,1,5,.200,4,6,.667,0,2,2,5,1,3,0,2,21,17.2,+18,Caris LeVert
2021-11-05,27-072,IND,AWAY,POR,L (-4),1,33:52,6,21,.286,0,8,.000,0,0,,1,3,4,6,1,0,0,3,12,5.3,-5,Caris LeVert
2021-11-07,27-074,IND,AWAY,SAC,W (+3),1,30:52,9,22,.409,1,5,.200,3,4,.750,3,3,6,1,1,1,3,3,22,11.0,+19,Caris LeVert
2021-11-10,27-077,IND,AWAY,DEN,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Caris LeVert
2021-11-11,27-078,IND,AWAY,UTA,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Caris LeVert
2021-11-13,27-080,IND,HOME,PHI,W (+5),1,24:46,5,10,.500,1,2,.500,1,2,.500,0,2,2,3,0,1,3,2,12,6.2,-3,Caris LeVert
2021-11-15,27-082,IND,AWAY,NYK,L (-8),1,31:09,5,14,.357,0,3,.000,7,7,1.000,0,3,3,3,2,0,1,3,17,12.0,+2,Caris LeVert
