DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,21-177,OKC,AWAY,CHI,W (+20),1,25:07,4,7,.571,2,3,.667,1,3,.333,0,4,4,3,1,0,1,3,11,9.0,+14,Chet Holmgren
2023-10-27,21-179,OKC,AWAY,CLE,W (+3),1,30:50,5,9,.556,3,4,.750,3,4,.750,1,12,13,2,1,7,1,3,16,20.7,+6,Chet Holmgren
2023-10-29,21-181,OKC,HOME,DEN,L (-33),1,25:34,7,12,.583,1,4,.250,4,4,1.000,2,2,4,0,0,0,1,2,19,13.6,-23,Chet Holmgren
2023-10-30,21-182,OKC,HOME,DET,W (+12),1,24:02,4,5,.800,4,5,.800,2,2,1.000,0,4,4,3,2,4,3,5,14,15.2,+9,Chet Holmgren
2023-11-01,21-184,OKC,HOME,NOP,L (-4),1,37:16,8,14,.571,1,5,.200,2,2,1.000,3,8,11,3,1,2,5,4,19,14.8,-1,Chet Holmgren
2023-11-03,21-186,OKC,HOME,GSW,L (-2),1,31:59,7,9,.778,2,2,1.000,8,8,1.000,3,5,8,5,1,1,2,4,24,25.7,-1,Chet Holmgren
2023-11-06,21-189,OKC,HOME,ATL,W (+9),1,33:52,4,14,.286,1,3,.333,7,7,1.000,3,9,12,3,1,3,1,3,16,15.6,+3,Chet Holmgren
2023-11-08,21-191,OKC,HOME,CLE,W (+8),1,29:17,7,10,.700,1,1,1.000,0,0,,3,4,7,2,1,3,2,4,15,15.0,+3,Chet Holmgren
2023-11-10,21-193,OKC,AWAY,SAC,L (-7),1,29:36,5,12,.417,0,3,.000,2,3,.667,1,6,7,1,1,1,4,2,12,5.3,-13,Chet Holmgren
2023-11-12,21-195,OKC,AWAY,PHO,W (+12),1,33:07,5,10,.500,3,6,.500,5,5,1.000,0,6,6,4,0,2,0,3,18,17.8,+27,Chet Holmgren
2023-11-14,21-197,OKC,HOME,SAS,W (+36),1,29:39,3,10,.300,1,5,.200,2,2,1.000,0,7,7,3,2,1,2,2,9,7.3,+30,Chet Holmgren
2023-11-16,21-199,OKC,AWAY,GSW,W (+19),1,27:06,4,7,.571,0,2,.000,5,5,1.000,1,9,10,2,0,2,4,2,13,11.1,-1,Chet Holmgren
