DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2021-10-20,28-282,TOR,HOME,WAS,L (-15),0,17:29,3,10,.300,1,6,.167,0,0,,1,3,4,0,0,2,1,1,7,2.8,-1,Chris Boucher
2021-10-22,28-284,TOR,AWAY,BOS,W (+32),0,19:39,4,12,.333,1,6,.167,2,2,1.000,2,6,8,0,2,1,1,0,11,9.1,+11,Chris Boucher
2021-10-23,28-285,TOR,HOME,DAL,L (-8),0,8:01,0,5,.000,0,3,.000,0,0,,0,2,2,1,1,2,1,0,0,-0.8,-8,Chris Boucher
2021-10-25,28-287,TOR,HOME,CHI,L (-3),0,4:51,1,3,.333,1,2,.500,0,0,,2,2,4,0,0,0,0,1,3,2.9,-10,Chris Boucher
2021-10-27,28-289,TOR,HOME,IND,W (+18),0,17:50,2,4,.500,0,1,.000,1,2,.500,1,2,3,1,2,1,0,2,5,6.5,+7,Chris Boucher
2021-10-29,28-291,TOR,HOME,ORL,W (+1),0,17:39,3,5,.600,1,2,.500,2,4,.500,2,2,4,0,2,0,0,1,9,9.5,+18,Chris Boucher
2021-10-30,28-292,TOR,AWAY,IND,W (+3),0,18:19,3,9,.333,2,5,.400,0,0,,2,4,6,0,0,1,0,4,8,4.6,-1,Chris Boucher
2021-11-01,28-294,TOR,AWAY,NYK,W (+9),0,9:51,1,4,.250,0,3,.000,0,0,,1,0,1,0,0,1,1,1,2,-0.4,-4,Chris Boucher
2021-11-03,28-296,TOR,AWAY,WAS,W (+9),0,17:10,2,5,.400,0,2,.000,1,1,1.000,2,4,6,0,0,0,0,3,5,3.7,+5,Chris Boucher
2021-11-05,28-298,TOR,HOME,CLE,L (-1),0,7:01,0,2,.000,0,1,.000,1,2,.500,0,1,1,0,0,0,1,1,1,-1.9,-4,Chris Boucher
2021-11-07,28-300,TOR,HOME,BRK,L (-13),0,8:30,2,2,1.000,0,0,,2,2,1.000,1,0,1,0,1,1,2,0,6,5.8,+4,Chris Boucher
2021-11-10,28-303,TOR,AWAY,BOS,L (-16),0,6:49,0,2,.000,0,2,.000,0,0,,0,2,2,0,0,0,1,0,0,-1.8,-8,Chris Boucher
2021-11-11,28-304,TOR,AWAY,PHI,W (+6),0,24:04,7,12,.583,1,3,.333,2,2,1.000,2,4,6,0,1,2,1,3,17,14.2,-4,Chris Boucher
2021-11-13,28-306,TOR,HOME,DET,L (-6),0,11:37,1,3,.333,0,2,.000,0,1,.000,0,1,1,0,0,0,0,2,2,-0.6,-6,Chris Boucher
2021-11-15,28-308,TOR,AWAY,POR,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Boucher
2021-11-18,28-311,TOR,AWAY,UTA,L (-16),0,17:29,1,6,.167,0,2,.000,0,0,,2,6,8,2,0,1,0,0,2,3.5,-11,Chris Boucher
2021-11-19,28-312,TOR,AWAY,SAC,W (+19),0,23:45,3,10,.300,1,4,.250,3,4,.750,3,9,12,1,1,2,0,3,10,10.5,+4,Chris Boucher
2021-11-21,28-314,TOR,AWAY,GSW,L (-15),0,13:34,4,7,.571,1,2,.500,1,2,.500,3,2,5,0,0,0,1,1,10,7.6,+6,Chris Boucher
2021-11-24,28-317,TOR,AWAY,MEM,W (+13),0,6:46,2,4,.500,0,1,.000,1,1,1.000,0,0,0,1,0,0,0,0,5,3.7,-2,Chris Boucher
2021-11-26,28-319,TOR,AWAY,IND,L (-17),0,14:12,4,8,.500,1,3,.333,0,1,.000,3,1,4,0,1,0,1,2,9,6.2,-6,Chris Boucher
2021-11-28,28-321,TOR,HOME,BOS,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Chris Boucher
2021-11-30,28-323,TOR,HOME,MEM,L (-7),0,6:48,2,5,.400,0,1,.000,2,3,.667,1,0,1,0,0,2,0,1,6,4.6,-8,Chris Boucher
2021-12-02,28-325,TOR,HOME,MIL,W (+4),0,11:30,2,6,.333,0,2,.000,2,2,1.000,1,1,2,0,0,1,1,1,6,2.9,-3,Chris Boucher
2021-12-05,28-328,TOR,HOME,WAS,W (+12),0,18:10,5,7,.714,0,1,.000,4,6,.667,1,5,6,1,0,0,0,4,14,11.6,+12,Chris Boucher
2021-12-08,28-331,TOR,HOME,OKC,L (-1),1,22:15,4,9,.444,0,2,.000,3,3,1.000,5,2,7,0,0,2,1,2,11,10.0,-2,Chris Boucher
2021-12-10,28-333,TOR,HOME,NYK,W (+3),1,27:08,5,11,.455,1,3,.333,3,4,.750,5,3,8,0,0,1,1,5,14,10.0,+5,Chris Boucher
2021-12-13,28-336,TOR,HOME,SAC,W (+23),1,22:15,7,10,.700,2,4,.500,1,1,1.000,0,5,5,1,0,1,3,2,17,11.9,+7,Chris Boucher
2021-12-14,28-337,TOR,AWAY,BRK,L (-2),1,32:04,4,7,.571,1,3,.333,0,0,,1,8,9,0,0,2,0,4,9,8.6,+15,Chris Boucher
2021-12-18,28-341,TOR,HOME,GSW,W (+19),1,23:23,4,8,.500,1,4,.250,2,2,1.000,3,5,8,1,0,1,0,0,11,12.0,+21,Chris Boucher
2021-12-26,28-349,TOR,AWAY,CLE,L (-45),1,28:03,6,19,.316,2,10,.200,7,9,.778,3,2,5,2,1,0,5,2,21,8.6,-30,Chris Boucher
2021-12-28,28-351,TOR,HOME,PHI,L (-5),1,37:44,10,14,.714,5,7,.714,3,4,.750,4,15,19,0,2,2,1,5,28,29.5,-6,Chris Boucher
2021-12-31,28-354,TOR,HOME,LAC,W (+8),0,22:52,1,3,.333,0,1,.000,4,4,1.000,3,6,9,0,0,0,0,3,6,7.0,+5,Chris Boucher
2022-01-02,28-356,TOR,HOME,NYK,W (+15),0,21:26,4,7,.571,0,2,.000,4,4,1.000,0,4,4,0,2,2,0,1,12,12.9,+17,Chris Boucher
2022-01-04,28-358,TOR,HOME,SAS,W (+25),0,19:21,1,4,.250,0,2,.000,2,4,.500,2,5,7,0,2,2,0,2,4,6.3,+21,Chris Boucher
2022-01-05,28-359,TOR,AWAY,MIL,W (+6),0,14:35,1,4,.250,1,2,.500,0,0,,0,2,2,0,0,1,0,2,3,1.1,-11,Chris Boucher
2022-01-07,28-361,TOR,HOME,UTA,W (+14),0,20:09,5,9,.556,0,2,.000,3,4,.750,4,1,5,1,2,0,0,3,13,12.9,+12,Chris Boucher
2022-01-09,28-363,TOR,HOME,NOP,W (+4),0,28:04,2,5,.400,0,2,.000,2,2,1.000,4,4,8,1,2,1,1,2,6,8.9,-2,Chris Boucher
2022-01-11,29-000,TOR,HOME,PHO,L (-4),0,37:06,4,9,.444,0,3,.000,5,8,.625,9,7,16,0,0,3,2,3,13,14.4,-3,Chris Boucher
2022-01-14,29-003,TOR,AWAY,DET,L (-16),0,24:35,3,7,.429,1,4,.250,3,3,1.000,2,4,6,0,1,0,1,3,10,7.7,-7,Chris Boucher
2022-01-15,29-004,TOR,AWAY,MIL,W (+7),0,36:26,6,12,.500,2,5,.400,1,2,.500,2,5,7,1,1,3,1,3,15,13.1,+15,Chris Boucher
2022-01-17,29-006,TOR,AWAY,MIA,L (-5),0,38:11,7,13,.538,2,4,.500,7,9,.778,6,4,10,0,0,2,1,3,23,20.5,-8,Chris Boucher
2022-01-19,29-008,TOR,AWAY,DAL,L (-4),0,33:41,6,14,.429,2,4,.500,1,2,.500,5,7,12,0,3,0,0,4,15,14.2,-3,Chris Boucher
2022-01-21,29-010,TOR,AWAY,WAS,W (+4),0,22:20,4,7,.571,2,3,.667,0,0,,1,6,7,0,1,0,0,3,10,9.0,+10,Chris Boucher
2022-01-23,29-012,TOR,HOME,POR,L (-9),0,24:05,4,7,.571,3,5,.600,0,0,,4,5,9,0,0,3,0,0,11,14.1,-10,Chris Boucher
2022-01-25,29-014,TOR,HOME,CHO,W (+12),1,30:14,3,6,.500,2,3,.667,4,4,1.000,0,7,7,1,2,2,1,4,12,12.6,+4,Chris Boucher
