DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2022-10-19,37-166,PHO,HOME,DAL,W (+2),1,30:17,1,6,.167,0,2,.000,4,4,1.000,0,3,3,9,2,0,3,3,6,7.2,-9,Chris Paul
2022-10-21,37-168,PHO,AWAY,POR,L (-2),1,36:09,5,11,.455,0,1,.000,0,0,,0,4,4,12,5,0,1,5,10,15.9,0,Chris Paul
2022-10-23,37-170,PHO,AWAY,LAC,W (+17),1,32:37,3,11,.273,1,8,.125,0,0,,3,5,8,11,1,1,2,2,7,10.7,+15,Chris Paul
2022-10-25,37-172,PHO,HOME,GSW,W (+29),1,35:13,5,10,.500,4,5,.800,2,2,1.000,0,7,7,9,1,0,2,4,16,16.8,+21,Chris Paul
2022-10-28,37-175,PHO,HOME,NOP,W (+13),1,30:38,1,7,.143,0,1,.000,5,6,.833,1,4,5,9,1,0,3,1,7,7.9,-3,Chris Paul
2022-10-30,37-177,PHO,HOME,HOU,W (+15),1,31:14,3,7,.429,0,4,.000,4,5,.800,0,1,1,15,0,0,0,1,10,16.3,+19,Chris Paul
2022-11-01,37-179,PHO,HOME,MIN,W (+9),1,33:52,5,12,.417,1,5,.200,4,6,.667,1,7,8,12,3,0,1,2,15,20.2,+18,Chris Paul
2022-11-04,37-182,PHO,HOME,POR,L (-2),1,33:48,1,4,.250,1,3,.333,4,4,1.000,0,2,2,11,2,1,0,2,7,14.8,+4,Chris Paul
2022-11-05,37-183,PHO,HOME,POR,W (+20),1,24:21,3,7,.429,2,4,.500,7,7,1.000,0,5,5,4,0,0,1,2,15,13.8,+16,Chris Paul
2022-11-07,37-185,PHO,AWAY,PHI,L (-12),1,13:45,1,1,1.000,0,0,,0,0,,0,2,2,2,2,0,2,1,2,3.3,-10,Chris Paul
2022-11-09,37-187,PHO,AWAY,MIN,W (+12),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Chris Paul
2022-11-11,37-189,PHO,AWAY,ORL,L (-17),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Chris Paul
2022-11-14,37-192,PHO,AWAY,MIA,L (-1),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Chris Paul
2022-11-16,37-194,PHO,HOME,GSW,W (+11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Chris Paul
2022-11-18,37-196,PHO,AWAY,UTA,L (-1),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Chris Paul
2022-11-20,37-198,PHO,HOME,NYK,W (+21),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Chris Paul
2022-11-22,37-200,PHO,HOME,LAL,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Chris Paul
2022-11-25,37-203,PHO,HOME,DET,W (+6),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Chris Paul
2022-11-26,37-204,PHO,HOME,UTA,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Paul
2022-11-28,37-206,PHO,AWAY,SAC,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Paul
2022-11-30,37-208,PHO,HOME,CHI,W (+19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Paul
2022-12-02,37-210,PHO,HOME,HOU,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Paul
2022-12-04,37-212,PHO,AWAY,SAS,W (+38),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Paul
2022-12-05,37-213,PHO,AWAY,DAL,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Paul
2022-12-07,37-215,PHO,HOME,BOS,L (-27),1,24:03,2,6,.333,0,2,.000,0,0,,0,4,4,4,1,0,4,3,4,0.4,-28,Chris Paul
2022-12-09,37-217,PHO,AWAY,NOP,L (-11),1,34:05,7,14,.500,6,9,.667,4,4,1.000,0,8,8,7,0,0,3,3,24,20.1,+3,Chris Paul
2022-12-11,37-219,PHO,AWAY,NOP,L (-5),1,33:54,3,10,.300,0,3,.000,0,1,.000,1,2,3,11,1,0,3,6,6,4.4,-5,Chris Paul
2022-12-13,37-221,PHO,AWAY,HOU,L (-14),1,37:38,5,17,.294,2,10,.200,4,4,1.000,1,5,6,7,2,1,4,2,16,11.1,-10,Chris Paul
2022-12-15,37-223,PHO,AWAY,LAC,W (+16),1,36:03,6,13,.462,2,6,.333,1,2,.500,1,6,7,13,2,1,1,0,15,21.2,+7,Chris Paul
2022-12-17,37-225,PHO,HOME,NOP,W (+4),1,35:22,6,11,.545,5,7,.714,1,2,.500,0,5,5,8,1,0,2,2,18,17.6,+6,Chris Paul
2022-12-19,37-227,PHO,HOME,LAL,W (+26),1,31:29,9,18,.500,3,5,.600,7,8,.875,1,3,4,8,2,0,0,4,28,26.2,+18,Chris Paul
2022-12-20,37-228,PHO,HOME,WAS,L (-3),1,35:38,3,11,.273,1,3,.333,5,7,.714,2,2,4,11,2,0,3,3,12,12.2,-10,Chris Paul
2022-12-23,37-231,PHO,HOME,MEM,L (-25),1,24:34,5,8,.625,0,1,.000,0,0,,0,2,2,3,0,0,1,1,10,7.7,-20,Chris Paul
2022-12-25,37-233,PHO,AWAY,DEN,L (-3),1,40:39,6,17,.353,0,3,.000,5,10,.500,0,4,4,16,2,1,0,4,17,19.0,-1,Chris Paul
2022-12-27,37-235,PHO,AWAY,MEM,W (+17),1,23:34,5,9,.556,4,5,.800,0,0,,0,1,1,6,1,0,4,2,14,10.4,+4,Chris Paul
2022-12-28,37-236,PHO,AWAY,WAS,L (-25),1,31:38,8,15,.533,3,6,.500,1,2,.500,0,2,2,6,2,2,4,3,20,15.3,-14,Chris Paul
2022-12-30,37-238,PHO,AWAY,TOR,L (-9),1,35:09,6,12,.500,3,6,.500,5,6,.833,0,5,5,12,1,0,6,0,20,18.5,-9,Chris Paul
2023-01-02,37-241,PHO,AWAY,NYK,L (-19),1,30:12,4,11,.364,1,3,.333,2,2,1.000,1,3,4,2,1,0,0,2,11,8.1,-38,Chris Paul
2023-01-04,37-243,PHO,AWAY,CLE,L (-2),1,40:08,9,17,.529,3,5,.600,4,4,1.000,0,4,4,8,2,0,1,3,25,23.3,+7,Chris Paul
2023-01-06,37-245,PHO,HOME,MIA,L (-8),1,12:01,2,3,.667,1,1,1.000,0,0,,0,0,0,1,1,0,1,2,5,3.6,-6,Chris Paul
2023-01-08,37-247,PHO,HOME,CLE,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Paul
2023-01-10,37-249,PHO,AWAY,GSW,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Paul
2023-01-11,37-250,PHO,AWAY,DEN,L (-29),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Paul
2023-01-13,37-252,PHO,AWAY,MIN,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Paul
2023-01-16,37-255,PHO,AWAY,MEM,L (-30),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Paul
2023-01-19,37-258,PHO,HOME,BRK,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Paul
2023-01-21,37-260,PHO,HOME,IND,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Paul
2023-01-22,37-261,PHO,HOME,MEM,W (+2),1,38:16,8,18,.444,3,9,.333,3,3,1.000,0,6,6,11,3,1,5,1,22,20.4,+5,Chris Paul
2023-01-24,37-263,PHO,HOME,CHO,W (+31),1,27:04,6,9,.667,2,3,.667,0,0,,1,4,5,11,0,0,0,1,14,19.3,+6,Chris Paul
2023-01-26,37-265,PHO,HOME,DAL,L (-4),1,38:22,9,16,.563,4,7,.571,0,0,,0,6,6,10,1,0,2,4,22,20.6,+7,Chris Paul
2023-01-28,37-267,PHO,AWAY,SAS,W (+10),1,39:14,12,20,.600,1,4,.250,6,6,1.000,0,7,7,11,1,2,1,1,31,32.6,+14,Chris Paul
2023-01-30,37-269,PHO,HOME,TOR,W (+8),1,34:40,5,11,.455,4,7,.571,5,5,1.000,0,4,4,9,0,2,3,3,19,18.0,+3,Chris Paul
2023-02-01,37-271,PHO,HOME,ATL,L (-32),1,26:31,1,6,.167,0,3,.000,1,2,.500,0,2,2,3,0,1,2,2,3,-0.6,-26,Chris Paul
2023-02-03,37-273,PHO,AWAY,BOS,W (+12),1,35:02,6,15,.400,1,5,.200,2,3,.667,0,6,6,8,1,1,0,3,15,14.4,-4,Chris Paul
