DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,24-294,UTA,HOME,SAC,L (-16),0,19:58,2,9,.222,0,2,.000,5,7,.714,0,3,3,0,0,0,3,3,9,-0.6,-10,Collin Sexton
2023-10-27,24-296,UTA,HOME,LAC,W (+2),0,19:31,5,12,.417,0,2,.000,3,4,.750,0,1,1,0,0,0,0,3,13,5.3,-4,Collin Sexton
2023-10-28,24-297,UTA,AWAY,PHO,L (-22),0,23:03,4,8,.500,0,0,,6,6,1.000,1,1,2,6,0,0,2,1,14,12.8,-7,Collin Sexton
2023-10-30,24-299,UTA,AWAY,DEN,L (-8),0,16:51,5,10,.500,2,5,.400,0,0,,0,0,0,0,0,0,1,2,12,5.2,-10,Collin Sexton
2023-11-01,24-301,UTA,HOME,MEM,W (+24),0,22:25,8,10,.800,4,6,.667,3,3,1.000,1,2,3,6,0,0,2,1,23,22.3,+22,Collin Sexton
2023-11-02,24-302,UTA,HOME,ORL,L (-2),0,16:53,3,8,.375,0,2,.000,4,6,.667,1,0,1,1,0,0,2,1,10,3.8,-5,Collin Sexton
2023-11-04,24-304,UTA,AWAY,MIN,L (-28),0,18:59,1,3,.333,1,3,.333,4,4,1.000,2,2,4,4,0,1,6,2,7,4.0,-14,Collin Sexton
2023-11-06,24-306,UTA,AWAY,CHI,L (-17),0,16:49,6,10,.600,1,3,.333,1,1,1.000,1,2,3,2,0,0,1,3,14,9.9,+1,Collin Sexton
2023-11-08,24-308,UTA,AWAY,IND,L (-16),0,15:59,3,9,.333,1,2,.500,3,3,1.000,0,2,2,2,0,0,0,0,10,6.9,-7,Collin Sexton
2023-11-10,24-310,UTA,AWAY,MEM,W (+6),0,17:40,3,8,.375,0,2,.000,4,4,1.000,1,1,2,6,1,0,3,0,10,8.8,+3,Collin Sexton
2023-11-14,24-314,UTA,HOME,POR,W (+16),0,28:11,5,11,.455,1,5,.200,2,2,1.000,0,4,4,7,2,1,2,3,13,12.9,+14,Collin Sexton
2023-11-17,24-317,UTA,HOME,PHO,L (-3),0,20:22,3,8,.375,0,2,.000,2,2,1.000,2,2,4,4,0,2,0,3,8,8.6,-6,Collin Sexton
2023-11-19,24-319,UTA,HOME,PHO,L (-3),0,22:31,6,13,.462,3,6,.500,3,3,1.000,3,2,5,2,1,0,2,0,18,14.4,+12,Collin Sexton
2023-11-21,24-321,UTA,AWAY,LAL,L (-32),0,21:39,6,11,.545,2,3,.667,0,0,,0,3,3,4,0,0,1,2,14,10.6,-9,Collin Sexton
2023-11-22,24-322,UTA,AWAY,POR,L (-16),0,11:14,0,5,.000,0,3,.000,1,2,.500,1,1,2,2,1,0,2,2,1,-2.3,-16,Collin Sexton
2023-11-25,24-325,UTA,HOME,NOP,W (+5),0,28:14,5,13,.385,3,8,.375,3,4,.750,2,1,3,6,0,0,2,0,16,12.4,+3,Collin Sexton
2023-11-27,24-327,UTA,HOME,NOP,W (+2),0,17:40,4,9,.444,3,6,.500,0,0,,1,1,2,0,2,0,4,2,11,4.5,+6,Collin Sexton
2023-11-29,24-329,UTA,AWAY,MEM,L (-14),0,22:08,3,10,.300,1,4,.250,2,3,.667,1,0,1,3,1,0,2,3,9,3.4,-3,Collin Sexton
2023-11-30,24-330,UTA,AWAY,MIN,L (-11),0,23:16,4,8,.500,1,2,.500,5,5,1.000,0,3,3,4,0,0,3,1,14,10.3,-3,Collin Sexton
2023-12-02,24-332,UTA,HOME,POR,W (+5),0,30:28,9,13,.692,0,2,.000,7,7,1.000,1,3,4,5,0,0,3,2,25,20.8,+4,Collin Sexton
2023-12-06,24-336,UTA,AWAY,DAL,L (-50),0,17:55,0,4,.000,0,1,.000,7,8,.875,0,3,3,5,1,0,2,1,7,6.8,-3,Collin Sexton
2023-12-08,24-338,UTA,HOME,LAC,L (-14),0,17:44,5,12,.417,1,4,.250,2,2,1.000,0,3,3,3,1,0,1,2,13,8.8,-1,Collin Sexton
2023-12-11,24-341,UTA,AWAY,OKC,L (-14),0,26:28,7,13,.538,1,4,.250,5,6,.833,2,2,4,2,2,0,0,1,20,18.3,-1,Collin Sexton
2023-12-13,24-343,UTA,HOME,NYK,W (+4),1,30:17,10,18,.556,3,8,.375,3,3,1.000,1,3,4,7,0,0,2,4,26,20.3,-9,Collin Sexton
2023-12-14,24-344,UTA,AWAY,POR,W (+8),1,31:50,11,17,.647,2,5,.400,3,3,1.000,1,1,2,4,1,0,2,2,27,21.5,+17,Collin Sexton
2023-12-16,24-346,UTA,AWAY,SAC,L (-21),1,32:37,10,18,.556,2,6,.333,6,7,.857,1,2,3,1,1,0,1,2,28,20.2,-27,Collin Sexton
2023-12-18,24-348,UTA,HOME,BRK,W (+17),1,35:04,6,17,.353,3,7,.429,12,13,.923,1,2,3,6,0,0,2,3,27,19.4,+18,Collin Sexton
2023-12-20,24-350,UTA,AWAY,CLE,L (-8),1,33:56,7,17,.412,3,6,.500,3,4,.750,0,3,3,2,0,1,2,5,20,9.5,+6,Collin Sexton
2023-12-21,24-351,UTA,AWAY,DET,W (+8),1,32:03,6,18,.333,1,3,.333,6,6,1.000,3,1,4,8,4,0,3,3,19,16.6,-10,Collin Sexton
2023-12-23,24-353,UTA,AWAY,TOR,W (+7),1,24:56,5,11,.455,1,2,.500,5,6,.833,0,0,0,3,1,0,1,0,16,12.0,-11,Collin Sexton
2023-12-26,24-356,UTA,AWAY,SAS,W (+12),1,28:52,8,10,.800,0,2,.000,4,5,.800,0,3,3,6,1,1,1,4,20,20.0,-7,Collin Sexton
2023-12-28,24-358,UTA,AWAY,NOP,L (-7),1,30:00,8,17,.471,3,6,.500,7,9,.778,1,4,5,3,0,0,0,4,26,18.9,+3,Collin Sexton
2023-12-30,24-360,UTA,HOME,MIA,W (+8),1,25:42,8,14,.571,1,4,.250,5,6,.833,1,1,2,5,1,0,3,1,22,17.1,-2,Collin Sexton
2024-01-01,24-362,UTA,HOME,DAL,W (+37),1,18:53,2,8,.250,0,3,.000,4,4,1.000,1,2,3,6,0,0,1,1,8,7.3,+1,Collin Sexton
2024-01-03,24-364,UTA,HOME,DET,W (+6),1,30:16,7,14,.500,1,2,.500,10,10,1.000,1,1,2,5,1,0,0,5,25,21.5,+2,Collin Sexton
2024-01-05,25-001,UTA,AWAY,BOS,L (-29),1,20:28,5,12,.417,0,3,.000,3,3,1.000,0,1,1,3,3,0,3,1,13,8.6,-13,Collin Sexton
2024-01-06,25-002,UTA,AWAY,PHI,W (+11),1,27:07,9,14,.643,1,3,.333,3,4,.750,1,2,3,10,0,0,5,3,22,17.5,+7,Collin Sexton
2024-01-08,25-004,UTA,AWAY,MIL,W (+16),1,18:13,8,13,.615,3,6,.500,0,0,,0,0,0,3,1,0,0,0,19,16.2,+1,Collin Sexton
2024-01-10,25-006,UTA,HOME,DEN,W (+13),1,21:08,8,14,.571,2,4,.500,4,4,1.000,1,1,2,4,1,1,1,3,22,18.7,+11,Collin Sexton
2024-01-12,25-008,UTA,HOME,TOR,W (+32),1,20:09,5,10,.500,3,3,1.000,7,8,.875,0,2,2,5,2,0,2,0,20,18.7,+15,Collin Sexton
2024-01-13,25-009,UTA,HOME,LAL,W (+7),1,27:43,8,13,.615,1,4,.250,10,10,1.000,1,3,4,5,0,0,1,5,27,23.2,+18,Collin Sexton
2024-01-15,25-011,UTA,HOME,IND,W (+27),1,24:16,11,17,.647,4,5,.800,4,4,1.000,1,2,3,5,0,0,1,2,30,25.5,+14,Collin Sexton
2024-01-18,25-014,UTA,HOME,OKC,L (-5),1,34:05,10,19,.526,4,7,.571,7,10,.700,1,0,1,7,1,0,2,4,31,23.5,+4,Collin Sexton
2024-01-20,25-016,UTA,AWAY,HOU,L (-1),1,40:12,11,27,.407,2,7,.286,4,4,1.000,3,0,3,5,2,0,2,4,28,17.5,+12,Collin Sexton
2024-01-23,25-019,UTA,AWAY,NOP,L (-29),1,23:36,9,12,.750,2,4,.500,2,3,.667,0,3,3,7,0,1,1,0,22,22.3,-15,Collin Sexton
2024-01-25,25-021,UTA,AWAY,WAS,W (+15),1,16:52,4,11,.364,1,2,.500,2,2,1.000,1,2,3,6,1,0,2,2,11,8.6,+2,Collin Sexton
2024-01-27,25-023,UTA,AWAY,CHO,W (+12),1,35:21,9,19,.474,3,7,.429,3,5,.600,2,2,4,13,2,0,3,0,24,23.6,+19,Collin Sexton
2024-01-29,25-025,UTA,AWAY,BRK,L (-33),1,23:34,1,10,.100,0,2,.000,4,4,1.000,0,1,1,7,0,0,2,1,6,2.2,-5,Collin Sexton
2024-01-30,25-026,UTA,AWAY,NYK,L (-15),1,27:58,7,13,.538,2,4,.500,6,8,.750,2,1,3,7,0,0,2,2,22,18.7,-6,Collin Sexton
2024-02-01,25-028,UTA,HOME,PHI,L (-3),1,24:49,8,14,.571,2,4,.500,4,4,1.000,0,1,1,6,1,1,3,2,22,17.8,-6,Collin Sexton
2024-02-04,25-031,UTA,HOME,MIL,W (+15),1,25:04,5,13,.385,3,7,.429,6,6,1.000,0,1,1,3,0,0,4,2,19,9.5,-3,Collin Sexton
2024-02-06,25-033,UTA,HOME,OKC,W (+7),1,26:13,4,10,.400,1,3,.333,5,5,1.000,0,0,0,4,0,0,2,2,14,8.6,+5,Collin Sexton
2024-02-08,25-035,UTA,AWAY,PHO,L (-14),1,24:25,7,15,.467,3,6,.500,2,6,.333,2,2,4,8,0,1,5,2,19,12.2,-6,Collin Sexton
2024-02-12,25-039,UTA,HOME,GSW,L (-22),1,26:03,9,15,.600,2,3,.667,2,4,.500,2,4,6,5,0,0,2,1,22,18.0,-20,Collin Sexton
2024-02-14,25-041,UTA,HOME,LAL,L (-16),1,26:05,8,15,.533,2,5,.400,0,0,,0,0,0,3,0,2,0,1,18,13.8,-12,Collin Sexton
2024-02-15,25-042,UTA,HOME,GSW,L (-3),1,33:52,10,18,.556,3,8,.375,12,13,.923,1,2,3,9,1,1,3,2,35,31.5,+15,Collin Sexton
2024-02-22,25-049,UTA,HOME,CHO,L (-8),1,26:18,3,9,.333,2,4,.500,9,10,.900,0,2,2,5,0,0,4,2,17,10.8,+2,Collin Sexton
2024-02-25,25-052,UTA,HOME,SAS,W (+19),1,26:52,4,9,.444,0,0,,8,8,1.000,1,1,2,10,4,0,4,4,16,17.7,+19,Collin Sexton
2024-02-27,25-054,UTA,AWAY,ATL,L (-27),1,29:17,8,16,.500,3,6,.500,3,5,.600,0,1,1,3,6,0,3,2,22,17.8,-18,Collin Sexton
2024-02-29,25-056,UTA,AWAY,ORL,L (-8),1,29:49,5,12,.417,3,5,.600,6,10,.600,0,3,3,4,1,0,1,0,19,14.7,-2,Collin Sexton
2024-03-02,25-058,UTA,AWAY,MIA,L (-6),1,31:29,7,13,.538,0,1,.000,4,4,1.000,0,1,1,5,0,0,0,0,18,15.5,-10,Collin Sexton
2024-03-04,25-060,UTA,HOME,WAS,W (+12),1,33:46,11,19,.579,4,7,.571,3,3,1.000,2,1,3,7,2,0,1,2,29,26.9,+18,Collin Sexton
2024-03-06,25-062,UTA,HOME,CHI,L (-2),1,34:44,7,17,.412,5,11,.455,5,6,.833,0,4,4,7,0,0,2,2,24,17.8,+4,Collin Sexton
2024-03-09,25-065,UTA,AWAY,DEN,L (-21),1,35:39,6,17,.353,1,3,.333,4,5,.800,1,0,1,4,1,0,0,2,17,10.8,-1,Collin Sexton
2024-03-12,25-068,UTA,HOME,BOS,L (-16),1,31:17,9,16,.563,1,4,.250,1,1,1.000,5,2,7,5,0,1,5,5,20,13.7,-8,Collin Sexton
2024-03-15,25-071,UTA,HOME,ATL,W (+2),1,31:27,9,16,.563,3,6,.500,0,0,,0,4,4,6,2,0,1,2,21,19.0,+6,Collin Sexton
2024-03-16,25-072,UTA,HOME,MIN,L (-19),0,30:36,9,16,.563,1,3,.333,3,3,1.000,1,1,2,10,1,0,5,2,22,17.6,-11,Collin Sexton
2024-03-18,25-074,UTA,HOME,MIN,L (-10),0,36:32,9,17,.529,5,8,.625,1,1,1.000,1,0,1,2,0,0,4,0,24,13.8,-10,Collin Sexton
2024-03-20,25-076,UTA,AWAY,OKC,L (-12),0,29:45,12,19,.632,0,2,.000,1,2,.500,1,4,5,7,2,0,2,0,25,22.9,-6,Collin Sexton
2024-03-21,25-077,UTA,AWAY,DAL,L (-16),0,33:48,9,14,.643,0,3,.000,2,2,1.000,1,3,4,5,0,0,3,2,20,15.1,-21,Collin Sexton
2024-03-23,25-079,UTA,AWAY,HOU,L (-28),1,35:51,7,17,.412,1,2,.500,5,6,.833,1,1,2,8,2,0,0,1,20,18.7,-9,Collin Sexton
2024-03-25,25-081,UTA,HOME,DAL,L (-10),1,29:09,8,15,.533,3,6,.500,1,1,1.000,1,1,2,6,0,0,1,2,20,16.1,-15,Collin Sexton
2024-03-27,25-083,UTA,HOME,SAS,L (-7),1,38:19,11,20,.550,2,6,.333,2,2,1.000,1,1,2,9,2,1,3,3,26,22.2,+1,Collin Sexton
2024-03-29,25-085,UTA,HOME,HOU,L (-1),1,44:07,10,21,.476,0,4,.000,9,10,.900,2,4,6,5,0,2,4,3,29,20.2,+5,Collin Sexton
2024-03-31,25-087,UTA,AWAY,SAC,L (-21),1,28:52,7,12,.583,1,3,.333,7,10,.700,0,1,1,4,1,0,2,4,22,15.7,-27,Collin Sexton
2024-04-02,25-089,UTA,HOME,CLE,L (-16),1,34:29,6,14,.429,2,5,.400,5,6,.833,1,2,3,7,0,0,7,4,19,8.8,-7,Collin Sexton
2024-04-05,25-092,UTA,AWAY,LAC,L (-29),1,17:52,3,14,.214,2,6,.333,4,4,1.000,3,0,3,2,0,0,2,1,12,4.5,-25,Collin Sexton
2024-04-07,25-094,UTA,AWAY,GSW,L (-8),1,27:10,5,15,.333,0,2,.000,5,6,.833,0,2,2,7,1,1,3,0,15,10.3,-13,Collin Sexton
2024-04-09,25-096,UTA,HOME,DEN,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Collin Sexton
2024-04-11,25-098,UTA,HOME,HOU,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Collin Sexton
2024-04-12,25-099,UTA,AWAY,LAC,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Collin Sexton
2024-04-14,25-101,UTA,AWAY,GSW,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Collin Sexton
