DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-24,27-243,LAL,AWAY,DEN,L (-12),1,36:11,4,12,.333,2,5,.400,1,2,.500,0,4,4,7,1,0,3,3,11,6.7,+1,D'Angelo Russell
2023-10-26,27-245,LAL,HOME,PHO,W (+5),1,33:05,6,16,.375,1,7,.143,1,1,1.000,0,4,4,5,2,1,3,2,14,8.8,+8,D'Angelo Russell
2023-10-29,27-248,LAL,AWAY,SAC,L (-5),1,40:38,5,13,.385,1,5,.200,6,7,.857,0,3,3,9,0,0,0,4,17,15.1,-7,D'Angelo Russell
2023-10-30,27-249,LAL,HOME,ORL,W (+3),1,36:22,10,14,.714,3,6,.500,5,5,1.000,0,2,2,8,1,1,3,4,28,25.5,+7,D'Angelo Russell
2023-11-01,27-251,LAL,HOME,LAC,W (+5),1,36:13,10,19,.526,3,7,.429,4,4,1.000,0,2,2,6,0,0,3,2,27,18.7,+3,D'Angelo Russell
2023-11-04,27-254,LAL,AWAY,ORL,L (-19),1,34:42,4,17,.235,1,10,.100,2,2,1.000,2,2,4,4,0,0,1,2,11,3.7,-17,D'Angelo Russell
2023-11-06,27-256,LAL,AWAY,MIA,L (-1),1,28:42,6,10,.600,1,3,.333,0,0,,0,4,4,6,0,1,3,2,13,10.7,-4,D'Angelo Russell
2023-11-08,27-258,LAL,AWAY,HOU,L (-34),1,27:35,9,18,.500,4,7,.571,0,0,,0,2,2,4,0,3,1,1,22,17.1,-18,D'Angelo Russell
2023-11-10,27-260,LAL,AWAY,PHO,W (+3),1,28:52,6,12,.500,0,3,.000,7,9,.778,0,3,3,9,0,1,1,4,19,17.5,+1,D'Angelo Russell
2023-11-12,27-262,LAL,HOME,POR,W (+6),1,31:53,5,14,.357,0,3,.000,1,2,.500,1,4,5,11,1,0,1,2,11,11.6,+4,D'Angelo Russell
2023-11-14,27-264,LAL,HOME,MEM,W (+27),1,26:35,8,12,.667,6,8,.750,2,3,.667,0,3,3,5,0,0,0,0,24,22.8,+25,D'Angelo Russell
2023-11-15,27-265,LAL,HOME,SAC,L (-15),1,34:44,12,20,.600,4,6,.667,0,0,,3,2,5,5,0,1,2,3,28,22.5,-13,D'Angelo Russell
2023-11-17,27-267,LAL,AWAY,POR,W (+12),1,28:50,5,10,.500,4,7,.571,0,1,.000,1,2,3,6,0,0,4,1,14,9.7,+2,D'Angelo Russell
2023-11-19,27-269,LAL,HOME,HOU,W (+1),1,24:29,1,8,.125,1,5,.200,1,2,.500,0,5,5,2,3,0,3,1,4,0.9,-7,D'Angelo Russell
2023-11-21,27-271,LAL,HOME,UTA,W (+32),1,26:17,7,9,.778,3,4,.750,3,5,.600,0,3,3,8,0,1,0,2,20,22.1,+30,D'Angelo Russell
