DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2019-10-23,29-100,POR,HOME,DEN,L (-8),1,37:49,10,21,.476,3,10,.300,9,10,.900,1,3,4,8,1,0,3,3,32,24.9,0,Damian Lillard
2019-10-25,29-102,POR,AWAY,SAC,W (+10),1,34:02,12,20,.600,3,7,.429,8,8,1.000,0,5,5,5,3,0,3,4,35,29.2,+23,Damian Lillard
2019-10-27,29-104,POR,AWAY,DAL,W (+2),1,38:24,10,20,.500,1,7,.143,7,9,.778,0,3,3,5,1,1,2,3,28,20.1,-1,Damian Lillard
2019-10-28,29-105,POR,AWAY,SAS,L (-3),1,38:48,9,28,.321,3,10,.300,7,8,.875,0,9,9,7,0,2,1,3,28,18.4,+4,Damian Lillard
2019-10-30,29-107,POR,AWAY,OKC,W (+3),1,38:12,7,19,.368,4,9,.444,5,6,.833,1,6,7,13,2,0,1,2,23,23.9,+9,Damian Lillard
2019-11-02,29-110,POR,HOME,PHI,L (-1),1,39:04,11,16,.688,8,11,.727,3,3,1.000,0,5,5,9,2,0,7,1,33,28.6,+7,Damian Lillard
2019-11-04,29-112,POR,AWAY,GSW,L (-9),1,37:18,15,26,.577,5,13,.385,4,4,1.000,1,1,2,4,0,1,1,0,39,30.3,-11,Damian Lillard
2019-11-07,29-115,POR,AWAY,LAC,L (-6),1,38:08,9,23,.391,3,10,.300,1,2,.500,1,5,6,6,3,0,3,2,22,14.7,-3,Damian Lillard
2019-11-08,29-116,POR,HOME,BRK,L (-4),1,40:21,19,33,.576,7,16,.438,15,15,1.000,0,4,4,5,0,0,2,1,60,46.8,+4,Damian Lillard
2019-11-10,29-118,POR,HOME,ATL,W (+11),1,44:15,8,17,.471,3,9,.333,11,12,.917,1,6,7,6,1,1,4,2,30,24.5,+7,Damian Lillard
2019-11-12,29-120,POR,AWAY,SAC,L (-8),1,37:34,6,10,.600,2,5,.400,13,14,.929,0,4,4,5,2,1,5,1,27,24.0,-11,Damian Lillard
2019-11-13,29-121,POR,HOME,TOR,L (-8),1,36:57,2,12,.167,2,7,.286,3,3,1.000,0,1,1,10,0,2,2,3,9,6.9,-13,Damian Lillard
2019-11-16,29-124,POR,AWAY,SAS,W (+5),1,40:19,4,19,.211,1,9,.111,13,13,1.000,2,4,6,6,1,0,2,3,22,14.9,+18,Damian Lillard
2019-11-18,29-126,POR,AWAY,HOU,L (-24),1,34:31,4,15,.267,1,6,.167,4,4,1.000,0,6,6,11,0,0,4,4,13,8.0,-19,Damian Lillard
2019-11-19,29-127,POR,AWAY,NOP,L (-11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Damian Lillard
2019-11-21,29-129,POR,AWAY,MIL,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Damian Lillard
2019-11-23,29-131,POR,AWAY,CLE,L (-6),1,36:30,7,20,.350,4,9,.444,5,6,.833,3,5,8,8,0,1,4,2,23,16.5,-5,Damian Lillard
2019-11-25,29-133,POR,AWAY,CHI,W (+23),1,27:15,4,10,.400,1,4,.250,4,4,1.000,0,2,2,12,2,0,1,0,13,17.6,+12,Damian Lillard
2019-11-27,29-135,POR,HOME,OKC,W (+17),1,29:38,7,15,.467,5,9,.556,8,8,1.000,1,4,5,5,1,0,1,3,27,23.5,+28,Damian Lillard
2019-11-29,29-137,POR,HOME,CHI,W (+4),1,36:41,9,18,.500,3,11,.273,7,9,.778,0,2,2,6,0,0,4,1,28,18.6,-4,Damian Lillard
2019-12-03,29-141,POR,AWAY,LAC,L (-20),1,29:54,5,15,.333,2,9,.222,4,5,.800,0,2,2,7,1,0,2,2,16,10.8,-13,Damian Lillard
2019-12-04,29-142,POR,HOME,SAC,W (+11),1,37:27,7,12,.583,4,6,.667,6,7,.857,0,4,4,10,2,1,4,2,24,24.1,+14,Damian Lillard
2019-12-06,29-144,POR,HOME,LAL,L (-23),1,40:44,9,18,.500,2,8,.250,9,11,.818,0,7,7,8,0,0,4,0,29,22.9,-10,Damian Lillard
2019-12-08,29-146,POR,HOME,OKC,L (-12),1,38:34,8,24,.333,2,12,.167,8,8,1.000,0,3,3,7,1,0,3,3,26,15.0,-9,Damian Lillard
2019-12-10,29-148,POR,HOME,NYK,W (+28),1,28:59,9,15,.600,8,12,.667,5,5,1.000,0,2,2,6,0,0,3,2,31,25.1,+28,Damian Lillard
2019-12-12,29-150,POR,AWAY,DEN,L (-15),1,37:33,5,16,.313,2,9,.222,1,2,.500,1,1,2,11,1,0,2,0,13,11.1,-11,Damian Lillard
2019-12-16,29-154,POR,AWAY,PHO,W (+1),1,36:47,9,21,.429,3,8,.375,6,7,.857,0,1,1,5,0,0,4,4,27,13.7,+10,Damian Lillard
2019-12-18,29-156,POR,HOME,GSW,W (+10),1,37:16,9,20,.450,2,8,.250,11,13,.846,1,4,5,13,1,1,3,1,31,29.1,+11,Damian Lillard
2019-12-20,29-158,POR,HOME,ORL,W (+15),1,36:26,13,21,.619,7,13,.538,3,3,1.000,0,3,3,6,1,0,5,1,36,27.2,+28,Damian Lillard
2019-12-21,29-159,POR,HOME,MIN,W (+7),1,38:02,10,25,.400,3,12,.250,6,9,.667,0,3,3,7,1,1,3,0,29,18.8,+5,Damian Lillard
2019-12-23,29-161,POR,HOME,NOP,L (-8),1,36:53,6,21,.286,0,10,.000,6,6,1.000,0,3,3,7,2,0,3,1,18,10.1,-14,Damian Lillard
2019-12-26,29-164,POR,AWAY,UTA,L (-6),1,37:28,10,21,.476,7,13,.538,7,8,.875,1,3,4,8,0,0,1,4,34,27.5,-26,Damian Lillard
2019-12-28,29-166,POR,HOME,LAL,L (-8),1,39:17,7,17,.412,4,13,.308,13,14,.929,0,2,2,9,1,1,3,4,31,25.5,-5,Damian Lillard
2019-12-30,29-168,POR,HOME,PHO,L (-6),1,38:07,10,20,.500,5,12,.417,8,12,.667,1,4,5,7,1,0,2,1,33,26.8,+3,Damian Lillard
2020-01-01,29-170,POR,AWAY,NYK,L (-24),1,35:24,5,20,.250,1,8,.125,0,0,,1,9,10,8,1,0,2,1,11,6.6,-10,Damian Lillard
