DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2021-10-20,23-019,WAS,AWAY,TOR,W (+15),1,22:06,3,3,1.000,0,0,,2,3,.667,1,4,5,0,2,4,1,1,8,12.0,+11,Daniel Gafford
2021-10-22,23-021,WAS,HOME,IND,W (+1),1,18:12,4,5,.800,0,0,,0,0,,1,1,2,1,0,2,1,4,8,6.6,-8,Daniel Gafford
2021-10-25,23-024,WAS,AWAY,BRK,L (-14),1,22:42,4,8,.500,0,0,,5,5,1.000,4,1,5,0,0,1,1,3,13,10.6,+8,Daniel Gafford
2021-10-27,23-026,WAS,AWAY,BOS,W (+9),1,7:08,1,1,1.000,0,0,,1,3,.333,1,3,4,0,1,1,1,0,3,4.2,-3,Daniel Gafford
2021-10-28,23-027,WAS,HOME,ATL,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Daniel Gafford
2021-10-30,23-029,WAS,HOME,BOS,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Daniel Gafford
2021-11-01,23-031,WAS,AWAY,ATL,L (-7),1,14:31,2,6,.333,0,0,,0,0,,3,2,5,0,0,3,0,4,4,3.8,-8,Daniel Gafford
2021-11-03,23-033,WAS,HOME,TOR,L (-9),1,20:30,4,5,.800,0,0,,1,1,1.000,2,2,4,0,2,0,1,1,9,9.7,-18,Daniel Gafford
2021-11-05,23-035,WAS,HOME,MEM,W (+28),1,23:23,7,8,.875,0,0,,1,2,.500,2,2,4,3,0,2,3,1,15,13.9,+13,Daniel Gafford
2021-11-07,23-037,WAS,HOME,MIL,W (+7),1,21:39,5,6,.833,0,0,,1,2,.500,2,6,8,0,0,2,0,1,11,12.6,-2,Daniel Gafford
2021-11-10,23-040,WAS,AWAY,CLE,W (+3),1,22:07,2,5,.400,0,0,,0,0,,2,4,6,1,2,0,0,1,4,6.2,-4,Daniel Gafford
2021-11-13,23-043,WAS,AWAY,ORL,W (+12),1,26:32,1,3,.333,0,0,,2,2,1.000,1,3,4,2,0,1,0,5,4,4.0,-2,Daniel Gafford
2021-11-15,23-045,WAS,HOME,NOP,W (+5),1,23:58,3,7,.429,0,0,,0,0,,1,4,5,3,0,3,0,2,6,7.6,-5,Daniel Gafford
2021-11-17,23-047,WAS,AWAY,CHO,L (-10),1,24:21,9,12,.750,0,0,,2,5,.400,2,7,9,1,2,1,1,4,20,18.3,-2,Daniel Gafford
2021-11-18,23-048,WAS,AWAY,MIA,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Daniel Gafford
2021-11-20,23-050,WAS,HOME,MIA,W (+3),1,14:51,3,3,1.000,0,0,,0,0,,0,1,1,0,0,1,4,4,6,0.5,-11,Daniel Gafford
2021-11-22,23-052,WAS,HOME,CHO,L (-6),1,21:12,3,7,.429,0,0,,2,4,.500,3,7,10,0,0,2,2,5,8,5.1,-14,Daniel Gafford
2021-11-24,23-054,WAS,AWAY,NOP,L (-25),1,14:29,4,6,.667,0,0,,0,0,,2,0,2,1,0,2,2,2,8,6.1,-19,Daniel Gafford
2021-11-26,23-056,WAS,AWAY,OKC,W (+2),1,26:57,3,5,.600,0,0,,1,1,1.000,2,6,8,1,1,8,0,0,7,15.2,+9,Daniel Gafford
2021-11-27,23-057,WAS,AWAY,DAL,W (+6),1,27:26,6,7,.857,0,0,,2,2,1.000,4,6,10,3,0,2,0,2,14,18.8,+14,Daniel Gafford
2021-11-29,23-059,WAS,AWAY,SAS,L (-17),1,22:05,5,7,.714,0,0,,1,2,.500,3,7,10,3,0,1,1,2,11,12.9,-6,Daniel Gafford
2021-12-01,23-061,WAS,HOME,MIN,W (+8),1,26:48,7,11,.636,0,0,,4,4,1.000,4,6,10,1,1,3,3,3,18,17.3,-1,Daniel Gafford
2021-12-03,23-063,WAS,HOME,CLE,L (-15),1,22:43,2,3,.667,0,0,,0,0,,0,6,6,1,1,1,1,4,4,4.3,-13,Daniel Gafford
2021-12-05,23-065,WAS,AWAY,TOR,L (-12),1,14:56,1,4,.250,0,0,,2,2,1.000,1,5,6,0,0,2,2,5,4,1.2,-8,Daniel Gafford
2021-12-06,23-066,WAS,AWAY,IND,L (-6),1,20:22,7,8,.875,0,0,,0,1,.000,3,5,8,0,0,0,0,4,14,12.8,-9,Daniel Gafford
