DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,23-272,CLE,AWAY,BRK,W (+1),1,32:20,6,12,.500,1,5,.200,2,2,1.000,1,1,2,5,2,0,6,2,15,8.7,+6,Darius Garland
2023-10-27,23-274,CLE,HOME,OKC,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Darius Garland
2023-10-28,23-275,CLE,HOME,IND,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Darius Garland
2023-10-31,23-278,CLE,HOME,NYK,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Darius Garland
2023-11-01,23-279,CLE,AWAY,NYK,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Darius Garland
2023-11-03,23-281,CLE,AWAY,IND,L (-5),1,31:59,5,11,.455,0,2,.000,4,4,1.000,0,0,0,6,2,1,4,1,14,10.8,-10,Darius Garland
2023-11-05,23-283,CLE,HOME,GSW,W (+11),1,30:05,6,17,.353,0,5,.000,12,13,.923,0,3,3,7,0,0,6,3,24,12.7,+15,Darius Garland
2023-11-08,23-286,CLE,AWAY,OKC,L (-8),1,36:04,7,11,.636,1,3,.333,0,1,.000,1,2,3,9,2,1,8,4,15,10.4,-1,Darius Garland
2023-11-11,23-289,CLE,AWAY,GSW,W (+8),1,35:50,6,13,.462,3,5,.600,4,6,.667,2,4,6,4,5,0,4,2,19,17.1,+5,Darius Garland
2023-11-13,23-291,CLE,AWAY,SAC,L (-12),1,33:42,5,14,.357,3,8,.375,3,4,.750,0,3,3,6,0,0,1,1,16,11.5,-14,Darius Garland
