DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,25-309,SAC,AWAY,UTA,W (+16),1,32:57,6,18,.333,1,7,.143,5,6,.833,2,3,5,6,1,1,3,4,18,11.0,+14,De'Aaron Fox
2023-10-27,25-311,SAC,HOME,GSW,L (-8),1,39:09,14,28,.500,5,9,.556,6,7,.857,0,4,4,4,2,0,2,3,39,27.4,+1,De'Aaron Fox
2023-10-29,25-313,SAC,HOME,LAL,W (+5),1,34:15,14,24,.583,3,8,.375,6,8,.750,1,3,4,8,1,1,3,5,37,28.9,+15,De'Aaron Fox
2023-11-01,25-316,SAC,AWAY,GSW,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,De'Aaron Fox
2023-11-04,25-319,SAC,AWAY,HOU,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,De'Aaron Fox
2023-11-06,25-321,SAC,AWAY,HOU,L (-25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,De'Aaron Fox
2023-11-08,25-323,SAC,HOME,POR,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,De'Aaron Fox
2023-11-10,25-325,SAC,HOME,OKC,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,De'Aaron Fox
2023-11-13,25-328,SAC,HOME,CLE,W (+12),1,35:52,11,20,.550,2,6,.333,4,7,.571,1,1,2,6,1,0,1,2,28,21.6,+17,De'Aaron Fox
2023-11-15,25-330,SAC,AWAY,LAL,W (+15),1,38:20,10,22,.455,3,9,.333,5,7,.714,3,2,5,5,4,0,3,3,28,21.8,+15,De'Aaron Fox
