DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2021-10-21,23-323,ATL,HOME,DAL,W (+26),1,28:43,5,11,.455,1,3,.333,0,0,,0,3,3,1,0,2,0,3,11,7.1,+19,De'Andre Hunter
2021-10-23,23-325,ATL,AWAY,CLE,L (-6),1,30:01,5,16,.313,2,8,.250,0,0,,1,2,3,1,0,0,0,3,12,3.6,-11,De'Andre Hunter
2021-10-25,23-327,ATL,HOME,DET,W (+18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,De'Andre Hunter
2021-10-27,23-329,ATL,AWAY,NOP,W (+3),1,29:22,5,10,.500,1,1,1.000,2,2,1.000,1,1,2,0,1,0,2,1,13,7.6,-2,De'Andre Hunter
2021-10-28,23-330,ATL,AWAY,WAS,L (-11),1,30:45,4,9,.444,2,3,.667,0,0,,0,4,4,1,0,0,2,3,10,4.0,-6,De'Andre Hunter
2021-10-30,23-332,ATL,AWAY,PHI,L (-28),1,23:00,3,10,.300,0,2,.000,1,2,.500,0,3,3,0,0,0,3,1,7,-1.7,-8,De'Andre Hunter
2021-11-01,23-334,ATL,HOME,WAS,W (+7),1,27:08,5,11,.455,1,4,.250,0,0,,0,2,2,0,2,0,1,4,11,5.3,+5,De'Andre Hunter
2021-11-03,23-336,ATL,AWAY,BRK,L (-9),1,32:54,10,11,.909,6,6,1.000,0,1,.000,1,1,2,0,1,1,4,4,26,19.0,+4,De'Andre Hunter
2021-11-04,23-337,ATL,HOME,UTA,L (-18),1,31:20,7,9,.778,0,2,.000,0,3,.000,0,2,2,2,1,0,1,4,14,9.7,-4,De'Andre Hunter
2021-11-06,23-339,ATL,AWAY,PHO,L (-4),1,28:45,1,9,.111,0,2,.000,0,0,,1,4,5,2,1,0,0,2,2,-0.4,-7,De'Andre Hunter
2021-11-08,23-341,ATL,AWAY,GSW,L (-14),1,22:41,4,9,.444,2,5,.400,1,2,.500,0,2,2,0,1,0,1,3,11,5.3,-1,De'Andre Hunter
2021-11-09,23-342,ATL,AWAY,UTA,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,De'Andre Hunter
2021-11-12,23-345,ATL,AWAY,DEN,L (-9),1,21:29,1,6,.167,0,2,.000,0,0,,0,2,2,0,0,0,0,4,2,-2.8,-18,De'Andre Hunter
2021-11-14,23-347,ATL,HOME,MIL,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,De'Andre Hunter
