DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2020-12-23,22-153,PHO,HOME,DAL,W (+4),1,24:10,5,9,.556,0,0,,3,6,.500,1,7,8,1,1,2,2,4,13,9.8,-4,Deandre Ayton
2020-12-26,22-156,PHO,AWAY,SAC,L (-3),1,29:56,3,5,.600,0,0,,3,5,.600,4,8,12,2,0,1,2,5,9,9.2,+7,Deandre Ayton
2020-12-27,22-157,PHO,AWAY,SAC,W (+16),1,29:18,5,11,.455,1,2,.500,0,0,,3,12,15,4,0,0,1,2,11,12.0,-1,Deandre Ayton
2020-12-29,22-159,PHO,HOME,NOP,W (+25),1,26:27,6,11,.545,0,0,,1,1,1.000,5,7,12,0,0,1,0,1,13,13.6,+16,Deandre Ayton
2020-12-31,22-161,PHO,AWAY,UTA,W (+11),1,28:20,2,8,.250,0,0,,0,0,,2,7,9,3,1,2,1,3,4,5.0,-1,Deandre Ayton
2021-01-01,22-162,PHO,AWAY,DEN,W (+3),1,37:30,10,13,.769,0,1,.000,2,2,1.000,2,9,11,1,0,2,4,3,22,17.9,-11,Deandre Ayton
2021-01-03,22-164,PHO,HOME,LAC,L (-5),1,29:30,9,12,.750,0,0,,6,7,.857,4,4,8,2,1,0,1,5,24,22.2,-15,Deandre Ayton
2021-01-06,22-167,PHO,HOME,TOR,W (+8),1,31:25,5,8,.625,0,1,.000,1,1,1.000,2,14,16,1,0,0,2,5,11,9.7,-1,Deandre Ayton
2021-01-08,22-169,PHO,AWAY,DET,L (-5),1,36:49,7,9,.778,0,0,,0,3,.000,4,9,13,2,1,2,5,5,14,11.6,-26,Deandre Ayton
2021-01-09,22-170,PHO,AWAY,IND,W (+8),1,33:42,4,10,.400,0,0,,0,0,,3,11,14,3,0,0,0,2,8,9.3,+12,Deandre Ayton
2021-01-11,22-172,PHO,AWAY,WAS,L (-21),1,24:54,4,10,.400,0,0,,0,0,,2,4,6,1,0,1,2,2,8,3.8,-23,Deandre Ayton
2021-01-18,22-179,PHO,AWAY,MEM,L (-4),1,34:38,7,14,.500,0,2,.000,4,5,.800,3,12,15,3,0,1,3,2,18,15.3,+7,Deandre Ayton
2021-01-20,22-181,PHO,AWAY,HOU,W (+6),1,35:34,11,15,.733,0,0,,4,4,1.000,6,11,17,3,0,5,2,3,26,29.8,-5,Deandre Ayton
2021-01-22,22-183,PHO,HOME,DEN,L (-4),1,37:10,11,13,.846,0,1,.000,5,5,1.000,6,7,13,1,1,0,0,3,27,29.1,+4,Deandre Ayton
2021-01-23,22-184,PHO,HOME,DEN,L (-8),1,37:36,7,14,.500,1,2,.500,2,3,.667,2,11,13,1,0,2,3,6,17,11.0,+2,Deandre Ayton
2021-01-27,22-188,PHO,HOME,OKC,L (-5),1,35:04,2,7,.286,0,0,,1,2,.500,4,10,14,0,1,0,4,3,5,2.1,+7,Deandre Ayton
2021-01-28,22-189,PHO,HOME,GSW,W (+21),1,23:19,5,7,.714,0,0,,2,2,1.000,4,9,13,4,1,0,4,4,12,12.8,+11,Deandre Ayton
2021-01-30,22-191,PHO,AWAY,DAL,W (+6),1,39:04,8,16,.500,0,1,.000,2,4,.500,6,11,17,4,1,0,2,2,18,17.7,+10,Deandre Ayton
2021-02-01,22-193,PHO,AWAY,DAL,W (+1),1,32:56,5,12,.417,0,1,.000,0,1,.000,6,11,17,1,0,1,2,5,10,8.1,-13,Deandre Ayton
2021-02-03,22-195,PHO,AWAY,NOP,L (-22),1,29:06,6,9,.667,0,0,,1,1,1.000,4,7,11,2,0,1,1,3,13,13.9,-14,Deandre Ayton
2021-02-05,22-197,PHO,HOME,DET,W (+17),1,32:57,4,11,.364,0,1,.000,0,0,,5,8,13,1,0,1,5,4,8,2.6,+23,Deandre Ayton
2021-02-07,22-199,PHO,HOME,BOS,W (+9),1,38:48,7,11,.636,0,1,.000,2,2,1.000,2,9,11,3,0,1,3,3,16,13.8,+20,Deandre Ayton
2021-02-08,22-200,PHO,HOME,CLE,W (+6),1,36:42,7,11,.636,0,0,,1,2,.500,8,8,16,2,0,3,1,2,15,19.4,+4,Deandre Ayton
2021-02-10,22-202,PHO,HOME,MIL,W (+1),1,29:50,7,10,.700,1,1,1.000,2,2,1.000,4,3,7,0,0,0,2,5,17,12.5,-4,Deandre Ayton
2021-02-13,22-205,PHO,HOME,PHI,W (+9),1,26:48,5,6,.833,0,0,,1,2,.500,1,5,6,0,0,0,2,3,11,7.4,-6,Deandre Ayton
2021-02-14,22-206,PHO,HOME,ORL,W (+19),1,30:00,5,7,.714,0,1,.000,0,0,,4,9,13,1,0,0,2,2,10,10.5,+20,Deandre Ayton
2021-02-16,22-208,PHO,HOME,BRK,L (-4),1,34:33,7,9,.778,1,1,1.000,1,1,1.000,1,8,9,2,0,1,1,4,16,15.1,-1,Deandre Ayton
2021-02-19,22-211,PHO,AWAY,NOP,W (+18),1,35:07,7,12,.583,0,0,,2,3,.667,4,12,16,2,0,1,2,3,16,15.3,+20,Deandre Ayton
2021-02-20,22-212,PHO,AWAY,MEM,W (+31),1,22:29,3,6,.500,0,0,,1,2,.500,1,5,6,1,0,2,0,0,7,7.9,+15,Deandre Ayton
2021-02-22,22-214,PHO,HOME,POR,W (+32),1,25:50,8,11,.727,0,0,,3,3,1.000,2,3,5,2,1,2,1,2,19,18.8,+25,Deandre Ayton
2021-02-24,22-216,PHO,HOME,CHO,L (-3),1,31:37,5,8,.625,0,0,,6,8,.750,4,6,10,1,0,1,0,2,16,16.8,-9,Deandre Ayton
2021-02-26,22-218,PHO,AWAY,CHI,W (+9),1,33:25,10,17,.588,0,0,,2,2,1.000,2,5,7,1,1,3,0,2,22,20.0,+9,Deandre Ayton
2021-02-28,22-220,PHO,AWAY,MIN,W (+19),1,25:48,9,11,.818,0,0,,4,4,1.000,2,8,10,1,1,0,0,4,22,21.8,+13,Deandre Ayton
2021-03-02,22-222,PHO,AWAY,LAL,W (+10),1,24:44,7,14,.500,0,0,,3,3,1.000,1,5,6,1,0,1,1,3,17,11.4,+5,Deandre Ayton
2021-03-04,22-224,PHO,HOME,GSW,W (+22),1,22:27,5,10,.500,0,1,.000,1,2,.500,3,7,10,2,0,1,0,3,11,10.7,+9,Deandre Ayton
2021-03-11,22-231,PHO,AWAY,POR,W (+6),1,22:41,5,8,.625,0,0,,1,3,.333,2,2,4,0,1,0,1,3,11,7.4,-4,Deandre Ayton
2021-03-13,22-233,PHO,HOME,IND,L (-11),1,29:03,7,10,.700,0,0,,0,2,.000,4,8,12,1,1,2,2,2,14,14.5,-10,Deandre Ayton
2021-03-15,22-235,PHO,HOME,MEM,W (+23),1,28:23,6,9,.667,0,0,,3,3,1.000,3,6,9,0,2,3,2,1,15,16.7,+7,Deandre Ayton
