DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2019-10-23,23-034,SAS,HOME,NYK,W (+9),1,23:47,7,10,.700,1,1,1.000,3,3,1.000,0,8,8,6,3,0,4,1,18,19.0,+9,Dejounte Murray
2019-10-26,23-037,SAS,HOME,WAS,W (+2),1,23:02,8,15,.533,0,3,.000,3,3,1.000,3,7,10,4,2,1,1,1,19,20.0,+5,Dejounte Murray
2019-10-28,23-039,SAS,HOME,POR,W (+3),1,22:20,3,8,.375,0,1,.000,1,2,.500,0,7,7,8,1,1,4,1,7,7.2,-2,Dejounte Murray
2019-10-31,23-042,SAS,AWAY,LAC,L (-6),1,23:10,2,5,.400,0,1,.000,4,6,.667,0,7,7,2,3,1,2,5,8,7.7,-13,Dejounte Murray
2019-11-01,23-043,SAS,AWAY,GSW,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Dejounte Murray
2019-11-03,23-045,SAS,HOME,LAL,L (-7),1,24:21,7,12,.583,1,1,1.000,3,5,.600,2,9,11,4,2,1,4,1,18,16.8,-3,Dejounte Murray
2019-11-05,23-047,SAS,AWAY,ATL,L (-8),1,19:01,1,7,.143,0,2,.000,1,2,.500,2,3,5,4,0,0,3,5,3,-1.8,-18,Dejounte Murray
2019-11-07,23-049,SAS,HOME,OKC,W (+9),1,25:53,7,12,.583,0,0,,3,3,1.000,2,6,8,10,1,0,2,1,17,20.2,+1,Dejounte Murray
2019-11-09,23-051,SAS,HOME,BOS,L (-20),1,24:09,2,8,.250,0,1,.000,0,0,,1,6,7,4,1,0,4,3,4,0.3,-8,Dejounte Murray
2019-11-11,23-053,SAS,HOME,MEM,L (-4),1,19:16,1,3,.333,0,0,,2,3,.667,2,4,6,4,1,1,4,0,4,5.0,-2,Dejounte Murray
2019-11-13,23-055,SAS,AWAY,MIN,L (-15),1,21:55,2,6,.333,0,0,,7,7,1.000,0,4,4,1,0,0,0,5,11,7.5,-3,Dejounte Murray
2019-11-15,23-057,SAS,AWAY,ORL,L (-2),1,20:46,5,6,.833,0,1,.000,0,0,,1,4,5,6,1,0,2,4,10,11.3,-7,Dejounte Murray
2019-11-16,23-058,SAS,HOME,POR,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Dejounte Murray
2019-11-18,23-060,SAS,AWAY,DAL,L (-7),1,25:21,4,11,.364,0,1,.000,0,0,,2,3,5,3,0,0,0,2,8,5.5,-11,Dejounte Murray
2019-11-20,23-062,SAS,AWAY,WAS,L (-6),0,19:23,7,11,.636,1,2,.500,0,0,,3,2,5,2,3,0,3,3,15,13.0,-21,Dejounte Murray
2019-11-22,23-064,SAS,AWAY,PHI,L (-11),1,23:24,3,8,.375,0,2,.000,3,5,.600,0,2,2,4,4,0,1,2,9,9.4,-10,Dejounte Murray
2019-11-23,23-065,SAS,AWAY,NYK,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Dejounte Murray
2019-11-25,23-067,SAS,HOME,LAL,L (-10),0,21:29,2,6,.333,1,2,.500,0,0,,1,7,8,3,0,0,4,2,5,1.7,-14,Dejounte Murray
2019-11-27,23-069,SAS,HOME,MIN,L (-12),0,23:04,4,8,.500,0,2,.000,0,0,,1,4,5,1,1,0,1,3,8,5.4,+2,Dejounte Murray
2019-11-29,23-071,SAS,HOME,LAC,W (+10),0,19:36,2,8,.250,0,2,.000,0,0,,1,2,3,4,1,0,0,0,4,4.3,+6,Dejounte Murray
2019-12-01,23-073,SAS,AWAY,DET,L (-34),0,22:08,1,6,.167,1,2,.500,2,2,1.000,0,3,3,6,3,0,1,0,5,8.3,-15,Dejounte Murray
2019-12-03,23-075,SAS,HOME,HOU,W (+2),0,17:58,3,8,.375,0,0,,1,2,.500,2,3,5,2,2,0,1,4,7,5.3,+17,Dejounte Murray
