DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2020-12-23,19-355,WAS,AWAY,PHI,L (-6),1,28:06,2,2,1.000,2,2,1.000,1,2,.500,0,4,4,1,1,0,1,3,7,6.7,+14,Deni Avdija
2020-12-26,19-358,WAS,HOME,ORL,L (-10),1,14:40,2,2,1.000,1,1,1.000,0,1,.000,0,3,3,2,0,0,0,4,5,4.7,-7,Deni Avdija
2020-12-27,19-359,WAS,HOME,ORL,L (-7),1,36:11,4,11,.364,1,5,.200,0,0,,2,7,9,3,2,0,1,1,9,9.1,+13,Deni Avdija
2020-12-29,19-361,WAS,HOME,CHI,L (-8),1,26:19,3,6,.500,3,5,.600,0,0,,0,4,4,4,2,1,1,5,9,9.7,-5,Deni Avdija
2020-12-31,19-363,WAS,HOME,CHI,L (-3),1,24:32,2,5,.400,0,3,.000,2,2,1.000,1,3,4,3,0,0,0,1,6,6.6,+5,Deni Avdija
2021-01-01,19-364,WAS,AWAY,MIN,W (+21),1,27:14,4,7,.571,3,5,.600,0,0,,0,7,7,3,3,0,1,3,11,12.7,+32,Deni Avdija
2021-01-03,20-000,WAS,AWAY,BRK,W (+1),1,16:23,1,4,.250,1,2,.500,0,0,,0,1,1,1,1,1,1,2,3,1.5,-9,Deni Avdija
2021-01-06,20-003,WAS,AWAY,PHI,L (-5),1,15:31,0,1,.000,0,1,.000,1,2,.500,0,0,0,0,0,1,0,3,1,-0.6,-9,Deni Avdija
2021-01-08,20-005,WAS,AWAY,BOS,L (-9),1,14:25,0,3,.000,0,2,.000,0,0,,0,2,2,1,0,0,0,2,0,-1.6,-21,Deni Avdija
2021-01-09,20-006,WAS,HOME,MIA,L (-4),1,31:38,7,15,.467,5,9,.556,1,1,1.000,0,5,5,5,2,0,0,2,20,18.5,-4,Deni Avdija
2021-01-11,20-008,WAS,HOME,PHO,W (+21),1,19:48,3,6,.500,0,0,,0,0,,1,4,5,1,0,0,2,3,6,2.4,+3,Deni Avdija
2021-01-24,20-021,WAS,AWAY,SAS,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Deni Avdija
2021-01-26,20-023,WAS,AWAY,HOU,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Deni Avdija
2021-01-27,20-024,WAS,AWAY,NOP,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Deni Avdija
2021-01-29,20-026,WAS,HOME,ATL,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Deni Avdija
2021-01-31,20-028,WAS,HOME,BRK,W (+3),1,15:41,1,4,.250,0,2,.000,0,0,,1,1,2,0,0,0,0,2,2,-0.2,-9,Deni Avdija
2021-02-02,20-030,WAS,HOME,POR,L (-11),1,23:04,5,6,.833,2,3,.667,1,1,1.000,3,4,7,3,0,0,0,3,13,15.0,+4,Deni Avdija
2021-02-03,20-031,WAS,AWAY,MIA,W (+3),1,32:55,5,9,.556,3,5,.600,0,0,,0,4,4,0,1,0,2,2,13,8.1,-9,Deni Avdija
2021-02-05,20-033,WAS,AWAY,MIA,L (-27),1,16:06,2,5,.400,0,2,.000,0,0,,0,6,6,0,1,1,0,3,4,3.6,-11,Deni Avdija
2021-02-07,20-035,WAS,AWAY,CHO,L (-22),1,15:25,2,5,.400,0,2,.000,0,0,,0,2,2,2,0,0,1,1,4,1.9,-22,Deni Avdija
2021-02-08,20-036,WAS,AWAY,CHI,W (+4),0,28:27,2,9,.222,0,5,.000,0,2,.000,0,10,10,1,3,0,1,4,4,1.8,+15,Deni Avdija
2021-02-10,20-038,WAS,HOME,TOR,L (-22),0,26:40,3,7,.429,2,6,.333,1,2,.500,1,6,7,3,0,0,2,3,9,6.3,-11,Deni Avdija
2021-02-12,20-040,WAS,HOME,NYK,L (-18),0,21:30,3,9,.333,1,5,.200,1,2,.500,2,4,6,0,0,0,2,3,8,1.9,-3,Deni Avdija
2021-02-14,20-042,WAS,HOME,BOS,W (+13),0,27:59,2,9,.222,1,5,.200,3,4,.750,1,9,10,0,0,0,2,4,8,1.9,-2,Deni Avdija
2021-02-15,20-043,WAS,HOME,HOU,W (+12),0,19:39,2,4,.500,1,3,.333,0,0,,0,3,3,0,0,0,0,5,5,1.9,+6,Deni Avdija
2021-02-17,20-045,WAS,HOME,DEN,W (+2),0,20:40,1,3,.333,1,3,.333,0,0,,0,7,7,2,1,0,1,2,3,4.0,+14,Deni Avdija
2021-02-20,20-048,WAS,AWAY,POR,W (+7),0,11:05,1,1,1.000,0,0,,0,0,,0,3,3,0,0,0,0,2,2,1.8,-4,Deni Avdija
2021-02-22,20-050,WAS,AWAY,LAL,W (+3),0,22:32,3,5,.600,2,3,.667,0,0,,0,9,9,2,1,0,1,1,8,9.4,-4,Deni Avdija
2021-02-23,20-051,WAS,AWAY,LAC,L (-19),0,11:31,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,2,3,0,-4.3,-13,Deni Avdija
2021-02-25,20-053,WAS,AWAY,DEN,W (+2),0,19:31,1,1,1.000,0,0,,0,0,,0,2,2,1,0,0,0,0,2,3.0,-2,Deni Avdija
2021-02-27,20-055,WAS,HOME,MIN,W (+16),0,20:49,1,6,.167,0,2,.000,0,0,,0,2,2,0,0,1,1,4,2,-3.1,+17,Deni Avdija
2021-02-28,20-056,WAS,AWAY,BOS,L (-1),0,6:46,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,3,0,-0.6,-1,Deni Avdija
2021-03-02,20-058,WAS,HOME,MEM,L (-14),0,25:41,4,7,.571,2,4,.500,0,0,,0,7,7,1,0,0,2,0,10,7.5,+6,Deni Avdija
2021-03-04,20-060,WAS,HOME,LAC,W (+2),0,24:53,2,2,1.000,0,0,,0,0,,1,6,7,0,1,1,0,1,4,7.2,-13,Deni Avdija
2021-03-10,20-066,WAS,AWAY,MEM,L (-15),0,24:13,5,8,.625,3,5,.600,0,0,,0,6,6,1,1,0,0,2,13,12.1,+2,Deni Avdija
2021-03-12,20-068,WAS,HOME,PHI,L (-26),0,28:16,2,6,.333,0,3,.000,0,0,,0,5,5,1,0,0,1,5,4,-0.2,-6,Deni Avdija
2021-03-13,20-069,WAS,HOME,MIL,L (-6),1,35:00,4,10,.400,1,6,.167,0,0,,1,3,4,1,1,1,1,5,9,4.6,-11,Deni Avdija
2021-03-15,20-071,WAS,HOME,MIL,L (-11),0,31:19,5,9,.556,1,4,.250,0,0,,0,6,6,2,0,0,1,3,11,7.7,+8,Deni Avdija
2021-03-17,20-073,WAS,HOME,SAC,L (-2),0,17:44,3,5,.600,0,2,.000,0,0,,0,2,2,1,0,1,1,2,6,3.9,-2,Deni Avdija
2021-03-18,20-074,WAS,HOME,UTA,W (+9),0,20:23,0,3,.000,0,3,.000,2,2,1.000,0,4,4,1,0,0,0,3,2,0.6,+2,Deni Avdija
2021-03-21,20-077,WAS,AWAY,BRK,L (-7),0,11:07,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-1.5,-18,Deni Avdija
2021-03-23,20-079,WAS,AWAY,NYK,L (-18),0,21:47,5,7,.714,2,4,.500,2,3,.667,1,3,4,0,0,0,0,6,14,9.9,-5,Deni Avdija
2021-03-25,20-081,WAS,AWAY,NYK,L (-4),0,10:55,0,4,.000,0,1,.000,0,0,,0,2,2,0,0,1,0,4,0,-3.1,-1,Deni Avdija
2021-03-27,20-083,WAS,HOME,DET,W (+14),1,26:51,2,6,.333,1,3,.333,0,0,,1,4,5,2,2,0,0,0,5,6.9,+2,Deni Avdija
2021-03-29,20-085,WAS,HOME,IND,W (+8),1,31:31,4,6,.667,2,3,.667,2,2,1.000,0,8,8,1,0,0,0,2,12,11.7,+11,Deni Avdija
2021-03-30,20-086,WAS,HOME,CHO,L (-10),1,32:10,1,10,.100,1,7,.143,0,0,,0,8,8,0,0,1,1,6,3,-3.9,-3,Deni Avdija
2021-04-01,20-088,WAS,AWAY,DET,L (-29),1,33:58,4,10,.400,1,4,.250,2,5,.400,0,10,10,1,1,0,1,3,11,6.9,-31,Deni Avdija
2021-04-03,20-090,WAS,HOME,DAL,L (-22),1,39:21,4,11,.364,0,4,.000,1,1,1.000,1,7,8,1,0,0,0,3,9,5.2,-19,Deni Avdija
2021-04-05,20-092,WAS,AWAY,TOR,L (-2),1,39:39,4,10,.400,2,6,.333,2,2,1.000,2,8,10,1,0,1,0,1,12,11.4,+8,Deni Avdija
2021-04-07,20-094,WAS,AWAY,ORL,W (+15),1,29:31,6,10,.600,4,7,.571,0,0,,0,5,5,2,0,0,0,2,16,13.5,+19,Deni Avdija
2021-04-09,20-096,WAS,AWAY,GSW,W (+3),1,21:24,0,6,.000,0,3,.000,2,4,.500,1,3,4,3,2,0,0,1,2,2.3,-13,Deni Avdija
2021-04-10,20-097,WAS,AWAY,PHO,L (-28),1,31:17,2,6,.333,2,4,.500,3,4,.750,0,6,6,2,0,0,1,4,9,5.8,-19,Deni Avdija
2021-04-12,20-099,WAS,AWAY,UTA,W (+4),1,9:51,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,4,0,-0.3,-5,Deni Avdija
2021-04-14,20-101,WAS,AWAY,SAC,W (+12),1,31:07,5,7,.714,1,2,.500,0,0,,0,4,4,0,1,1,0,2,11,10.2,-6,Deni Avdija
2021-04-16,20-103,WAS,HOME,NOP,W (+2),1,20:10,0,2,.000,0,2,.000,0,0,,0,4,4,2,1,1,0,3,0,1.7,+2,Deni Avdija
2021-04-17,20-104,WAS,HOME,DET,W (+21),1,23:34,1,1,1.000,1,1,1.000,0,0,,0,5,5,2,2,1,1,1,3,6.9,+20,Deni Avdija
2021-04-19,20-106,WAS,HOME,OKC,W (+12),1,26:12,3,11,.273,0,6,.000,0,1,.000,1,5,6,0,0,0,0,2,6,0.5,+5,Deni Avdija
2021-04-21,20-108,WAS,HOME,GSW,W (+4),1,13:51,2,5,.400,0,0,,2,2,1.000,1,2,3,0,1,0,1,0,6,4.6,+9,Deni Avdija
2021-04-23,20-110,WAS,AWAY,OKC,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Deni Avdija
2021-04-25,20-112,WAS,HOME,CLE,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Deni Avdija
