DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,30-040,TOR,HOME,MIN,W (+3),1,32:33,8,17,.471,4,8,.500,2,2,1.000,1,2,3,7,0,0,2,1,22,17.1,+10,Dennis Schroder
2023-10-27,30-042,TOR,AWAY,CHI,L (-1),1,35:19,3,11,.273,2,5,.400,2,3,.667,0,2,2,10,0,0,2,1,10,8.3,-6,Dennis Schroder
2023-10-28,30-043,TOR,HOME,PHI,L (-7),1,35:17,5,14,.357,4,6,.667,1,2,.500,3,1,4,10,2,0,1,1,15,16.8,-5,Dennis Schroder
2023-10-30,30-045,TOR,HOME,POR,L (-8),1,32:00,4,10,.400,1,3,.333,1,1,1.000,0,1,1,8,1,0,1,1,10,10.1,+1,Dennis Schroder
2023-11-01,30-047,TOR,HOME,MIL,W (+19),1,28:36,9,13,.692,2,4,.500,4,4,1.000,1,3,4,11,1,0,2,2,24,26.0,+21,Dennis Schroder
2023-11-02,30-048,TOR,AWAY,PHI,L (-15),1,31:25,4,9,.444,1,2,.500,4,6,.667,0,3,3,10,1,0,3,0,13,13.4,-7,Dennis Schroder
2023-11-05,30-051,TOR,AWAY,SAS,W (+7),1,38:03,10,19,.526,1,8,.125,3,4,.750,2,1,3,6,2,1,2,1,24,20.5,+1,Dennis Schroder
2023-11-08,30-054,TOR,AWAY,DAL,W (+11),1,29:43,7,13,.538,1,4,.250,3,4,.750,0,2,2,5,2,1,2,4,18,14.5,+1,Dennis Schroder
2023-11-11,30-057,TOR,AWAY,BOS,L (-23),1,25:19,3,7,.429,1,3,.333,7,7,1.000,0,1,1,4,1,0,1,3,14,12.2,-2,Dennis Schroder
2023-11-13,30-059,TOR,HOME,WAS,W (+4),1,34:54,1,12,.083,0,4,.000,2,2,1.000,1,3,4,6,0,0,3,2,4,-2.0,+2,Dennis Schroder
2023-11-15,30-061,TOR,HOME,MIL,L (-16),1,22:32,2,9,.222,1,4,.250,4,4,1.000,0,3,3,5,2,0,2,3,9,6.7,-29,Dennis Schroder
2023-11-17,30-063,TOR,HOME,BOS,L (-3),1,35:03,9,19,.474,5,11,.455,0,0,,0,7,7,6,0,0,2,2,23,16.8,+1,Dennis Schroder
2023-11-19,30-065,TOR,HOME,DET,W (+29),1,26:23,8,15,.533,0,4,.000,1,2,.500,0,2,2,7,1,0,0,0,17,15.8,+19,Dennis Schroder
2023-11-21,30-067,TOR,AWAY,ORL,L (-19),1,27:16,8,13,.615,4,4,1.000,4,4,1.000,0,1,1,1,0,0,2,2,24,16.3,-11,Dennis Schroder
2023-11-22,30-068,TOR,AWAY,IND,W (+1),1,31:32,10,16,.625,2,5,.400,4,4,1.000,0,6,6,5,1,0,4,3,26,19.9,-2,Dennis Schroder
