DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,19-255,DAL,AWAY,SAS,W (+7),0,30:40,7,8,.875,0,0,,2,3,.667,5,5,10,1,1,1,1,4,16,17.6,+20,Dereck Lively II
2023-10-27,19-257,DAL,HOME,BRK,W (+5),1,16:50,4,4,1.000,0,0,,1,2,.500,1,1,2,0,0,1,1,0,9,8.1,+1,Dereck Lively II
2023-10-30,19-260,DAL,AWAY,MEM,W (+15),1,13:38,1,2,.500,0,0,,0,0,,1,5,6,0,0,1,0,5,2,1.9,-2,Dereck Lively II
2023-11-01,19-262,DAL,HOME,CHI,W (+9),1,33:21,3,5,.600,0,0,,1,4,.250,7,6,13,6,2,1,1,3,7,14.9,+15,Dereck Lively II
2023-11-03,19-264,DAL,AWAY,DEN,L (-11),1,24:48,2,3,.667,0,1,.000,0,0,,1,3,4,0,1,1,0,2,4,5.2,-10,Dereck Lively II
2023-11-05,19-266,DAL,HOME,CHO,W (+6),1,32:24,7,9,.778,0,0,,1,2,.500,3,11,14,1,0,1,2,4,15,14.3,+1,Dereck Lively II
2023-11-06,19-267,DAL,AWAY,ORL,W (+15),1,15:50,4,5,.800,0,0,,2,2,1.000,2,3,5,0,1,1,2,5,10,8.1,+1,Dereck Lively II
2023-11-08,19-269,DAL,HOME,TOR,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Dereck Lively II
2023-11-10,19-271,DAL,HOME,LAC,W (+18),1,26:12,3,8,.375,0,0,,0,0,,2,2,4,1,0,1,1,6,6,1.6,+15,Dereck Lively II
2023-11-12,19-273,DAL,AWAY,NOP,W (+12),1,26:16,4,5,.800,0,0,,2,4,.500,1,1,2,0,1,2,1,5,10,7.7,+13,Dereck Lively II
