DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,26-252,DAL,AWAY,SAS,W (+7),1,11:30,0,3,.000,0,2,.000,1,2,.500,0,1,1,0,0,0,1,0,1,-2.2,-1,Derrick Jones Jr.
2023-10-27,26-254,DAL,HOME,BRK,W (+5),1,14:18,2,5,.400,0,2,.000,0,0,,0,1,1,1,0,0,1,1,4,0.9,+1,Derrick Jones Jr.
2023-10-30,26-257,DAL,AWAY,MEM,W (+15),1,26:40,7,10,.700,4,6,.667,4,6,.667,0,4,4,0,0,0,1,0,22,17.2,+12,Derrick Jones Jr.
2023-11-01,26-259,DAL,HOME,CHI,W (+9),1,31:18,7,13,.538,3,9,.333,0,0,,1,4,5,1,0,0,0,2,17,12.5,+11,Derrick Jones Jr.
2023-11-03,26-261,DAL,AWAY,DEN,L (-11),1,16:56,3,5,.600,1,3,.333,0,0,,1,0,1,1,2,0,0,0,7,8.1,-16,Derrick Jones Jr.
2023-11-05,26-263,DAL,HOME,CHO,W (+6),1,16:46,0,2,.000,0,1,.000,0,0,,0,0,0,1,1,1,1,1,0,-0.4,+3,Derrick Jones Jr.
2023-11-06,26-264,DAL,AWAY,ORL,W (+15),1,28:25,2,5,.400,1,3,.333,0,0,,1,3,4,1,0,2,1,3,5,3.8,+2,Derrick Jones Jr.
2023-11-08,26-266,DAL,HOME,TOR,L (-11),1,29:10,6,8,.750,3,5,.600,0,0,,1,4,5,1,0,3,3,3,15,12.3,+11,Derrick Jones Jr.
2023-11-10,26-268,DAL,HOME,LAC,W (+18),1,28:51,4,10,.400,1,4,.250,2,2,1.000,4,6,10,3,3,0,0,1,11,14.9,+36,Derrick Jones Jr.
2023-11-12,26-270,DAL,AWAY,NOP,W (+12),1,21:34,2,6,.333,2,6,.333,1,2,.500,0,1,1,2,0,0,1,0,7,3.9,+8,Derrick Jones Jr.
2023-11-14,26-272,DAL,AWAY,NOP,L (-21),1,18:28,2,4,.500,1,3,.333,2,2,1.000,2,1,3,2,0,1,1,1,7,7.4,-10,Derrick Jones Jr.
2023-11-15,26-273,DAL,AWAY,WAS,W (+13),1,26:02,8,11,.727,2,5,.400,2,3,.667,1,6,7,1,1,2,2,4,20,17.1,+5,Derrick Jones Jr.
2023-11-18,26-276,DAL,AWAY,MIL,L (-7),1,19:14,0,7,.000,0,2,.000,0,0,,2,6,8,1,0,0,2,1,0,-3.4,0,Derrick Jones Jr.
