DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,25-122,MEM,HOME,NOP,L (-7),1,36:08,11,22,.500,5,10,.500,4,5,.800,0,5,5,5,2,1,2,1,31,24.9,+6,Desmond Bane
2023-10-27,25-124,MEM,HOME,DEN,L (-4),1,31:47,4,17,.235,1,10,.100,6,6,1.000,1,2,3,3,2,0,2,3,15,6.9,-8,Desmond Bane
2023-10-28,25-125,MEM,AWAY,WAS,L (-7),1,33:59,10,20,.500,4,10,.400,2,2,1.000,1,1,2,5,1,1,5,4,26,15.6,-11,Desmond Bane
2023-10-30,25-127,MEM,HOME,DAL,L (-15),1,37:29,12,17,.706,3,7,.429,3,4,.750,2,4,6,3,3,0,2,3,30,27.0,0,Desmond Bane
2023-11-01,25-129,MEM,AWAY,UTA,L (-24),1,27:05,7,19,.368,4,12,.333,3,3,1.000,1,2,3,0,1,0,2,1,21,10.4,-25,Desmond Bane
2023-11-03,25-131,MEM,AWAY,POR,L (-2),1,44:47,13,26,.500,3,9,.333,4,5,.800,1,7,8,7,4,3,3,5,33,28.4,+11,Desmond Bane
2023-11-05,25-133,MEM,AWAY,POR,W (+12),1,34:12,13,27,.481,3,9,.333,1,1,1.000,0,8,8,5,1,0,3,5,30,18.2,+8,Desmond Bane
2023-11-08,25-136,MEM,HOME,MIA,L (-6),1,36:01,4,16,.250,2,8,.250,5,6,.833,0,5,5,3,1,2,1,3,15,8.8,-18,Desmond Bane
2023-11-10,25-138,MEM,HOME,UTA,L (-6),1,38:03,14,28,.500,7,13,.538,2,3,.667,0,4,4,8,1,2,3,3,37,27.6,+1,Desmond Bane
2023-11-12,25-140,MEM,AWAY,LAC,W (+4),1,34:40,10,24,.417,3,11,.273,4,6,.667,1,3,4,6,0,1,4,4,27,14.3,+11,Desmond Bane
