DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2019-10-23,22-358,PHO,HOME,SAC,W (+29),1,32:18,10,17,.588,2,4,.500,0,1,.000,0,2,2,10,1,0,3,5,22,17.3,+25,Devin Booker
2019-10-25,22-360,PHO,AWAY,DEN,L (-1),1,41:24,6,21,.286,1,8,.125,5,6,.833,0,5,5,7,0,1,3,5,18,7.4,0,Devin Booker
2019-10-26,22-361,PHO,HOME,LAC,W (+8),1,38:27,10,20,.500,3,6,.500,7,8,.875,1,5,6,8,0,0,4,5,30,21.4,+12,Devin Booker
2019-10-28,22-363,PHO,HOME,UTA,L (-1),1,29:02,9,16,.563,1,3,.333,2,2,1.000,1,2,3,0,1,1,3,5,21,11.4,-15,Devin Booker
2019-10-30,23-000,PHO,AWAY,GSW,W (+11),1,35:55,10,21,.476,6,10,.600,5,5,1.000,0,4,4,5,1,0,3,2,31,22.2,+20,Devin Booker
2019-11-02,23-003,PHO,AWAY,MEM,W (+9),1,31:28,8,13,.615,3,3,1.000,2,2,1.000,0,1,1,2,0,0,5,3,21,10.6,+9,Devin Booker
2019-11-04,23-005,PHO,HOME,PHI,W (+5),1,32:05,15,19,.789,3,4,.750,7,7,1.000,0,4,4,3,0,1,3,5,40,31.7,+3,Devin Booker
2019-11-07,23-008,PHO,HOME,MIA,L (-16),1,35:33,6,13,.462,2,4,.500,8,8,1.000,0,3,3,5,1,0,6,3,22,13.5,0,Devin Booker
2019-11-10,23-011,PHO,HOME,BRK,W (+26),1,32:24,10,14,.714,4,5,.800,3,3,1.000,0,2,2,9,0,0,2,0,27,26.1,+40,Devin Booker
2019-11-12,23-013,PHO,HOME,LAL,L (-8),1,39:12,9,18,.500,0,2,.000,3,3,1.000,1,2,3,9,0,1,5,5,21,13.3,-5,Devin Booker
2019-11-14,23-015,PHO,HOME,ATL,W (+16),1,32:04,8,16,.500,3,7,.429,8,8,1.000,0,2,2,7,2,0,7,3,27,18.3,+3,Devin Booker
2019-11-18,23-019,PHO,HOME,BOS,L (-14),1,34:05,7,13,.538,2,4,.500,4,4,1.000,0,1,1,4,0,0,5,4,20,10.2,-9,Devin Booker
2019-11-19,23-020,PHO,AWAY,SAC,L (-4),1,38:45,10,20,.500,3,6,.500,7,8,.875,1,4,5,8,2,0,4,5,30,23.1,-14,Devin Booker
2019-11-21,23-022,PHO,HOME,NOP,L (-3),1,37:22,7,14,.500,2,6,.333,3,3,1.000,0,5,5,7,0,0,6,2,19,11.6,-5,Devin Booker
2019-11-23,23-024,PHO,AWAY,MIN,W (+2),1,38:27,12,26,.462,0,5,.000,11,11,1.000,3,9,12,9,0,1,4,1,35,29.0,-4,Devin Booker
2019-11-24,23-025,PHO,AWAY,DEN,L (-12),1,33:09,5,13,.385,1,7,.143,1,1,1.000,0,1,1,5,0,0,5,1,12,3.3,-18,Devin Booker
2019-11-27,23-028,PHO,HOME,WAS,L (-8),1,38:06,10,20,.500,2,6,.333,5,5,1.000,0,2,2,8,1,1,3,1,27,21.5,-6,Devin Booker
2019-11-29,23-030,PHO,HOME,DAL,L (-7),1,37:45,6,16,.375,1,3,.333,5,5,1.000,2,3,5,8,1,0,3,2,18,14.3,-14,Devin Booker
2019-12-02,23-033,PHO,AWAY,CHO,W (+5),1,38:23,7,15,.467,3,10,.300,6,7,.857,1,3,4,4,1,1,5,3,23,14.8,+8,Devin Booker
2019-12-04,23-035,PHO,AWAY,ORL,L (-14),1,29:59,7,16,.438,2,5,.400,1,2,.500,0,3,3,5,0,0,2,2,17,9.8,-5,Devin Booker
2019-12-05,23-036,PHO,AWAY,NOP,W (+7),1,42:27,13,23,.565,5,11,.455,13,13,1.000,2,6,8,9,2,0,5,4,44,38.0,+11,Devin Booker
2019-12-07,23-038,PHO,AWAY,HOU,L (-6),1,37:11,11,19,.579,2,4,.500,11,16,.688,1,3,4,5,1,0,1,4,35,27.6,-5,Devin Booker
2019-12-09,23-040,PHO,HOME,MIN,W (+16),1,36:15,11,20,.550,3,7,.429,1,2,.500,1,3,4,7,0,1,3,1,26,19.8,+15,Devin Booker
2019-12-11,23-042,PHO,HOME,MEM,L (-7),1,39:17,6,17,.353,0,3,.000,3,4,.750,1,4,5,10,1,0,1,1,15,13.6,-15,Devin Booker
2019-12-14,23-045,PHO,HOME,SAS,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Devin Booker
2019-12-16,23-047,PHO,HOME,POR,L (-1),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Devin Booker
2019-12-17,23-048,PHO,AWAY,LAC,L (-21),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Devin Booker
2019-12-20,23-051,PHO,AWAY,OKC,L (-18),1,27:57,6,11,.545,0,2,.000,6,7,.857,1,3,4,3,1,0,4,3,18,11.8,-9,Devin Booker
2019-12-21,23-052,PHO,HOME,HOU,L (-14),1,33:31,6,16,.375,0,3,.000,7,7,1.000,2,4,6,9,0,0,5,2,19,13.3,-14,Devin Booker
2019-12-23,23-054,PHO,HOME,DEN,L (-2),1,34:21,3,12,.250,1,6,.167,4,4,1.000,1,2,3,6,1,0,2,5,11,6.3,-5,Devin Booker
2019-12-27,23-058,PHO,AWAY,GSW,L (-9),1,37:36,13,24,.542,1,6,.167,7,8,.875,0,3,3,4,2,0,8,3,34,18.5,-10,Devin Booker
2019-12-28,23-059,PHO,AWAY,SAC,W (+2),1,40:55,14,23,.609,0,4,.000,4,6,.667,1,2,3,10,2,0,3,3,32,26.8,+6,Devin Booker
