DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,23-063,SAS,HOME,DAL,L (-7),1,35:15,9,17,.529,1,6,.167,4,5,.800,1,4,5,3,2,0,2,2,23,17.5,+4,Devin Vassell
2023-10-27,23-065,SAS,HOME,HOU,W (+4),1,39:39,7,13,.538,3,7,.429,8,11,.727,0,3,3,2,0,0,1,0,25,18.8,+2,Devin Vassell
2023-10-29,23-067,SAS,AWAY,LAC,L (-40),1,27:49,6,10,.600,1,3,.333,1,1,1.000,0,1,1,0,1,0,2,2,14,7.9,-30,Devin Vassell
2023-10-31,23-069,SAS,AWAY,PHO,W (+1),1,35:52,7,17,.412,3,8,.375,1,2,.500,1,5,6,5,3,0,3,0,18,14.2,-1,Devin Vassell
2023-11-02,23-071,SAS,AWAY,PHO,W (+11),1,16:51,7,10,.700,3,3,1.000,0,0,,0,2,2,1,0,0,0,2,17,13.3,+16,Devin Vassell
2023-11-05,23-074,SAS,HOME,TOR,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Devin Vassell
2023-11-06,23-075,SAS,AWAY,IND,L (-41),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Devin Vassell
2023-11-08,23-077,SAS,AWAY,NYK,L (-21),0,11:55,2,6,.333,0,2,.000,0,0,,0,2,2,2,0,0,1,0,4,1.6,-3,Devin Vassell
2023-11-10,23-079,SAS,HOME,MIN,L (-7),1,34:39,8,16,.500,6,11,.545,7,9,.778,0,3,3,4,1,0,1,1,29,23.5,+2,Devin Vassell
2023-11-12,23-081,SAS,HOME,MIA,L (-5),1,33:13,5,12,.417,4,9,.444,0,0,,2,5,7,4,0,0,1,0,14,12.3,-15,Devin Vassell
2023-11-14,23-083,SAS,AWAY,OKC,L (-36),1,24:41,5,12,.417,1,2,.500,1,2,.500,0,3,3,4,2,1,1,1,12,10.2,-20,Devin Vassell
2023-11-17,23-086,SAS,HOME,SAC,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Devin Vassell
2023-11-18,23-087,SAS,HOME,MEM,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Devin Vassell
