DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2021-10-20,25-170,IND,AWAY,CHO,L (-1),1,39:19,13,19,.684,4,6,.667,3,4,.750,3,12,15,2,0,0,6,4,33,24.0,-1,Domantas Sabonis
2021-10-22,25-172,IND,AWAY,WAS,L (-1),1,42:50,10,13,.769,2,4,.500,6,8,.750,1,8,9,7,0,1,3,3,28,26.6,+6,Domantas Sabonis
2021-10-23,25-173,IND,HOME,MIA,W (+11),1,42:34,8,17,.471,0,3,.000,1,2,.500,4,8,12,4,4,0,3,3,17,15.7,+18,Domantas Sabonis
2021-10-25,25-175,IND,HOME,MIL,L (-10),1,37:27,8,13,.615,0,2,.000,5,6,.833,2,11,13,5,1,0,3,3,21,19.7,+1,Domantas Sabonis
2021-10-27,25-177,IND,AWAY,TOR,L (-18),1,33:44,3,4,.750,0,0,,3,4,.750,3,5,8,3,2,1,4,2,9,10.6,-13,Domantas Sabonis
2021-10-29,25-179,IND,AWAY,BRK,L (-7),1,34:32,7,14,.500,1,4,.250,1,2,.500,2,5,7,6,3,1,3,3,16,15.2,-23,Domantas Sabonis
2021-10-30,25-180,IND,HOME,TOR,L (-3),1,39:32,8,18,.444,1,7,.143,5,6,.833,6,8,14,2,3,0,2,5,22,19.2,-8,Domantas Sabonis
2021-11-01,25-182,IND,HOME,SAS,W (+13),1,35:37,11,15,.733,0,2,.000,2,2,1.000,4,9,13,6,1,0,1,2,24,26.8,+15,Domantas Sabonis
2021-11-03,25-184,IND,HOME,NYK,W (+13),1,34:13,4,8,.500,0,1,.000,2,3,.667,2,5,7,3,0,0,4,6,10,4.2,+15,Domantas Sabonis
2021-11-05,25-186,IND,AWAY,POR,L (-4),1,35:34,7,12,.583,0,4,.000,1,4,.250,1,11,12,4,0,0,6,4,15,7.4,-5,Domantas Sabonis
2021-11-07,25-188,IND,AWAY,SAC,W (+3),1,29:24,7,13,.538,0,3,.000,3,3,1.000,3,7,10,1,3,0,3,5,17,13.6,-5,Domantas Sabonis
2021-11-10,25-191,IND,AWAY,DEN,L (-3),1,33:05,9,14,.643,1,2,.500,1,1,1.000,4,15,19,2,1,1,3,3,20,20.0,-1,Domantas Sabonis
2021-11-11,25-192,IND,AWAY,UTA,W (+11),1,31:20,2,10,.200,0,1,.000,2,4,.500,3,4,7,5,1,1,2,6,6,3.1,+10,Domantas Sabonis
2021-11-13,25-194,IND,HOME,PHI,W (+5),1,30:14,8,11,.727,2,3,.667,0,0,,4,8,12,5,0,0,1,3,18,20.0,+5,Domantas Sabonis
2021-11-15,25-196,IND,AWAY,NYK,L (-8),1,40:14,8,15,.533,3,4,.750,2,5,.400,4,11,15,3,1,0,1,1,21,20.3,+1,Domantas Sabonis
2021-11-17,25-198,IND,AWAY,DET,L (-8),1,34:59,4,7,.571,0,1,.000,7,10,.700,3,8,11,1,0,1,5,0,15,11.4,+2,Domantas Sabonis
2021-11-19,25-200,IND,AWAY,CHO,L (-3),1,22:17,3,6,.500,0,3,.000,2,4,.500,0,6,6,1,1,1,4,2,8,3.6,-18,Domantas Sabonis
2021-11-20,25-201,IND,HOME,NOP,W (+17),1,21:55,6,11,.545,2,3,.667,6,8,.750,2,8,10,6,2,0,2,2,20,21.1,+19,Domantas Sabonis
2021-11-22,25-203,IND,AWAY,CHI,W (+32),1,26:20,8,14,.571,0,2,.000,5,5,1.000,4,7,11,4,1,0,3,4,21,18.5,+22,Domantas Sabonis
2021-11-24,25-205,IND,HOME,LAL,L (-8),1,34:39,5,9,.556,0,0,,4,4,1.000,5,7,12,6,1,0,1,5,14,17.5,-7,Domantas Sabonis
2021-11-26,25-207,IND,HOME,TOR,W (+17),1,36:22,8,15,.533,1,3,.333,6,7,.857,7,11,18,2,0,0,4,3,23,19.7,+16,Domantas Sabonis
2021-11-28,25-209,IND,HOME,MIL,L (-18),1,21:45,1,8,.125,0,2,.000,2,3,.667,2,8,10,5,0,0,3,2,4,1.9,-11,Domantas Sabonis
