DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2022-10-19,26-042,CLE,AWAY,TOR,L (-3),1,34:31,12,21,.571,2,8,.250,5,6,.833,0,2,2,9,2,0,3,4,31,25.0,+10,Donovan Mitchell
2022-10-22,26-045,CLE,AWAY,CHI,W (+32),1,34:31,10,19,.526,4,6,.667,8,9,.889,3,6,9,8,1,0,4,3,32,27.6,+19,Donovan Mitchell
2022-10-23,26-046,CLE,HOME,WAS,W (+10),1,44:34,12,29,.414,5,12,.417,8,9,.889,2,3,5,4,3,1,6,2,37,23.1,+4,Donovan Mitchell
2022-10-26,26-049,CLE,HOME,ORL,W (+11),1,37:12,5,19,.263,1,7,.143,3,4,.750,2,2,4,8,2,0,1,3,14,9.7,+9,Donovan Mitchell
2022-10-28,26-051,CLE,AWAY,BOS,W (+9),1,45:42,15,25,.600,5,9,.556,6,6,1.000,0,4,4,3,1,0,7,4,41,25.2,+18,Donovan Mitchell
2022-10-30,26-053,CLE,HOME,NYK,W (+13),1,37:10,12,20,.600,8,13,.615,6,8,.750,0,3,3,12,1,2,4,4,38,34.1,+18,Donovan Mitchell
2022-11-02,26-056,CLE,HOME,BOS,W (+1),1,43:55,11,27,.407,3,9,.333,0,0,,0,4,4,6,1,2,0,3,25,17.1,-3,Donovan Mitchell
2022-11-04,26-058,CLE,AWAY,DET,W (+24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Donovan Mitchell
2022-11-06,26-060,CLE,AWAY,LAL,W (+14),1,37:08,10,17,.588,1,7,.143,12,13,.923,1,4,5,2,1,1,3,1,33,26.3,+6,Donovan Mitchell
2022-11-07,26-061,CLE,AWAY,LAC,L (-2),1,38:36,10,15,.667,8,11,.727,2,3,.667,0,1,1,2,0,0,3,5,30,19.8,-2,Donovan Mitchell
2022-11-09,26-063,CLE,AWAY,SAC,L (-7),1,38:59,16,28,.571,6,14,.429,0,0,,3,2,5,4,1,0,3,3,38,27.1,-8,Donovan Mitchell
2022-11-11,26-065,CLE,AWAY,GSW,L (-5),1,37:16,10,20,.500,3,10,.300,6,6,1.000,0,10,10,9,2,1,3,0,29,28.0,+7,Donovan Mitchell
2022-11-13,26-067,CLE,HOME,MIN,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Donovan Mitchell
2022-11-16,26-070,CLE,AWAY,MIL,L (-15),1,34:26,7,19,.368,3,9,.333,6,6,1.000,0,2,2,3,2,0,2,1,23,14.8,-17,Donovan Mitchell
