DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2022-10-18,25-260,GSW,HOME,LAL,W (+14),0,21:37,3,6,.500,1,2,.500,1,2,.500,0,2,2,2,1,0,4,2,8,2.8,-5,Donte DiVincenzo
2022-10-21,25-263,GSW,HOME,DEN,L (-5),0,9:40,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,0,2,3,0.5,-13,Donte DiVincenzo
2022-10-23,25-265,GSW,HOME,SAC,W (+5),0,10:42,1,2,.500,0,1,.000,2,2,1.000,0,0,0,1,0,0,2,0,4,1.7,-1,Donte DiVincenzo
2022-10-25,25-267,GSW,AWAY,PHO,L (-29),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Donte DiVincenzo
2022-10-27,25-269,GSW,HOME,MIA,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Donte DiVincenzo
2022-10-29,25-271,GSW,AWAY,CHO,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Donte DiVincenzo
2022-10-30,25-272,GSW,AWAY,DET,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Donte DiVincenzo
2022-11-01,25-274,GSW,AWAY,MIA,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Donte DiVincenzo
2022-11-03,25-276,GSW,AWAY,ORL,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Donte DiVincenzo
2022-11-04,25-277,GSW,AWAY,NOP,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Donte DiVincenzo
2022-11-07,25-280,GSW,HOME,SAC,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Donte DiVincenzo
