DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2020-12-23,26-245,MIA,AWAY,ORL,L (-6),1,30:20,4,8,.500,3,6,.500,3,3,1.000,0,5,5,1,0,0,1,2,14,10.4,-5,Duncan Robinson
2020-12-25,26-247,MIA,HOME,NOP,W (+13),1,32:02,8,14,.571,7,13,.538,0,0,,0,5,5,0,0,0,1,3,23,15.7,+5,Duncan Robinson
2020-12-29,26-251,MIA,HOME,MIL,L (-47),1,24:04,1,4,.250,1,4,.250,1,1,1.000,0,2,2,1,1,1,3,2,4,0.8,-30,Duncan Robinson
2020-12-30,26-252,MIA,HOME,MIL,W (+11),1,23:49,2,4,.500,2,4,.500,3,3,1.000,0,3,3,0,2,0,2,1,9,7.5,+4,Duncan Robinson
2021-01-01,26-254,MIA,AWAY,DAL,L (-10),1,33:27,1,8,.125,1,8,.125,2,4,.500,0,6,6,3,1,0,2,1,5,1.5,+4,Duncan Robinson
2021-01-04,26-257,MIA,HOME,OKC,W (+28),1,33:08,4,11,.364,4,10,.400,0,0,,0,4,4,3,1,0,2,2,12,7.4,+21,Duncan Robinson
2021-01-06,26-259,MIA,HOME,BOS,L (-2),1,31:09,5,11,.455,5,11,.455,1,1,1.000,0,6,6,2,1,0,0,2,16,13.7,+12,Duncan Robinson
2021-01-09,26-262,MIA,AWAY,WAS,W (+4),1,34:34,2,8,.250,2,8,.250,1,2,.500,0,5,5,2,0,1,0,1,7,5.0,+10,Duncan Robinson
2021-01-12,26-265,MIA,AWAY,PHI,L (-3),1,45:44,8,18,.444,6,14,.429,4,5,.800,0,2,2,1,1,1,2,2,26,16.4,+14,Duncan Robinson
2021-01-14,26-267,MIA,AWAY,PHI,L (-17),1,33:57,9,14,.643,4,8,.500,0,0,,0,2,2,1,0,0,3,3,22,12.9,-19,Duncan Robinson
2021-01-16,26-269,MIA,HOME,DET,L (-20),1,35:27,6,10,.600,5,8,.625,5,5,1.000,0,4,4,3,0,1,0,1,22,21.0,-9,Duncan Robinson
2021-01-18,26-271,MIA,HOME,DET,W (+6),1,36:18,6,9,.667,6,9,.667,0,0,,0,3,3,3,0,0,3,2,18,13.3,+8,Duncan Robinson
2021-01-20,26-273,MIA,AWAY,TOR,W (+9),1,37:25,4,7,.571,4,6,.667,2,2,1.000,0,3,3,1,0,1,1,1,14,11.6,+4,Duncan Robinson
2021-01-22,26-275,MIA,AWAY,TOR,L (-20),1,34:18,4,8,.500,3,6,.500,0,0,,0,3,3,1,0,0,2,2,11,5.8,-18,Duncan Robinson
2021-01-23,26-276,MIA,AWAY,BRK,L (-4),1,41:45,6,15,.400,3,11,.273,3,3,1.000,0,5,5,1,0,0,2,2,18,9.3,-5,Duncan Robinson
2021-01-25,26-278,MIA,AWAY,BRK,L (-13),1,38:19,1,10,.100,1,10,.100,4,4,1.000,0,5,5,2,0,1,1,2,7,2.2,-12,Duncan Robinson
2021-01-27,26-280,MIA,HOME,DEN,L (-27),1,36:28,3,11,.273,2,10,.200,0,0,,0,5,5,3,0,0,3,3,8,0.9,-17,Duncan Robinson
2021-01-28,26-281,MIA,HOME,LAC,L (-4),1,32:47,2,8,.250,2,5,.400,0,0,,1,4,5,3,1,0,0,2,6,5.4,-8,Duncan Robinson
2021-01-30,26-283,MIA,HOME,SAC,W (+1),1,34:56,5,9,.556,4,8,.500,0,0,,0,3,3,1,0,1,2,2,14,9.2,+6,Duncan Robinson
2021-02-01,26-285,MIA,HOME,CHO,L (-8),1,27:41,5,8,.625,4,7,.571,2,3,.667,0,2,2,0,0,0,2,4,16,9.0,+2,Duncan Robinson
2021-02-03,26-287,MIA,HOME,WAS,L (-3),1,27:53,3,9,.333,3,8,.375,0,0,,0,2,2,3,1,0,1,2,9,5.8,+3,Duncan Robinson
2021-02-05,26-289,MIA,HOME,WAS,W (+27),1,26:22,2,9,.222,2,9,.222,0,0,,0,1,1,2,0,0,2,3,6,-1.0,+22,Duncan Robinson
2021-02-07,26-291,MIA,AWAY,NYK,W (+6),1,36:26,4,10,.400,4,10,.400,0,1,.000,0,6,6,2,0,0,1,1,12,8.0,+5,Duncan Robinson
2021-02-09,26-293,MIA,HOME,NYK,W (+2),1,32:50,0,7,.000,0,5,.000,4,4,1.000,0,5,5,1,0,0,1,3,4,-0.9,-12,Duncan Robinson
2021-02-11,26-295,MIA,AWAY,HOU,W (+7),1,26:53,5,11,.455,5,11,.455,0,0,,0,1,1,2,0,0,2,5,15,7.0,+14,Duncan Robinson
2021-02-13,26-297,MIA,AWAY,UTA,L (-18),1,27:59,3,6,.500,2,4,.500,0,0,,0,5,5,0,1,0,0,2,8,6.7,-20,Duncan Robinson
2021-02-15,26-299,MIA,AWAY,LAC,L (-7),1,34:45,5,13,.385,3,11,.273,0,0,,0,4,4,1,0,0,0,4,13,6.2,+5,Duncan Robinson
2021-02-17,26-301,MIA,AWAY,GSW,L (-8),1,39:50,5,12,.417,3,10,.300,0,0,,0,4,4,0,2,0,2,3,13,6.6,-13,Duncan Robinson
2021-02-18,26-302,MIA,AWAY,SAC,W (+8),1,33:39,7,13,.538,5,11,.455,1,1,1.000,0,2,2,3,1,0,1,3,20,15.2,+11,Duncan Robinson
2021-02-20,26-304,MIA,AWAY,LAL,W (+2),1,32:55,3,8,.375,1,5,.200,4,6,.667,1,9,10,1,0,0,1,6,11,6.5,0,Duncan Robinson
2021-02-22,26-306,MIA,AWAY,OKC,W (+14),1,36:54,8,15,.533,6,13,.462,0,0,,0,7,7,0,2,0,0,4,22,17.2,+8,Duncan Robinson
2021-02-24,26-308,MIA,HOME,TOR,W (+8),1,39:16,6,11,.545,4,9,.444,1,1,1.000,0,2,2,2,1,0,1,2,17,12.9,+11,Duncan Robinson
2021-02-26,26-310,MIA,HOME,UTA,W (+8),1,34:42,5,9,.556,4,7,.571,1,1,1.000,0,6,6,1,0,0,2,5,15,9.2,+5,Duncan Robinson
2021-02-28,26-312,MIA,HOME,ATL,W (+10),1,35:13,2,9,.222,1,8,.125,0,0,,0,3,3,3,1,0,1,3,5,1.3,+2,Duncan Robinson
2021-03-02,26-314,MIA,HOME,ATL,L (-14),1,30:47,5,11,.455,4,9,.444,0,0,,0,1,1,1,0,1,1,2,14,8.2,-8,Duncan Robinson
