DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,22-129,CLE,AWAY,BRK,W (+1),1,33:37,5,11,.455,0,0,,0,0,,1,5,6,1,0,2,0,3,10,7.4,+3,Evan Mobley
2023-10-27,22-131,CLE,HOME,OKC,L (-3),1,33:53,5,12,.417,0,0,,4,6,.667,2,13,15,3,0,2,2,4,14,12.0,-9,Evan Mobley
2023-10-28,22-132,CLE,HOME,IND,L (-12),1,33:12,12,22,.545,1,1,1.000,8,10,.800,5,9,14,3,0,3,2,4,33,28.4,-15,Evan Mobley
2023-10-31,22-135,CLE,HOME,NYK,L (-18),1,29:03,3,9,.333,0,0,,0,0,,4,8,12,5,0,2,2,0,6,9.0,-19,Evan Mobley
2023-11-01,22-136,CLE,AWAY,NYK,W (+6),1,35:15,6,12,.500,0,0,,2,3,.667,2,6,8,5,2,2,2,2,14,14.9,+8,Evan Mobley
2023-11-03,22-138,CLE,AWAY,IND,L (-5),1,35:51,7,13,.538,0,2,.000,0,0,,2,8,10,5,3,4,2,2,14,18.0,+11,Evan Mobley
2023-11-05,22-140,CLE,HOME,GSW,W (+11),1,29:00,6,10,.600,0,1,.000,1,4,.250,5,11,16,2,0,1,5,4,13,9.5,+8,Evan Mobley
2023-11-08,22-143,CLE,AWAY,OKC,L (-8),1,33:05,9,16,.563,0,1,.000,4,4,1.000,2,3,5,1,1,1,1,2,22,17.3,+3,Evan Mobley
2023-11-11,22-146,CLE,AWAY,GSW,W (+8),1,31:04,6,10,.600,0,1,.000,7,7,1.000,1,4,5,2,1,1,2,4,19,15.8,-4,Evan Mobley
2023-11-13,22-148,CLE,AWAY,SAC,L (-12),1,30:06,8,14,.571,0,0,,0,0,,7,5,12,2,1,0,3,4,16,13.6,-3,Evan Mobley
2023-11-15,22-150,CLE,AWAY,POR,W (+14),1,35:22,8,11,.727,0,1,.000,5,8,.625,3,9,12,3,1,3,1,1,21,23.9,+26,Evan Mobley
2023-11-17,22-152,CLE,HOME,DET,W (+8),1,35:21,8,12,.667,0,0,,2,4,.500,4,6,10,5,1,0,3,4,18,16.5,-6,Evan Mobley
2023-11-19,22-154,CLE,HOME,DEN,W (+12),1,31:43,8,11,.727,0,0,,0,0,,3,7,10,5,0,2,2,3,16,17.4,+12,Evan Mobley
2023-11-21,22-156,CLE,AWAY,PHI,W (+3),1,38:08,6,10,.600,0,0,,6,6,1.000,0,12,12,3,0,1,4,4,18,14.2,-4,Evan Mobley
2023-11-22,22-157,CLE,HOME,MIA,L (-33),1,25:14,5,7,.714,0,0,,3,3,1.000,2,8,10,2,0,0,2,0,13,13.3,-12,Evan Mobley
2023-11-25,22-160,CLE,HOME,LAL,L (-6),1,36:28,8,12,.667,0,0,,2,3,.667,1,5,6,6,4,1,2,3,18,20.3,-5,Evan Mobley
2023-11-26,22-161,CLE,HOME,TOR,W (+3),1,38:07,5,14,.357,0,1,.000,2,2,1.000,3,11,14,1,0,2,3,3,12,7.5,-4,Evan Mobley
2023-11-28,22-163,CLE,HOME,ATL,W (+23),1,34:06,8,11,.727,1,1,1.000,0,0,,5,14,19,1,0,7,1,4,17,23.2,+25,Evan Mobley
2023-11-30,22-165,CLE,HOME,POR,L (-8),1,33:49,9,14,.643,0,1,.000,2,2,1.000,2,6,8,3,2,0,3,1,20,17.7,+3,Evan Mobley
2023-12-02,22-167,CLE,AWAY,DET,W (+9),1,36:09,2,5,.400,0,0,,2,3,.667,1,10,11,1,0,0,2,3,6,4.1,+1,Evan Mobley
2023-12-06,22-171,CLE,HOME,ORL,W (+10),1,36:30,8,12,.667,0,0,,0,0,,1,4,5,2,1,1,4,5,16,9.8,+13,Evan Mobley
2023-12-08,22-173,CLE,AWAY,MIA,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Evan Mobley
2023-12-11,22-176,CLE,AWAY,ORL,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Evan Mobley
2023-12-12,22-177,CLE,AWAY,BOS,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Evan Mobley
2023-12-14,22-179,CLE,AWAY,BOS,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Evan Mobley
2023-12-16,22-181,CLE,HOME,ATL,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Evan Mobley
2023-12-18,22-183,CLE,HOME,HOU,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Evan Mobley
2023-12-20,22-185,CLE,HOME,UTA,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Evan Mobley
2023-12-21,22-186,CLE,HOME,NOP,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Evan Mobley
2023-12-23,22-188,CLE,AWAY,CHI,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Evan Mobley
2023-12-27,22-192,CLE,AWAY,DAL,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Evan Mobley
2023-12-29,22-194,CLE,HOME,MIL,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Evan Mobley
2024-01-01,22-197,CLE,AWAY,TOR,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Evan Mobley
2024-01-03,22-199,CLE,HOME,WAS,W (+39),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Evan Mobley
2024-01-05,22-201,CLE,HOME,WAS,W (+24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Evan Mobley
2024-01-07,22-203,CLE,HOME,SAS,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Evan Mobley
2024-01-11,22-207,CLE,HOME,BRK,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Evan Mobley
2024-01-15,22-211,CLE,HOME,CHI,W (+18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Evan Mobley
2024-01-17,22-213,CLE,HOME,MIL,W (+40),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Evan Mobley
2024-01-20,22-216,CLE,AWAY,ATL,W (+21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Evan Mobley
2024-01-22,22-218,CLE,AWAY,ORL,W (+27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Evan Mobley
2024-01-24,22-220,CLE,AWAY,MIL,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Evan Mobley
2024-01-26,22-222,CLE,AWAY,MIL,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Evan Mobley
2024-01-29,22-225,CLE,HOME,LAC,W (+10),1,20:51,5,7,.714,0,0,,0,0,,1,8,9,0,1,0,3,3,10,7.0,-5,Evan Mobley
2024-01-31,22-227,CLE,HOME,DET,W (+7),1,22:27,3,7,.429,0,1,.000,2,2,1.000,1,2,3,4,1,0,0,2,8,8.6,-4,Evan Mobley
2024-02-01,22-228,CLE,AWAY,MEM,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Evan Mobley
2024-02-03,22-230,CLE,AWAY,SAS,W (+16),1,23:57,11,15,.733,3,3,1.000,3,4,.750,2,8,10,3,0,0,0,5,28,25.4,-7,Evan Mobley
2024-02-05,22-232,CLE,HOME,SAC,W (+26),1,27:45,5,12,.417,0,1,.000,1,2,.500,1,13,14,7,2,1,0,3,11,15.2,+4,Evan Mobley
2024-02-07,22-234,CLE,AWAY,WAS,W (+8),1,25:07,9,10,.900,2,2,1.000,2,2,1.000,2,6,8,1,1,1,2,2,22,21.4,+7,Evan Mobley
2024-02-08,22-235,CLE,AWAY,BRK,W (+23),1,25:40,5,8,.625,0,0,,4,4,1.000,0,12,12,2,0,2,2,3,14,13.6,+25,Evan Mobley
2024-02-10,22-237,CLE,AWAY,TOR,W (+24),1,27:25,7,13,.538,1,4,.250,2,4,.500,4,7,11,3,0,0,2,3,17,13.7,+17,Evan Mobley
2024-02-12,22-239,CLE,HOME,PHI,L (-2),1,27:53,6,11,.545,1,2,.500,1,2,.500,2,8,10,3,2,4,1,2,14,17.2,-11,Evan Mobley
2024-02-14,22-241,CLE,HOME,CHI,W (+3),1,30:53,6,8,.750,1,1,1.000,1,2,.500,4,5,9,0,1,1,1,2,14,14.6,-6,Evan Mobley
2024-02-22,22-249,CLE,HOME,ORL,L (-7),1,34:00,5,9,.556,0,1,.000,4,4,1.000,1,7,8,6,2,2,1,3,14,17.9,0,Evan Mobley
2024-02-23,22-250,CLE,AWAY,PHI,L (-7),1,26:35,3,8,.375,0,0,,2,6,.333,2,8,10,0,0,1,4,4,8,0.9,-11,Evan Mobley
2024-02-25,22-252,CLE,AWAY,WAS,W (+9),1,28:40,9,11,.818,0,0,,3,6,.500,2,4,6,1,1,5,1,4,21,20.9,-2,Evan Mobley
2024-02-27,22-254,CLE,HOME,DAL,W (+2),1,28:19,5,11,.455,0,3,.000,2,2,1.000,3,6,9,7,1,0,1,2,12,14.3,-2,Evan Mobley
2024-02-28,22-255,CLE,AWAY,CHI,L (-9),1,42:12,11,17,.647,1,4,.250,2,6,.333,2,11,13,1,1,4,2,2,25,22.3,-3,Evan Mobley
2024-03-01,22-257,CLE,AWAY,DET,W (+10),1,34:56,7,13,.538,0,1,.000,8,11,.727,4,13,17,7,2,2,1,3,22,27.3,+19,Evan Mobley
2024-03-03,22-259,CLE,HOME,NYK,L (-9),1,27:59,6,11,.545,0,1,.000,1,3,.333,4,9,13,6,0,1,2,3,13,14.1,-6,Evan Mobley
2024-03-05,22-261,CLE,HOME,BOS,W (+1),1,22:55,2,8,.250,0,1,.000,0,0,,1,5,6,4,2,0,2,2,4,3.4,-7,Evan Mobley
2024-03-06,22-262,CLE,AWAY,ATL,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Evan Mobley
2024-03-08,22-264,CLE,HOME,MIN,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Evan Mobley
