DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,29-242,HOU,AWAY,ORL,L (-30),1,33:32,5,13,.385,4,6,.667,0,0,,0,1,1,5,1,0,3,0,14,8.7,-3,Fred VanVleet
2023-10-27,29-244,HOU,AWAY,SAS,L (-4),1,44:32,10,20,.500,2,10,.200,2,3,.667,0,8,8,12,0,0,3,5,24,19.4,-9,Fred VanVleet
2023-10-29,29-246,HOU,HOME,GSW,L (-11),1,32:20,2,13,.154,2,7,.286,2,2,1.000,0,0,0,4,2,0,0,2,8,3.7,-13,Fred VanVleet
2023-11-01,29-249,HOU,HOME,CHO,W (+9),1,38:58,8,17,.471,5,10,.500,1,1,1.000,0,3,3,11,0,0,2,1,22,19.5,+14,Fred VanVleet
2023-11-04,29-252,HOU,HOME,SAC,W (+18),1,36:04,7,22,.318,4,14,.286,3,3,1.000,0,6,6,12,0,2,2,4,21,16.4,+13,Fred VanVleet
2023-11-06,29-254,HOU,HOME,SAC,W (+25),1,27:23,3,8,.375,3,5,.600,2,2,1.000,0,4,4,5,0,0,1,1,11,9.9,+34,Fred VanVleet
2023-11-08,29-256,HOU,HOME,LAL,W (+34),1,29:14,2,9,.222,1,6,.167,4,4,1.000,1,3,4,10,1,0,1,2,9,11.3,+28,Fred VanVleet
2023-11-10,29-258,HOU,HOME,NOP,W (+3),1,40:29,7,15,.467,4,9,.444,2,2,1.000,1,2,3,8,1,1,1,2,20,19.1,-8,Fred VanVleet
2023-11-12,29-260,HOU,HOME,DEN,W (+3),1,40:36,9,21,.429,3,9,.333,5,7,.714,0,2,2,4,0,0,2,2,26,14.7,-4,Fred VanVleet
2023-11-17,29-265,HOU,AWAY,LAC,L (-6),1,40:52,7,14,.500,5,9,.556,0,0,,1,7,8,10,1,1,2,0,19,21.5,-14,Fred VanVleet
2023-11-19,29-267,HOU,AWAY,LAL,L (-1),1,39:58,5,14,.357,3,10,.300,2,2,1.000,0,1,1,16,1,0,3,1,15,16.3,+4,Fred VanVleet
2023-11-20,29-268,HOU,AWAY,GSW,L (-5),1,41:12,3,13,.231,1,8,.125,3,3,1.000,0,5,5,14,0,0,0,2,10,12.6,-3,Fred VanVleet
2023-11-22,29-270,HOU,HOME,MEM,W (+20),1,39:22,5,12,.417,4,8,.500,2,3,.667,1,6,7,4,2,0,1,0,16,15.5,+22,Fred VanVleet
2023-11-24,29-272,HOU,HOME,DEN,W (+19),1,38:59,6,12,.500,3,5,.600,2,2,1.000,0,6,6,11,1,2,1,3,17,20.7,+30,Fred VanVleet
2023-11-28,29-276,HOU,AWAY,DAL,L (-6),1,40:40,3,9,.333,1,7,.143,3,3,1.000,0,4,4,12,1,1,0,3,10,15.0,-12,Fred VanVleet
2023-11-29,29-277,HOU,AWAY,DEN,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Fred VanVleet
2023-12-02,29-280,HOU,AWAY,LAL,L (-10),1,39:34,7,15,.467,4,7,.571,4,4,1.000,1,4,5,7,0,0,3,1,22,17.7,-22,Fred VanVleet
2023-12-06,29-284,HOU,HOME,OKC,W (+9),1,37:46,4,14,.286,3,7,.429,0,0,,0,3,3,9,3,1,3,0,11,10.7,+11,Fred VanVleet
2023-12-08,29-286,HOU,AWAY,DEN,W (+8),1,39:56,6,17,.353,4,10,.400,10,13,.769,1,3,4,3,0,1,1,3,26,17.5,+16,Fred VanVleet
2023-12-11,29-289,HOU,HOME,SAS,W (+11),1,39:17,6,17,.353,4,11,.364,0,0,,0,6,6,5,2,0,3,0,16,10.8,+9,Fred VanVleet
2023-12-13,29-291,HOU,HOME,MEM,W (+13),1,39:02,2,8,.250,0,3,.000,7,9,.778,0,5,5,9,3,0,3,4,11,11.6,+18,Fred VanVleet
2023-12-15,29-293,HOU,AWAY,MEM,W (+7),1,35:52,5,12,.417,2,4,.500,4,5,.800,1,5,6,8,4,2,0,2,16,21.6,+2,Fred VanVleet
2023-12-17,29-295,HOU,AWAY,MIL,L (-9),1,39:17,8,16,.500,4,8,.500,2,2,1.000,1,1,2,6,1,2,1,2,22,19.8,-6,Fred VanVleet
2023-12-18,29-296,HOU,AWAY,CLE,L (-5),1,45:16,9,19,.474,4,8,.500,5,5,1.000,0,8,8,17,2,1,2,4,27,30.7,+2,Fred VanVleet
2023-12-20,29-298,HOU,HOME,ATL,L (-7),1,44:03,10,20,.500,3,7,.429,9,9,1.000,0,4,4,15,1,0,2,3,32,31.5,-2,Fred VanVleet
2023-12-22,29-300,HOU,HOME,DAL,W (+26),1,25:41,3,8,.375,1,5,.200,3,3,1.000,0,2,2,4,1,0,0,2,10,9.2,+29,Fred VanVleet
2023-12-23,29-301,HOU,AWAY,NOP,W (+2),1,35:45,3,11,.273,2,7,.286,2,3,.667,0,0,0,3,1,0,1,1,10,4.8,+1,Fred VanVleet
2023-12-26,29-304,HOU,HOME,IND,L (-6),1,39:43,7,18,.389,1,7,.143,3,3,1.000,0,4,4,9,2,1,3,2,18,14.6,-11,Fred VanVleet
2023-12-27,29-305,HOU,HOME,PHO,L (-16),1,29:08,4,11,.364,1,3,.333,1,2,.500,1,1,2,6,0,0,1,2,10,6.9,-14,Fred VanVleet
2023-12-29,29-307,HOU,HOME,PHI,L (-4),1,42:36,9,16,.563,8,12,.667,7,8,.875,0,3,3,10,1,1,5,3,33,28.4,-3,Fred VanVleet
2024-01-01,29-310,HOU,HOME,DET,W (+23),1,25:57,6,11,.545,3,6,.500,0,0,,0,1,1,7,1,0,1,1,15,14.5,+20,Fred VanVleet
2024-01-03,29-312,HOU,HOME,BRK,W (+11),1,35:42,7,9,.778,6,8,.750,1,2,.500,0,6,6,10,0,2,4,2,21,22.5,+24,Fred VanVleet
2024-01-05,29-314,HOU,HOME,MIN,L (-27),1,30:58,2,9,.222,2,5,.400,1,1,1.000,0,1,1,8,1,1,1,0,7,8.1,-13,Fred VanVleet
2024-01-06,29-315,HOU,HOME,MIL,W (+4),1,37:18,4,13,.308,3,10,.300,3,3,1.000,1,1,2,7,2,0,1,3,14,12.2,-4,Fred VanVleet
2024-01-08,29-317,HOU,AWAY,MIA,L (-7),1,39:11,10,22,.455,7,14,.500,5,5,1.000,2,3,5,7,0,2,1,2,32,27.4,-3,Fred VanVleet
2024-01-10,29-319,HOU,AWAY,CHI,L (-5),1,42:09,7,19,.368,3,14,.214,3,4,.750,0,6,6,10,1,3,2,3,20,17.8,-10,Fred VanVleet
2024-01-12,29-321,HOU,AWAY,DET,W (+2),1,42:32,7,15,.467,3,9,.333,3,3,1.000,1,3,4,12,2,2,0,5,20,23.7,+12,Fred VanVleet
2024-01-13,29-322,HOU,AWAY,BOS,L (-32),1,22:38,2,6,.333,1,3,.333,0,0,,1,0,1,7,0,1,0,2,5,7.1,-15,Fred VanVleet
2024-01-15,29-324,HOU,AWAY,PHI,L (-9),1,32:32,2,5,.400,2,4,.500,2,4,.500,0,1,1,5,0,2,1,4,8,7.1,-12,Fred VanVleet
2024-01-17,29-326,HOU,AWAY,NYK,L (-15),1,41:17,8,19,.421,5,12,.417,3,3,1.000,0,3,3,12,1,0,1,3,24,22.0,-7,Fred VanVleet
2024-01-20,29-329,HOU,HOME,UTA,W (+1),1,33:59,8,19,.421,2,10,.200,0,0,,2,3,5,7,1,3,2,6,18,13.8,-3,Fred VanVleet
2024-01-21,29-330,HOU,HOME,BOS,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Fred VanVleet
2024-01-24,29-333,HOU,HOME,POR,L (-6),1,45:37,8,17,.471,2,10,.200,0,0,,0,6,6,7,3,3,2,1,18,18.7,-6,Fred VanVleet
2024-01-26,29-335,HOU,AWAY,CHO,W (+34),1,29:45,5,9,.556,3,5,.600,1,1,1.000,0,3,3,3,1,6,0,3,14,16.7,+26,Fred VanVleet
2024-01-27,29-336,HOU,AWAY,BRK,L (-2),1,38:53,4,12,.333,1,9,.111,4,6,.667,0,4,4,8,1,0,4,5,13,7.2,+8,Fred VanVleet
2024-01-29,29-338,HOU,HOME,LAL,W (+16),1,37:25,0,4,.000,0,4,.000,3,4,.750,1,3,4,14,2,0,2,3,3,10.0,+17,Fred VanVleet
2024-01-31,29-340,HOU,HOME,NOP,L (-11),1,37:14,6,12,.500,2,6,.333,2,2,1.000,0,3,3,5,2,0,0,1,16,16.0,-5,Fred VanVleet
2024-02-02,29-342,HOU,HOME,TOR,W (+29),1,24:45,4,7,.571,2,4,.500,0,0,,0,2,2,6,0,1,1,3,10,10.0,+13,Fred VanVleet
2024-02-04,29-344,HOU,AWAY,MIN,L (-21),1,32:09,4,11,.364,2,6,.333,1,1,1.000,0,3,3,1,2,4,2,1,11,8.9,-27,Fred VanVleet
2024-02-06,29-346,HOU,AWAY,IND,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Fred VanVleet
2024-02-09,29-349,HOU,AWAY,TOR,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Fred VanVleet
2024-02-10,29-350,HOU,AWAY,ATL,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Fred VanVleet
2024-02-12,29-352,HOU,HOME,NYK,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Fred VanVleet
2024-02-14,29-354,HOU,AWAY,MEM,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Fred VanVleet
2024-02-22,29-362,HOU,AWAY,NOP,L (-22),1,30:26,2,8,.250,2,6,.333,1,2,.500,1,2,3,6,2,0,4,3,7,4.1,-21,Fred VanVleet
2024-02-23,29-363,HOU,HOME,PHO,W (+4),1,36:33,7,15,.467,6,14,.429,3,4,.750,1,4,5,5,2,0,2,2,23,19.5,+8,Fred VanVleet
2024-02-25,30-000,HOU,HOME,OKC,L (-13),1,38:08,7,16,.438,4,10,.400,2,2,1.000,1,2,3,3,1,0,4,2,20,11.2,-11,Fred VanVleet
2024-02-27,30-002,HOU,AWAY,OKC,L (-17),1,36:11,2,11,.182,1,7,.143,0,0,,0,1,1,5,1,0,2,5,5,-1.1,-17,Fred VanVleet
