DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,24-280,TOR,HOME,MIN,W (+3),0,26:42,2,8,.250,1,4,.250,0,0,,0,2,2,2,1,1,0,3,5,2.7,+3,Gary Trent Jr.
2023-10-27,24-282,TOR,AWAY,CHI,L (-1),0,36:09,6,15,.400,3,10,.300,1,4,.250,2,3,5,1,2,0,1,1,16,10.3,-15,Gary Trent Jr.
2023-10-28,24-283,TOR,HOME,PHI,L (-7),1,33:05,6,16,.375,3,5,.600,2,4,.500,1,1,2,0,1,0,1,0,17,8.4,+3,Gary Trent Jr.
2023-10-30,24-285,TOR,HOME,POR,L (-8),0,18:53,1,7,.143,0,1,.000,1,3,.333,0,1,1,2,1,0,0,2,3,-0.4,-10,Gary Trent Jr.
2023-11-01,24-287,TOR,HOME,MIL,W (+19),0,23:25,4,11,.364,0,5,.000,0,0,,1,2,3,1,0,0,1,2,8,2.1,+8,Gary Trent Jr.
2023-11-02,24-288,TOR,AWAY,PHI,L (-15),0,23:08,2,8,.250,2,5,.400,2,4,.500,0,5,5,0,1,0,3,1,8,1.5,-15,Gary Trent Jr.
2023-11-05,24-291,TOR,AWAY,SAS,W (+7),0,29:01,4,8,.500,2,4,.500,0,0,,0,0,0,0,1,0,2,1,10,4.6,-1,Gary Trent Jr.
2023-11-08,24-294,TOR,AWAY,DAL,W (+11),0,26:07,6,11,.545,4,8,.500,0,0,,0,2,2,1,1,0,0,0,16,13.0,+9,Gary Trent Jr.
2023-11-11,24-297,TOR,AWAY,BOS,L (-23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Gary Trent Jr.
2023-11-13,24-299,TOR,HOME,WAS,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Gary Trent Jr.
2023-11-15,24-301,TOR,HOME,MIL,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Gary Trent Jr.
2023-11-17,24-303,TOR,HOME,BOS,L (-3),1,31:02,4,9,.444,3,5,.600,3,4,.750,0,2,2,1,1,0,0,0,14,11.2,+14,Gary Trent Jr.
2023-11-19,24-305,TOR,HOME,DET,W (+29),0,26:26,6,12,.500,2,7,.286,4,4,1.000,0,1,1,3,1,1,0,1,18,15.7,+20,Gary Trent Jr.
2023-11-21,24-307,TOR,AWAY,ORL,L (-19),0,20:37,1,6,.167,1,2,.500,0,0,,0,0,0,1,0,0,0,1,3,-0.5,-3,Gary Trent Jr.
2023-11-22,24-308,TOR,AWAY,IND,W (+1),0,25:03,2,5,.400,2,4,.500,2,4,.500,0,1,1,1,1,0,2,1,8,4.1,+14,Gary Trent Jr.
2023-11-24,24-310,TOR,HOME,CHI,W (+13),0,20:30,6,13,.462,4,9,.444,0,0,,0,1,1,2,1,0,0,3,16,10.8,-4,Gary Trent Jr.
2023-11-26,24-312,TOR,AWAY,CLE,L (-3),0,25:39,5,13,.385,1,7,.143,2,2,1.000,0,1,1,0,1,0,1,0,13,6.2,+10,Gary Trent Jr.
2023-11-28,24-314,TOR,AWAY,BRK,L (-12),0,24:46,7,12,.583,1,4,.250,0,0,,0,2,2,1,1,0,0,1,15,11.3,-6,Gary Trent Jr.
2023-11-29,24-315,TOR,HOME,PHO,W (+7),0,25:09,5,13,.385,3,7,.429,0,0,,0,5,5,2,0,0,0,1,13,8.4,0,Gary Trent Jr.
2023-12-01,24-317,TOR,HOME,NYK,L (-13),0,22:34,2,6,.333,0,1,.000,0,1,.000,0,1,1,4,0,0,0,0,4,3.3,-18,Gary Trent Jr.
2023-12-06,24-322,TOR,HOME,MIA,L (-9),0,25:09,5,11,.455,3,7,.429,2,2,1.000,0,2,2,2,0,0,1,3,15,9.1,+7,Gary Trent Jr.
2023-12-08,24-324,TOR,AWAY,CHO,L (-3),0,20:02,0,7,.000,0,3,.000,0,0,,0,2,2,2,0,0,0,0,0,-2.9,-7,Gary Trent Jr.
2023-12-11,24-327,TOR,AWAY,NYK,L (-6),0,19:28,2,8,.250,0,4,.000,0,0,,1,0,1,2,0,0,0,0,4,1.3,+3,Gary Trent Jr.
2023-12-13,24-329,TOR,HOME,ATL,W (+7),0,20:04,4,11,.364,4,8,.500,0,0,,0,0,0,1,0,0,0,0,12,6.6,-8,Gary Trent Jr.
2023-12-15,24-331,TOR,HOME,ATL,L (-21),0,20:28,3,8,.375,2,5,.400,0,0,,0,2,2,3,0,0,1,1,8,4.9,-11,Gary Trent Jr.
2023-12-18,24-334,TOR,HOME,CHO,W (+15),0,34:45,9,17,.529,4,10,.400,0,0,,0,10,10,3,1,0,1,1,22,18.4,+25,Gary Trent Jr.
2023-12-20,24-336,TOR,HOME,DEN,L (-9),0,28:37,4,9,.444,1,5,.200,3,3,1.000,0,3,3,4,0,0,1,0,12,10.0,-11,Gary Trent Jr.
2023-12-22,24-338,TOR,AWAY,PHI,L (-10),0,25:33,6,11,.545,5,8,.625,0,0,,1,3,4,1,1,0,0,3,17,13.8,-10,Gary Trent Jr.
2023-12-23,24-339,TOR,HOME,UTA,L (-7),0,27:42,6,12,.500,4,9,.444,0,0,,0,0,0,0,0,0,2,0,16,8.0,-10,Gary Trent Jr.
2023-12-27,24-343,TOR,AWAY,WAS,W (+30),1,26:22,4,10,.400,3,8,.375,1,2,.500,0,2,2,4,2,0,1,1,12,10.2,+8,Gary Trent Jr.
2023-12-29,24-345,TOR,AWAY,BOS,L (-2),1,28:58,2,10,.200,1,4,.250,1,2,.500,0,4,4,1,2,0,0,0,6,3.3,-10,Gary Trent Jr.
2023-12-30,24-346,TOR,AWAY,DET,L (-2),1,39:28,8,16,.500,6,9,.667,2,2,1.000,0,1,1,4,4,1,0,3,24,22.6,+4,Gary Trent Jr.
2024-01-01,24-348,TOR,HOME,CLE,W (+3),0,26:04,3,10,.300,1,5,.200,2,2,1.000,2,4,6,2,1,0,0,1,9,7.8,-1,Gary Trent Jr.
2024-01-03,24-350,TOR,AWAY,MEM,W (+5),0,21:27,2,5,.400,1,1,1.000,0,0,,0,1,1,0,1,0,2,2,5,0.8,+2,Gary Trent Jr.
2024-01-05,24-352,TOR,AWAY,SAC,L (-5),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Gary Trent Jr.
2024-01-07,24-354,TOR,AWAY,GSW,W (+15),0,26:23,6,11,.545,2,5,.400,0,0,,0,1,1,1,2,1,0,1,14,12.0,+10,Gary Trent Jr.
2024-01-09,24-356,TOR,AWAY,LAL,L (-1),0,23:39,5,10,.500,4,6,.667,0,0,,0,1,1,1,0,0,0,1,14,9.6,-6,Gary Trent Jr.
2024-01-10,24-357,TOR,AWAY,LAC,L (-6),0,24:10,5,9,.556,2,4,.500,0,0,,1,2,3,2,0,0,0,1,12,10.0,-9,Gary Trent Jr.
2024-01-12,24-359,TOR,AWAY,UTA,L (-32),0,21:41,2,6,.333,1,2,.500,0,0,,1,0,1,2,0,0,1,1,5,2.3,-6,Gary Trent Jr.
2024-01-15,24-362,TOR,HOME,BOS,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Gary Trent Jr.
