DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2021-10-19,26-011,MIL,HOME,BRK,W (+23),1,27:43,3,10,.300,3,10,.300,1,1,1.000,0,4,4,6,2,0,0,0,10,11.6,+23,Grayson Allen
2021-10-21,26-013,MIL,AWAY,MIA,L (-42),1,28:38,5,11,.455,2,8,.250,2,2,1.000,0,3,3,1,0,0,1,2,14,8.1,-18,Grayson Allen
2021-10-23,26-015,MIL,AWAY,SAS,W (+10),1,26:01,4,11,.364,2,8,.250,0,0,,0,5,5,1,1,0,0,0,10,7.1,+1,Grayson Allen
2021-10-25,26-017,MIL,AWAY,IND,W (+10),1,31:45,5,11,.455,4,9,.444,5,5,1.000,0,4,4,0,1,1,1,3,19,14.0,+3,Grayson Allen
2021-10-27,26-019,MIL,HOME,MIN,L (-5),1,29:55,5,11,.455,3,8,.375,0,0,,1,3,4,1,1,0,0,3,13,9.4,+9,Grayson Allen
2021-10-30,26-022,MIL,HOME,SAS,L (-9),1,29:20,4,11,.364,4,9,.444,0,0,,1,4,5,1,0,0,1,2,12,6.7,-2,Grayson Allen
2021-10-31,26-023,MIL,HOME,UTA,L (-12),1,31:16,6,14,.429,5,10,.500,1,2,.500,2,4,6,0,0,0,1,5,18,9.8,-3,Grayson Allen
2021-11-02,26-025,MIL,AWAY,DET,W (+28),1,21:15,2,8,.250,2,6,.333,2,2,1.000,0,3,3,0,0,2,0,1,8,5.1,+15,Grayson Allen
2021-11-05,26-028,MIL,HOME,NYK,L (-15),1,31:10,8,12,.667,6,9,.667,0,0,,1,4,5,2,1,1,0,2,22,21.0,-11,Grayson Allen
2021-11-07,26-030,MIL,AWAY,WAS,L (-7),1,34:05,6,12,.500,3,8,.375,4,4,1.000,0,1,1,2,4,0,1,0,19,17.7,-2,Grayson Allen
2021-11-09,26-032,MIL,AWAY,PHI,W (+9),1,32:50,8,13,.615,5,9,.556,4,4,1.000,0,2,2,3,0,0,0,1,25,21.4,+18,Grayson Allen
2021-11-10,26-033,MIL,AWAY,NYK,W (+12),1,28:06,5,13,.385,5,11,.455,0,0,,1,4,5,2,0,1,2,2,15,9.1,+7,Grayson Allen
2021-11-12,26-035,MIL,AWAY,BOS,L (-9),1,34:36,6,16,.375,5,9,.556,4,5,.800,1,3,4,0,1,0,1,4,21,11.8,+10,Grayson Allen
2021-11-14,26-037,MIL,AWAY,ATL,L (-20),1,31:17,7,11,.636,4,7,.571,0,0,,1,2,3,1,1,0,2,2,18,13.3,-12,Grayson Allen
2021-11-17,26-040,MIL,HOME,LAL,W (+7),1,30:40,2,6,.333,1,5,.200,0,0,,1,7,8,1,0,0,0,1,5,4.7,-13,Grayson Allen
2021-11-19,26-042,MIL,HOME,OKC,W (+7),1,29:09,4,9,.444,2,5,.400,1,1,1.000,0,2,2,1,0,0,0,1,11,7.2,+14,Grayson Allen
2021-11-20,26-043,MIL,HOME,ORL,W (+9),1,28:44,6,14,.429,4,11,.364,0,0,,2,5,7,1,0,0,1,0,16,11.2,+9,Grayson Allen
2021-11-22,26-045,MIL,HOME,ORL,W (+31),1,18:41,5,8,.625,2,3,.667,2,3,.667,0,2,2,1,0,0,1,1,14,9.9,+28,Grayson Allen
2021-11-24,26-047,MIL,HOME,DET,W (+21),1,24:16,1,6,.167,1,4,.250,0,0,,0,3,3,2,0,0,1,1,3,0.1,+17,Grayson Allen
2021-11-26,26-049,MIL,AWAY,DEN,W (+11),1,24:26,3,6,.500,2,5,.400,2,2,1.000,0,2,2,0,0,0,0,2,10,6.8,+5,Grayson Allen
2021-11-28,26-051,MIL,AWAY,IND,W (+18),1,30:08,3,5,.600,2,4,.500,0,0,,0,2,2,4,1,1,0,1,8,10.4,+17,Grayson Allen
2021-12-01,26-054,MIL,HOME,CHO,W (+2),1,30:20,6,9,.667,3,5,.600,1,2,.500,1,6,7,2,2,0,2,4,16,14.0,+1,Grayson Allen
2021-12-02,26-055,MIL,AWAY,TOR,L (-4),1,32:17,4,10,.400,2,6,.333,0,0,,1,0,1,0,0,0,0,0,10,5.3,+8,Grayson Allen
