DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2018-10-17,26-140,DAL,AWAY,PHO,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Harrison Barnes
2018-10-20,26-143,DAL,HOME,MIN,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Harrison Barnes
2018-10-22,26-145,DAL,HOME,CHI,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Harrison Barnes
2018-10-24,26-147,DAL,AWAY,ATL,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Harrison Barnes
2018-10-26,26-149,DAL,AWAY,TOR,L (-9),1,28:14,5,17,.294,1,5,.200,3,5,.600,1,5,6,3,0,1,1,2,14,6.5,-24,Harrison Barnes
2018-10-28,26-151,DAL,HOME,UTA,L (-9),1,34:25,3,13,.231,0,4,.000,1,2,.500,0,3,3,1,3,0,1,2,7,1.5,-4,Harrison Barnes
2018-10-29,26-152,DAL,AWAY,SAS,L (-5),1,34:05,8,14,.571,2,5,.400,0,1,.000,0,6,6,1,1,0,2,2,18,11.7,+2,Harrison Barnes
2018-10-31,26-154,DAL,AWAY,LAL,L (-1),1,27:53,6,16,.375,4,6,.667,3,4,.750,1,3,4,0,0,1,1,2,19,10.3,-21,Harrison Barnes
2018-11-02,26-156,DAL,HOME,NYK,L (-12),1,35:15,4,14,.286,1,7,.143,5,6,.833,0,1,1,2,0,0,2,4,14,3.5,-7,Harrison Barnes
2018-11-06,26-160,DAL,HOME,WAS,W (+19),1,31:19,6,13,.462,2,5,.400,5,5,1.000,3,10,13,3,2,0,2,4,19,17.9,+8,Harrison Barnes
2018-11-07,26-161,DAL,AWAY,UTA,L (-15),1,35:47,4,13,.308,2,5,.400,4,4,1.000,1,4,5,0,0,0,5,2,14,2.6,-16,Harrison Barnes
2018-11-10,26-164,DAL,HOME,OKC,W (+15),1,17:14,4,6,.667,1,3,.333,2,3,.667,0,1,1,0,0,0,2,4,11,4.7,-2,Harrison Barnes
2018-11-12,26-166,DAL,AWAY,CHI,W (+5),1,32:42,7,16,.438,1,6,.167,8,9,.889,0,5,5,1,4,0,2,0,23,18.4,-9,Harrison Barnes
2018-11-14,26-168,DAL,HOME,UTA,W (+50),1,26:28,6,11,.545,3,5,.600,4,4,1.000,0,4,4,2,0,0,0,1,19,15.9,+19,Harrison Barnes
2018-11-17,26-171,DAL,HOME,GSW,W (+3),1,36:42,7,14,.500,2,4,.500,7,11,.636,1,7,8,1,0,0,0,4,23,16.3,+14,Harrison Barnes
2018-11-19,26-173,DAL,AWAY,MEM,L (-10),1,36:57,3,14,.214,1,7,.143,3,4,.750,0,1,1,1,0,0,1,3,10,-0.2,-15,Harrison Barnes
2018-11-21,26-175,DAL,HOME,BRK,W (+6),1,35:01,10,20,.500,5,8,.625,3,3,1.000,1,4,5,0,1,0,1,0,28,19.9,-3,Harrison Barnes
2018-11-24,26-178,DAL,HOME,BOS,W (+9),1,30:26,7,12,.583,5,7,.714,1,1,1.000,0,3,3,3,1,1,1,2,20,17.3,-4,Harrison Barnes
2018-11-28,26-182,DAL,AWAY,HOU,W (+20),1,29:15,5,14,.357,3,5,.600,0,0,,1,2,3,1,0,0,1,0,13,6.2,-9,Harrison Barnes
2018-11-30,26-184,DAL,AWAY,LAL,L (-11),1,34:10,9,17,.529,4,6,.667,7,9,.778,1,4,5,2,2,0,1,1,29,23.8,-6,Harrison Barnes
2018-12-02,26-186,DAL,HOME,LAC,W (+4),1,38:13,11,28,.393,3,9,.333,5,5,1.000,5,4,9,1,0,1,3,1,30,17.5,+10,Harrison Barnes
2018-12-04,26-188,DAL,HOME,POR,W (+9),1,32:11,4,12,.333,0,3,.000,3,5,.600,2,2,4,1,1,1,3,1,11,4.4,+1,Harrison Barnes
2018-12-05,26-189,DAL,AWAY,NOP,L (-26),1,23:34,5,13,.385,3,9,.333,3,4,.750,0,2,2,1,1,0,3,1,16,7.4,-16,Harrison Barnes
2018-12-08,26-192,DAL,HOME,HOU,W (+3),1,37:14,5,13,.385,2,5,.400,2,2,1.000,1,1,2,3,0,1,1,0,14,9.7,+8,Harrison Barnes
2018-12-10,26-194,DAL,HOME,ORL,W (+25),1,27:39,7,15,.467,5,10,.500,0,0,,1,4,5,0,0,0,2,1,19,10.8,+18,Harrison Barnes
2018-12-12,26-196,DAL,HOME,ATL,W (+7),1,31:22,8,16,.500,5,8,.625,4,4,1.000,0,3,3,0,1,0,0,2,25,18.1,-4,Harrison Barnes
2018-12-13,26-197,DAL,AWAY,PHO,L (-10),1,31:57,6,15,.400,2,9,.222,1,2,.500,0,4,4,1,0,0,2,0,15,6.4,-12,Harrison Barnes
2018-12-16,26-200,DAL,HOME,SAC,L (-7),1,29:06,5,16,.313,3,7,.429,2,2,1.000,0,2,2,0,1,1,1,1,15,6.7,-14,Harrison Barnes
2018-12-18,26-202,DAL,AWAY,DEN,L (-8),1,33:58,10,16,.625,5,8,.625,5,6,.833,1,3,4,0,1,1,0,1,30,25.3,+9,Harrison Barnes
2018-12-20,26-204,DAL,AWAY,LAC,L (-4),1,34:30,6,14,.429,3,5,.600,1,2,.500,0,1,1,1,1,0,2,3,16,7.0,-2,Harrison Barnes
2018-12-22,26-206,DAL,AWAY,GSW,L (-4),1,35:41,6,16,.375,0,7,.000,5,5,1.000,1,5,6,2,1,1,1,2,17,11.7,+6,Harrison Barnes
2018-12-23,26-207,DAL,AWAY,POR,L (-3),1,35:26,11,20,.550,5,8,.625,0,1,.000,1,0,1,0,0,0,1,3,27,15.5,-3,Harrison Barnes
2018-12-26,26-210,DAL,HOME,NOP,W (+3),1,31:02,5,12,.417,3,6,.500,3,4,.750,1,3,4,1,0,0,0,1,16,11.1,+2,Harrison Barnes
2018-12-28,26-212,DAL,AWAY,NOP,L (-2),1,35:19,7,18,.389,2,5,.400,5,6,.833,2,3,5,1,2,0,0,1,21,15.4,0,Harrison Barnes
2018-12-30,26-214,DAL,HOME,OKC,W (+2),1,35:23,6,13,.462,1,5,.200,3,3,1.000,1,5,6,0,2,0,2,2,16,10.7,+13,Harrison Barnes
2018-12-31,26-215,DAL,AWAY,OKC,L (-20),1,29:20,8,11,.727,7,9,.778,2,2,1.000,0,5,5,1,1,0,2,3,25,20.5,-16,Harrison Barnes
