DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,25-019,NOP,AWAY,MEM,W (+7),1,38:06,4,8,.500,2,3,.667,3,5,.600,3,5,8,3,1,1,3,3,13,11.4,+2,Herbert Jones
2023-10-28,25-022,NOP,HOME,NYK,W (+9),1,27:32,4,6,.667,2,2,1.000,0,0,,0,2,2,1,0,3,1,5,10,7.8,+6,Herbert Jones
2023-10-30,25-024,NOP,HOME,GSW,L (-28),1,22:21,1,5,.200,0,4,.000,2,2,1.000,0,2,2,1,2,1,0,4,4,3.3,-22,Herbert Jones
2023-11-01,25-026,NOP,AWAY,OKC,W (+4),1,31:01,2,9,.222,1,6,.167,0,0,,0,6,6,1,0,1,1,5,5,-0.3,+10,Herbert Jones
2023-11-02,25-027,NOP,HOME,DET,W (+9),1,34:27,6,7,.857,0,1,.000,9,9,1.000,0,5,5,3,3,4,0,4,21,26.3,+10,Herbert Jones
2023-11-04,25-029,NOP,HOME,ATL,L (-18),1,33:05,6,13,.462,1,5,.200,0,0,,1,1,2,1,3,1,3,1,13,8.3,-26,Herbert Jones
2023-11-06,25-031,NOP,AWAY,DEN,L (-18),1,31:05,1,3,.333,0,2,.000,2,2,1.000,0,2,2,2,2,0,1,2,4,4.5,-23,Herbert Jones
2023-11-08,25-033,NOP,AWAY,MIN,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Herbert Jones
2023-11-10,25-035,NOP,AWAY,HOU,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Herbert Jones
2023-11-12,25-037,NOP,HOME,DAL,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Herbert Jones
2023-11-14,25-039,NOP,HOME,DAL,W (+21),1,30:37,6,8,.750,2,4,.500,5,6,.833,1,3,4,4,5,2,2,5,19,22.2,+8,Herbert Jones
2023-11-17,25-042,NOP,HOME,DEN,W (+5),1,36:51,3,8,.375,0,1,.000,2,2,1.000,0,5,5,4,3,1,1,2,8,9.8,-2,Herbert Jones
2023-11-18,25-043,NOP,HOME,MIN,L (-1),1,28:23,3,7,.429,3,4,.750,4,4,1.000,1,3,4,8,2,2,0,6,13,17.5,+11,Herbert Jones
2023-11-20,25-045,NOP,HOME,SAC,W (+36),1,27:07,7,9,.778,1,2,.500,3,4,.750,1,6,7,4,1,2,1,4,18,19.2,+39,Herbert Jones
2023-11-22,25-047,NOP,HOME,SAC,W (+5),1,39:01,1,6,.167,0,4,.000,5,6,.833,0,5,5,3,3,1,2,4,7,6.5,-8,Herbert Jones
2023-11-24,25-049,NOP,AWAY,LAC,W (+10),1,24:03,5,7,.714,3,4,.750,1,2,.500,2,2,4,4,1,1,3,5,14,12.2,+22,Herbert Jones
2023-11-25,25-050,NOP,AWAY,UTA,L (-5),1,25:58,6,11,.545,1,4,.250,0,0,,1,0,1,1,1,1,1,3,13,8.6,-18,Herbert Jones
2023-11-27,25-052,NOP,AWAY,UTA,L (-2),1,31:52,4,7,.571,2,5,.400,0,0,,0,4,4,0,1,0,3,4,10,4.3,-10,Herbert Jones
2023-11-29,25-054,NOP,HOME,PHI,W (+10),1,32:43,3,8,.375,0,3,.000,1,1,1.000,1,2,3,6,0,0,5,2,7,2.3,+14,Herbert Jones
2023-12-01,25-056,NOP,HOME,SAS,W (+15),1,30:52,6,8,.750,3,4,.750,2,2,1.000,2,2,4,0,3,1,1,1,17,18.1,+14,Herbert Jones
2023-12-02,25-057,NOP,AWAY,CHI,L (-6),1,35:34,4,11,.364,0,4,.000,9,10,.900,4,3,7,4,3,1,2,1,17,18.3,+5,Herbert Jones
2023-12-04,25-059,NOP,AWAY,SAC,W (+10),1,34:48,8,13,.615,3,5,.600,4,4,1.000,3,2,5,5,0,2,1,5,23,21.7,-3,Herbert Jones
2023-12-07,25-062,NOP,AWAY,LAL,L (-44),1,26:01,4,10,.400,0,3,.000,2,2,1.000,4,3,7,1,2,1,1,4,10,9.1,-22,Herbert Jones
2023-12-11,25-066,NOP,HOME,MIN,W (+14),1,32:23,2,7,.286,1,3,.333,2,3,.667,3,7,10,5,0,0,0,4,7,8.6,+20,Herbert Jones
2023-12-13,25-068,NOP,AWAY,WAS,W (+20),1,19:52,3,9,.333,0,1,.000,0,0,,1,1,2,1,2,0,1,3,6,2.4,-17,Herbert Jones
