DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2021-10-20,22-125,NYK,HOME,BOS,W (+4),0,8:25,1,4,.250,0,3,.000,0,0,,0,0,0,1,1,0,1,0,2,0.3,-8,Immanuel Quickley
2021-10-22,22-127,NYK,AWAY,ORL,W (+25),0,19:58,5,10,.500,4,8,.500,2,2,1.000,1,1,2,3,1,0,0,0,16,15.1,+11,Immanuel Quickley
2021-10-24,22-129,NYK,HOME,ORL,L (-6),0,12:12,0,4,.000,0,2,.000,0,0,,1,1,2,1,0,0,0,1,0,-1.5,-2,Immanuel Quickley
2021-10-26,22-131,NYK,HOME,PHI,W (+13),0,15:18,2,5,.400,1,3,.333,3,3,1.000,0,1,1,1,0,0,2,1,8,3.9,+13,Immanuel Quickley
2021-10-28,22-133,NYK,AWAY,CHI,W (+1),0,12:50,1,7,.143,0,4,.000,0,0,,0,3,3,0,1,0,0,2,2,-1.4,+3,Immanuel Quickley
2021-10-30,22-135,NYK,AWAY,NOP,W (+6),0,10:56,1,5,.200,0,2,.000,1,2,.500,0,0,0,1,0,0,1,3,3,-2.0,0,Immanuel Quickley
2021-11-01,22-137,NYK,HOME,TOR,L (-9),0,19:20,1,7,.143,1,6,.167,4,4,1.000,0,2,2,5,0,0,0,1,7,6.2,+7,Immanuel Quickley
2021-11-03,22-139,NYK,AWAY,IND,L (-13),0,13:49,2,5,.400,0,0,,0,0,,0,2,2,0,0,0,1,1,4,0.5,+1,Immanuel Quickley
2021-11-05,22-141,NYK,AWAY,MIL,W (+15),0,18:15,4,9,.444,1,3,.333,0,0,,1,1,2,1,3,0,0,1,9,8.6,+18,Immanuel Quickley
2021-11-07,22-143,NYK,HOME,CLE,L (-17),0,20:06,3,8,.375,2,5,.400,4,4,1.000,0,1,1,5,1,0,0,0,12,12.4,-4,Immanuel Quickley
