DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2018-10-17,20-165,HOU,HOME,NOP,L (-19),0,1:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,Isaiah Hartenstein
2018-10-20,20-168,HOU,AWAY,LAL,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Isaiah Hartenstein
2018-10-21,20-169,HOU,AWAY,LAC,L (-3),0,9:23,3,3,1.000,0,0,,0,0,,0,1,1,0,1,1,2,3,6,3.9,-7,Isaiah Hartenstein
2018-10-24,20-172,HOU,HOME,UTA,L (-11),0,2:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+4,Isaiah Hartenstein
2018-10-26,20-174,HOU,HOME,LAC,L (-20),0,13:19,1,4,.250,0,2,.000,4,4,1.000,1,0,1,3,0,1,0,4,6,5.5,+3,Isaiah Hartenstein
2018-10-30,20-178,HOU,HOME,POR,L (-19),0,6:59,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,0,3,0,-0.5,0,Isaiah Hartenstein
2018-11-02,20-181,HOU,AWAY,BRK,W (+8),0,7:39,0,2,.000,0,0,,0,0,,0,1,1,0,0,2,1,0,0,-0.7,+1,Isaiah Hartenstein
2018-11-03,20-182,HOU,AWAY,CHI,W (+8),0,12:47,1,1,1.000,0,0,,0,0,,1,1,2,1,0,1,1,3,2,1.9,+7,Isaiah Hartenstein
2018-11-05,20-184,HOU,AWAY,IND,W (+4),0,7:44,2,3,.667,0,0,,0,0,,0,1,1,0,0,1,1,2,4,1.9,-7,Isaiah Hartenstein
2018-11-08,20-187,HOU,AWAY,OKC,L (-18),0,6:07,0,1,.000,0,0,,0,0,,1,2,3,0,0,0,1,2,0,-1.2,-1,Isaiah Hartenstein
2018-11-10,20-189,HOU,AWAY,SAS,L (-7),0,9:51,1,3,.333,0,0,,1,2,.500,6,1,7,1,1,0,1,1,3,5.7,+13,Isaiah Hartenstein
2018-11-11,20-190,HOU,HOME,IND,W (+12),0,12:40,2,4,.500,0,0,,0,0,,0,1,1,0,0,1,0,2,4,2.2,+16,Isaiah Hartenstein
2018-11-13,20-192,HOU,AWAY,DEN,W (+10),0,11:36,1,1,1.000,0,0,,1,2,.500,1,0,1,0,0,0,2,3,3,-0.2,-3,Isaiah Hartenstein
2018-11-15,20-194,HOU,HOME,GSW,W (+21),0,14:39,2,4,.500,1,1,1.000,1,1,1.000,2,3,5,1,0,0,0,1,6,6.6,+27,Isaiah Hartenstein
2018-11-17,20-196,HOU,HOME,SAC,W (+20),0,9:46,0,0,,0,0,,1,2,.500,0,2,2,2,1,0,1,1,1,2.2,-2,Isaiah Hartenstein
2018-11-21,20-200,HOU,HOME,DET,W (+2),0,11:02,1,2,.500,0,0,,1,1,1.000,0,2,2,0,1,1,1,5,3,1.3,-2,Isaiah Hartenstein
2018-11-23,20-202,HOU,AWAY,DET,L (-5),0,6:57,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,1,0,3,2,0.8,+3,Isaiah Hartenstein
2018-11-24,20-203,HOU,AWAY,CLE,L (-9),0,2:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-2,Isaiah Hartenstein
2018-11-26,20-205,HOU,AWAY,WAS,L (-4),0,6:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,+6,Isaiah Hartenstein
2018-11-28,20-207,HOU,HOME,DAL,L (-20),0,11:29,1,2,.500,1,1,1.000,2,2,1.000,2,1,3,0,0,0,1,4,5,3.1,-6,Isaiah Hartenstein
