DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,26-221,LAC,HOME,POR,W (+12),1,25:36,8,10,.800,0,0,,4,5,.800,5,7,12,0,0,4,2,3,20,21.0,+25,Ivica Zubac
2023-10-27,26-223,LAC,AWAY,UTA,L (-2),1,19:26,3,6,.500,0,0,,0,2,.000,0,2,2,0,0,2,1,2,6,2.4,+1,Ivica Zubac
2023-10-29,26-225,LAC,HOME,SAS,W (+40),1,22:29,6,7,.857,0,0,,4,6,.667,2,6,8,0,0,1,1,4,16,14.0,+23,Ivica Zubac
2023-10-31,26-227,LAC,HOME,ORL,W (+16),1,22:41,4,8,.500,0,0,,1,2,.500,2,7,9,1,0,1,1,1,9,8.1,+19,Ivica Zubac
2023-11-01,26-228,LAC,AWAY,LAL,L (-5),1,29:06,3,8,.375,0,0,,1,2,.500,2,7,9,0,0,0,1,5,7,2.7,-6,Ivica Zubac
2023-11-06,26-233,LAC,AWAY,NYK,L (-14),1,29:53,3,3,1.000,0,0,,2,4,.500,4,3,7,0,1,2,5,3,8,6.2,-18,Ivica Zubac
2023-11-08,26-235,LAC,AWAY,BRK,L (-7),1,29:20,5,9,.556,0,0,,0,0,,3,7,10,1,0,3,1,5,10,9.7,-11,Ivica Zubac
2023-11-10,26-237,LAC,AWAY,DAL,L (-18),1,22:02,5,9,.556,0,0,,2,4,.500,5,3,8,1,0,2,1,3,12,11.2,+1,Ivica Zubac
2023-11-12,26-239,LAC,HOME,MEM,L (-4),1,23:29,2,4,.500,0,0,,2,2,1.000,0,6,6,1,1,0,1,3,6,5.3,-5,Ivica Zubac
2023-11-14,26-241,LAC,AWAY,DEN,L (-3),1,26:24,2,8,.250,0,0,,5,6,.833,7,6,13,3,0,1,0,4,9,11.7,-3,Ivica Zubac
2023-11-17,26-244,LAC,HOME,HOU,W (+6),1,34:51,6,8,.750,0,0,,0,2,.000,3,4,7,2,0,2,1,2,12,12.3,+12,Ivica Zubac
2023-11-20,26-247,LAC,AWAY,SAS,W (+25),1,22:16,3,5,.600,0,0,,2,2,1.000,2,9,11,0,0,1,1,0,8,9.5,+4,Ivica Zubac
2023-11-22,26-249,LAC,AWAY,SAS,W (+7),1,25:54,5,7,.714,0,0,,2,2,1.000,2,6,8,1,0,0,0,2,12,12.2,-4,Ivica Zubac
2023-11-24,26-251,LAC,HOME,NOP,L (-10),1,21:33,5,6,.833,0,0,,1,1,1.000,3,2,5,0,0,1,4,4,11,6.6,-18,Ivica Zubac
2023-11-25,26-252,LAC,HOME,DAL,W (+19),1,23:07,5,8,.625,0,0,,1,5,.200,4,10,14,1,0,0,1,1,11,10.9,+18,Ivica Zubac
2023-11-27,26-254,LAC,HOME,DEN,L (-9),1,32:10,9,15,.600,0,0,,5,8,.625,8,6,14,1,0,1,1,2,23,21.9,-6,Ivica Zubac
2023-11-29,26-256,LAC,AWAY,SAC,W (+14),1,30:26,7,12,.583,0,0,,0,0,,3,5,8,3,0,3,0,1,14,15.8,+23,Ivica Zubac
2023-11-30,26-257,LAC,AWAY,GSW,L (-6),1,26:41,7,11,.636,0,0,,4,5,.800,4,9,13,0,0,1,0,1,18,18.5,+7,Ivica Zubac
2023-12-02,26-259,LAC,HOME,GSW,W (+1),1,22:40,6,6,1.000,0,0,,0,0,,1,6,7,1,0,3,3,4,12,10.9,+1,Ivica Zubac
2023-12-06,26-263,LAC,HOME,DEN,W (+9),1,26:43,4,7,.571,0,0,,2,6,.333,2,7,9,0,2,1,0,3,10,10.1,-6,Ivica Zubac
2023-12-08,26-265,LAC,AWAY,UTA,W (+14),1,42:16,9,15,.600,0,0,,0,0,,5,7,12,3,0,2,1,5,18,17.2,+13,Ivica Zubac
2023-12-11,26-268,LAC,HOME,POR,W (+5),1,33:26,9,13,.692,0,0,,0,0,,3,3,6,2,0,2,0,2,18,17.5,+2,Ivica Zubac
2023-12-12,26-269,LAC,HOME,SAC,W (+20),1,22:47,3,5,.600,0,0,,0,1,.000,0,9,9,0,0,0,1,4,6,3.4,+17,Ivica Zubac
2023-12-14,26-271,LAC,HOME,GSW,W (+8),1,30:18,5,10,.500,0,0,,0,0,,3,5,8,2,0,2,3,5,10,6.4,-3,Ivica Zubac
2023-12-16,26-273,LAC,HOME,NYK,W (+22),1,27:35,5,9,.556,0,0,,3,4,.750,4,7,11,2,1,2,0,2,13,16.2,+29,Ivica Zubac
2023-12-18,26-275,LAC,AWAY,IND,W (+24),1,26:00,7,10,.700,0,0,,4,5,.800,4,12,16,3,0,3,0,2,18,23.2,+27,Ivica Zubac
2023-12-20,26-277,LAC,AWAY,DAL,W (+9),1,24:56,5,6,.833,0,0,,2,2,1.000,2,7,9,0,1,0,1,2,12,12.5,0,Ivica Zubac
2023-12-21,26-278,LAC,AWAY,OKC,L (-19),1,16:56,3,4,.750,0,0,,0,0,,2,1,3,3,0,0,0,2,6,7.4,-3,Ivica Zubac
2023-12-23,26-280,LAC,HOME,BOS,L (-37),1,26:50,7,9,.778,0,0,,2,2,1.000,5,5,10,0,0,1,2,3,16,15.0,-28,Ivica Zubac
2023-12-26,26-283,LAC,HOME,CHO,W (+9),1,31:13,7,11,.636,0,0,,4,8,.500,5,9,14,4,1,1,2,3,18,19.0,+13,Ivica Zubac
2023-12-29,26-286,LAC,HOME,MEM,W (+11),1,33:25,7,8,.875,0,0,,1,1,1.000,6,14,20,1,0,1,2,3,15,18.8,+9,Ivica Zubac
2024-01-01,26-289,LAC,HOME,MIA,W (+17),1,28:48,3,4,.750,0,0,,0,0,,1,11,12,1,0,0,1,4,6,6.5,+28,Ivica Zubac
2024-01-03,26-291,LAC,AWAY,PHO,W (+9),1,26:37,2,4,.500,0,0,,2,2,1.000,1,2,3,2,0,2,0,5,6,6.1,0,Ivica Zubac
2024-01-05,26-293,LAC,AWAY,NOP,W (+16),1,23:25,6,7,.857,0,0,,3,4,.750,0,8,8,2,0,2,1,3,15,15.1,+18,Ivica Zubac
2024-01-07,26-295,LAC,AWAY,LAL,L (-3),1,37:29,9,13,.692,0,0,,4,4,1.000,10,9,19,1,0,1,2,4,22,24.0,+1,Ivica Zubac
2024-01-08,26-296,LAC,HOME,PHO,W (+27),1,27:40,8,9,.889,0,0,,3,6,.500,2,6,8,3,1,1,0,3,19,20.5,+14,Ivica Zubac
2024-01-10,26-298,LAC,HOME,TOR,W (+6),1,31:10,6,8,.750,0,0,,0,0,,5,6,11,3,0,1,2,2,12,14.1,+1,Ivica Zubac
2024-01-12,26-300,LAC,AWAY,MEM,W (+9),1,21:57,2,5,.400,0,0,,2,2,1.000,4,7,11,0,0,2,0,3,6,8.4,+6,Ivica Zubac
2024-01-14,26-302,LAC,AWAY,MIN,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Ivica Zubac
