DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,20-165,HOU,AWAY,ORL,L (-30),1,26:10,3,9,.333,0,4,.000,1,2,.500,1,4,5,1,1,0,1,6,7,1.7,-8,Jabari Smith Jr.
2023-10-27,20-167,HOU,AWAY,SAS,L (-4),1,37:10,5,16,.313,2,8,.250,1,4,.250,4,5,9,0,1,0,2,4,13,4.3,-6,Jabari Smith Jr.
2023-10-29,20-169,HOU,HOME,GSW,L (-11),1,34:08,6,12,.500,2,6,.333,0,0,,2,6,8,5,2,0,1,3,14,14.5,+12,Jabari Smith Jr.
2023-11-01,20-172,HOU,HOME,CHO,W (+9),1,30:06,7,10,.700,3,5,.600,0,0,,0,6,6,4,0,1,2,3,17,14.9,-1,Jabari Smith Jr.
2023-11-04,20-175,HOU,HOME,SAC,W (+18),1,34:30,9,15,.600,3,6,.500,0,0,,3,8,11,0,0,1,0,4,21,17.7,+4,Jabari Smith Jr.
2023-11-06,20-177,HOU,HOME,SAC,W (+25),1,21:50,5,8,.625,3,5,.600,0,0,,0,4,4,0,0,1,0,4,13,9.7,+10,Jabari Smith Jr.
2023-11-08,20-179,HOU,HOME,LAL,W (+34),1,26:00,4,8,.500,2,4,.500,2,2,1.000,1,5,6,0,1,0,2,2,12,8.4,+19,Jabari Smith Jr.
2023-11-10,20-181,HOU,HOME,NOP,W (+3),1,23:08,2,8,.250,1,4,.250,1,1,1.000,1,6,7,2,0,0,2,3,6,1.9,-8,Jabari Smith Jr.
2023-11-12,20-183,HOU,HOME,DEN,W (+3),1,20:04,4,7,.571,0,2,.000,0,0,,2,5,7,0,0,1,1,1,8,6.9,-6,Jabari Smith Jr.
2023-11-17,20-188,HOU,AWAY,LAC,L (-6),1,32:43,4,12,.333,1,4,.250,0,0,,2,5,7,0,1,1,0,5,9,4.8,-3,Jabari Smith Jr.
2023-11-19,20-190,HOU,AWAY,LAL,L (-1),1,31:35,5,10,.500,2,6,.333,2,2,1.000,1,4,5,1,1,0,3,4,14,8.0,-5,Jabari Smith Jr.
2023-11-20,20-191,HOU,AWAY,GSW,L (-5),1,32:20,7,12,.583,1,5,.200,2,2,1.000,2,7,9,2,1,2,2,4,17,15.1,+1,Jabari Smith Jr.
2023-11-22,20-193,HOU,HOME,MEM,W (+20),1,27:00,6,10,.600,3,4,.750,3,4,.750,0,9,9,2,0,1,0,2,18,17.0,+4,Jabari Smith Jr.
2023-11-24,20-195,HOU,HOME,DEN,W (+19),1,37:58,6,9,.667,2,3,.667,2,2,1.000,3,12,15,1,1,1,2,2,16,17.4,+16,Jabari Smith Jr.
2023-11-28,20-199,HOU,AWAY,DAL,L (-6),1,36:36,7,11,.636,2,5,.400,0,0,,1,8,9,2,0,1,1,2,16,14.5,-5,Jabari Smith Jr.
2023-11-29,20-200,HOU,AWAY,DEN,L (-10),1,32:06,6,14,.429,2,7,.286,1,2,.500,1,6,7,2,0,1,0,3,15,10.6,-22,Jabari Smith Jr.
2023-12-02,20-203,HOU,AWAY,LAL,L (-10),1,29:47,4,7,.571,0,3,.000,2,2,1.000,1,8,9,3,2,3,3,5,10,11.0,-16,Jabari Smith Jr.
2023-12-06,20-207,HOU,HOME,OKC,W (+9),1,31:56,2,4,.500,1,1,1.000,1,1,1.000,4,14,18,1,0,0,3,1,6,8.3,+9,Jabari Smith Jr.
2023-12-08,20-209,HOU,AWAY,DEN,W (+8),1,25:26,3,9,.333,0,2,.000,3,4,.750,4,6,10,5,0,0,1,1,9,10.2,-2,Jabari Smith Jr.
2023-12-11,20-212,HOU,HOME,SAS,W (+11),1,35:39,3,12,.250,1,3,.333,2,2,1.000,3,9,12,5,1,1,1,3,9,9.6,+15,Jabari Smith Jr.
2023-12-13,20-214,HOU,HOME,MEM,W (+13),1,30:23,7,10,.700,3,5,.600,3,6,.500,2,8,10,1,1,1,1,2,20,19.0,+11,Jabari Smith Jr.
2023-12-15,20-216,HOU,AWAY,MEM,W (+7),1,30:23,1,9,.111,1,4,.250,2,2,1.000,3,9,12,2,0,1,1,5,5,3.0,-2,Jabari Smith Jr.
2023-12-17,20-218,HOU,AWAY,MIL,L (-9),1,27:57,7,13,.538,1,4,.250,1,1,1.000,0,5,5,2,0,1,0,5,16,11.3,-4,Jabari Smith Jr.
2023-12-18,20-219,HOU,AWAY,CLE,L (-5),1,22:42,2,7,.286,1,4,.250,0,0,,3,4,7,0,0,0,2,4,5,0.6,-17,Jabari Smith Jr.
2023-12-20,20-221,HOU,HOME,ATL,L (-7),1,41:36,8,14,.571,4,7,.571,14,14,1.000,5,8,13,1,0,4,0,3,34,35.6,+3,Jabari Smith Jr.
2023-12-22,20-223,HOU,HOME,DAL,W (+26),1,30:36,8,13,.615,1,3,.333,4,5,.800,2,6,8,1,0,0,1,0,21,17.6,+37,Jabari Smith Jr.
2023-12-23,20-224,HOU,AWAY,NOP,W (+2),1,37:16,10,14,.714,4,5,.800,2,3,.667,4,7,11,2,1,1,1,3,26,25.6,+1,Jabari Smith Jr.
2023-12-26,20-227,HOU,HOME,IND,L (-6),1,33:58,4,11,.364,0,5,.000,2,2,1.000,2,4,6,0,1,1,0,4,10,6.6,-13,Jabari Smith Jr.
2023-12-27,20-228,HOU,HOME,PHO,L (-16),1,22:12,2,5,.400,1,3,.333,4,4,1.000,0,3,3,0,2,0,1,1,9,7.8,-11,Jabari Smith Jr.
2023-12-29,20-230,HOU,HOME,PHI,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jabari Smith Jr.
2024-01-01,20-233,HOU,HOME,DET,W (+23),1,26:57,3,7,.429,3,5,.600,0,0,,0,6,6,1,0,1,1,1,9,7.1,+20,Jabari Smith Jr.
2024-01-03,20-235,HOU,HOME,BRK,W (+11),1,32:48,2,8,.250,1,4,.250,2,2,1.000,1,11,12,0,0,1,1,4,7,4.3,+11,Jabari Smith Jr.
2024-01-05,20-237,HOU,HOME,MIN,L (-27),1,32:25,6,13,.462,3,5,.600,1,2,.500,1,8,9,2,0,0,4,3,16,8.2,-12,Jabari Smith Jr.
2024-01-06,20-238,HOU,HOME,MIL,W (+4),1,40:10,3,7,.429,3,5,.600,5,6,.833,1,11,12,2,2,1,1,4,14,15.4,+1,Jabari Smith Jr.
2024-01-08,20-240,HOU,AWAY,MIA,L (-7),1,32:11,3,13,.231,1,5,.200,3,3,1.000,3,3,6,0,0,0,1,3,10,2.9,-11,Jabari Smith Jr.
2024-01-10,20-242,HOU,AWAY,CHI,L (-5),1,47:25,7,14,.500,4,9,.444,0,0,,2,13,15,1,0,1,2,3,18,14.5,+8,Jabari Smith Jr.
2024-01-12,20-244,HOU,AWAY,DET,W (+2),1,40:59,7,15,.467,1,3,.333,4,4,1.000,5,6,11,1,1,2,1,0,19,18.7,-3,Jabari Smith Jr.
2024-01-13,20-245,HOU,AWAY,BOS,L (-32),1,27:23,4,11,.364,0,4,.000,1,1,1.000,1,5,6,2,0,0,2,2,9,3.7,-20,Jabari Smith Jr.
2024-01-15,20-247,HOU,AWAY,PHI,L (-9),1,31:00,5,9,.556,0,1,.000,3,5,.600,1,6,7,2,0,0,2,3,13,8.6,-8,Jabari Smith Jr.
2024-01-17,20-249,HOU,AWAY,NYK,L (-15),1,31:17,5,9,.556,1,2,.500,0,0,,2,4,6,1,1,0,0,2,11,10.2,-20,Jabari Smith Jr.
2024-01-20,20-252,HOU,HOME,UTA,W (+1),1,41:18,9,19,.474,4,8,.500,2,4,.500,4,6,10,1,2,1,0,2,24,20.7,+2,Jabari Smith Jr.
2024-01-21,20-253,HOU,HOME,BOS,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jabari Smith Jr.
2024-01-24,20-256,HOU,HOME,POR,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jabari Smith Jr.
2024-01-26,20-258,HOU,AWAY,CHO,W (+34),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Jabari Smith Jr.
2024-01-27,20-259,HOU,AWAY,BRK,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jabari Smith Jr.
2024-01-29,20-261,HOU,HOME,LAL,W (+16),1,36:07,8,13,.615,2,5,.400,0,0,,2,7,9,4,3,1,1,1,18,20.7,+11,Jabari Smith Jr.
2024-01-31,20-263,HOU,HOME,NOP,L (-11),1,21:48,0,6,.000,0,4,.000,0,0,,0,1,1,0,1,0,0,2,0,-3.7,-19,Jabari Smith Jr.
2024-02-02,20-265,HOU,HOME,TOR,W (+29),1,24:06,4,9,.444,2,5,.400,1,1,1.000,1,2,3,1,0,0,1,0,11,7.3,+8,Jabari Smith Jr.
2024-02-04,20-267,HOU,AWAY,MIN,L (-21),1,18:58,1,4,.250,1,2,.500,0,0,,0,2,2,0,1,0,0,5,3,0.2,-14,Jabari Smith Jr.
2024-02-06,20-269,HOU,AWAY,IND,L (-3),1,39:48,8,15,.533,2,4,.500,2,2,1.000,5,4,9,0,0,0,3,1,20,14.0,+8,Jabari Smith Jr.
2024-02-09,20-272,HOU,AWAY,TOR,L (-3),1,33:26,5,11,.455,2,6,.333,0,0,,5,5,10,2,0,0,2,2,12,9.9,+2,Jabari Smith Jr.
2024-02-10,20-273,HOU,AWAY,ATL,L (-9),1,36:55,4,15,.267,1,7,.143,0,0,,2,8,10,2,4,4,3,2,9,8.3,-6,Jabari Smith Jr.
2024-02-12,20-275,HOU,HOME,NYK,W (+2),1,37:52,6,13,.462,2,6,.333,6,8,.750,2,5,7,2,0,0,1,1,20,15.4,-2,Jabari Smith Jr.
2024-02-14,20-277,HOU,AWAY,MEM,L (-8),1,33:20,3,13,.231,0,6,.000,0,0,,1,10,11,1,1,0,2,2,6,0.7,-2,Jabari Smith Jr.
2024-02-22,20-285,HOU,AWAY,NOP,L (-22),1,26:38,3,5,.600,2,2,1.000,1,2,.500,1,3,4,1,0,0,2,1,9,6.2,-20,Jabari Smith Jr.
2024-02-23,20-286,HOU,HOME,PHO,W (+4),1,41:12,6,18,.333,3,10,.300,7,8,.875,5,11,16,3,2,1,1,6,22,19.6,+2,Jabari Smith Jr.
2024-02-25,20-288,HOU,HOME,OKC,L (-13),1,41:28,6,15,.400,4,9,.444,4,4,1.000,4,13,17,4,1,0,1,1,20,21.0,-2,Jabari Smith Jr.
2024-02-27,20-290,HOU,AWAY,OKC,L (-17),1,35:18,7,16,.438,1,6,.167,3,4,.750,2,11,13,2,1,1,1,1,18,15.6,-9,Jabari Smith Jr.
2024-02-29,20-292,HOU,AWAY,PHO,L (-5),1,37:13,3,11,.273,1,6,.167,4,4,1.000,3,13,16,0,1,1,0,5,11,10.2,-5,Jabari Smith Jr.
2024-03-02,20-294,HOU,AWAY,PHO,W (+9),1,36:45,5,11,.455,2,7,.286,2,4,.500,1,4,5,1,1,1,0,1,14,11.4,+6,Jabari Smith Jr.
2024-03-05,20-297,HOU,HOME,SAS,W (+13),1,25:14,1,6,.167,0,3,.000,0,0,,2,1,3,1,0,1,0,2,2,0.5,-9,Jabari Smith Jr.
2024-03-06,20-298,HOU,HOME,LAC,L (-6),1,28:31,6,11,.545,4,6,.667,3,4,.750,1,1,2,1,0,2,0,5,19,14.4,-20,Jabari Smith Jr.
2024-03-08,20-300,HOU,AWAY,POR,W (+16),1,39:00,5,11,.455,3,7,.429,2,2,1.000,1,8,9,4,2,2,2,2,15,15.8,+11,Jabari Smith Jr.
2024-03-10,20-302,HOU,AWAY,SAC,W (+8),1,33:51,3,10,.300,2,6,.333,2,2,1.000,2,9,11,2,3,0,3,3,10,8.5,+16,Jabari Smith Jr.
2024-03-12,20-304,HOU,AWAY,SAS,W (+2),1,33:24,5,11,.455,1,3,.333,4,4,1.000,1,8,9,1,2,0,1,2,15,13.3,-6,Jabari Smith Jr.
2024-03-14,20-306,HOU,HOME,WAS,W (+16),1,25:50,6,10,.600,2,4,.500,2,2,1.000,0,5,5,1,0,0,1,4,16,11.0,+8,Jabari Smith Jr.
2024-03-16,20-308,HOU,HOME,CLE,W (+14),1,32:20,8,13,.615,3,5,.600,1,1,1.000,3,4,7,2,1,3,2,3,20,18.7,+22,Jabari Smith Jr.
2024-03-19,20-311,HOU,AWAY,WAS,W (+23),1,30:40,7,13,.538,2,7,.286,2,3,.667,4,10,14,0,1,0,0,2,18,17.3,-2,Jabari Smith Jr.
2024-03-21,20-313,HOU,HOME,CHI,W (+10),1,22:29,2,10,.200,0,4,.000,1,1,1.000,1,6,7,0,0,0,3,5,5,-3.7,0,Jabari Smith Jr.
2024-03-23,20-315,HOU,HOME,UTA,W (+28),1,9:00,2,3,.667,0,0,,1,1,1.000,0,2,2,2,0,0,0,0,5,5.7,+13,Jabari Smith Jr.
