DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2022-10-19,20-248,DET,HOME,ORL,W (+4),1,31:44,8,15,.533,2,4,.500,1,1,1.000,1,2,3,4,3,0,2,3,19,15.6,-4,Jaden Ivey
2022-10-21,20-250,DET,AWAY,NYK,L (-24),1,29:05,6,12,.500,1,4,.250,4,4,1.000,1,1,2,9,0,0,4,4,17,12.7,-5,Jaden Ivey
2022-10-22,20-251,DET,AWAY,IND,L (-9),1,34:28,6,13,.462,2,3,.667,3,6,.500,2,8,10,5,1,0,5,3,17,11.2,-4,Jaden Ivey
2022-10-25,20-254,DET,AWAY,WAS,L (-21),1,28:50,4,10,.400,1,3,.333,2,4,.500,0,2,2,4,2,0,0,5,11,8.2,-18,Jaden Ivey
2022-10-26,20-255,DET,HOME,ATL,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jaden Ivey
2022-10-28,20-257,DET,HOME,ATL,L (-24),1,23:23,4,11,.364,2,6,.333,2,2,1.000,1,1,2,0,0,0,0,2,12,6.1,-12,Jaden Ivey
2022-10-30,20-259,DET,HOME,GSW,W (+14),1,31:29,5,11,.455,2,5,.400,3,5,.600,1,3,4,3,1,1,2,4,15,10.3,+16,Jaden Ivey
2022-10-31,20-260,DET,AWAY,MIL,L (-2),1,40:16,8,17,.471,0,4,.000,3,4,.750,2,5,7,1,2,0,3,3,19,11.3,-9,Jaden Ivey
2022-11-02,20-262,DET,AWAY,MIL,L (-25),1,30:15,3,11,.273,1,4,.250,0,0,,0,2,2,1,4,0,2,0,7,3.8,-13,Jaden Ivey
2022-11-04,20-264,DET,HOME,CLE,L (-24),1,34:11,6,13,.462,1,5,.200,5,6,.833,1,5,6,3,0,1,4,4,18,10.3,-21,Jaden Ivey
2022-11-07,20-267,DET,HOME,OKC,W (+9),1,33:51,6,15,.400,2,7,.286,1,1,1.000,3,8,11,6,2,3,2,2,15,16.9,+13,Jaden Ivey
2022-11-09,20-269,DET,AWAY,BOS,L (-16),1,31:23,6,12,.500,2,5,.400,5,7,.714,3,7,10,6,1,0,0,0,19,21.6,-19,Jaden Ivey
2022-11-11,20-271,DET,AWAY,NYK,L (-9),1,25:02,4,11,.364,0,1,.000,2,5,.400,1,2,3,4,2,0,4,1,10,4.4,-17,Jaden Ivey
2022-11-12,20-272,DET,HOME,BOS,L (-9),1,34:10,8,15,.533,4,6,.667,6,6,1.000,2,2,4,3,0,0,4,4,26,17.2,-4,Jaden Ivey
2022-11-14,20-274,DET,HOME,TOR,L (-4),1,34:16,6,16,.375,1,5,.200,8,10,.800,0,4,4,8,1,0,4,6,21,12.8,+3,Jaden Ivey
2022-11-17,20-277,DET,AWAY,LAC,L (-5),1,37:46,8,21,.381,1,7,.143,1,2,.500,1,3,4,5,0,0,4,5,18,5.2,-3,Jaden Ivey
