DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2020-12-23,20-085,MIN,HOME,DET,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jaden McDaniels
2020-12-26,20-088,MIN,AWAY,UTA,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jaden McDaniels
2020-12-27,20-089,MIN,AWAY,LAL,L (-36),0,7:40,2,3,.667,2,3,.667,0,0,,0,1,1,0,2,1,0,2,6,6.9,0,Jaden McDaniels
2020-12-29,20-091,MIN,AWAY,LAC,L (-23),0,7:29,1,1,1.000,0,0,,1,2,.500,0,2,2,0,0,0,2,1,3,0.5,+5,Jaden McDaniels
2021-01-01,20-094,MIN,HOME,WAS,L (-21),0,9:05,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-0.4,+14,Jaden McDaniels
2021-01-03,20-096,MIN,HOME,DEN,L (-15),0,0:55,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,4.4,+5,Jaden McDaniels
2021-01-05,20-098,MIN,AWAY,DEN,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jaden McDaniels
2021-01-07,20-100,MIN,AWAY,POR,L (-18),0,12:00,1,3,.333,1,3,.333,0,0,,2,2,4,3,0,0,1,2,3,3.6,+13,Jaden McDaniels
2021-01-09,20-102,MIN,HOME,SAS,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jaden McDaniels
2021-01-10,20-103,MIN,HOME,SAS,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jaden McDaniels
2021-01-13,20-106,MIN,HOME,MEM,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jaden McDaniels
2021-01-18,20-111,MIN,AWAY,ATL,L (-11),0,12:26,1,4,.250,1,3,.333,0,0,,0,1,1,0,0,0,1,3,3,-1.3,-2,Jaden McDaniels
2021-01-20,20-113,MIN,HOME,ORL,L (-1),0,26:06,5,9,.556,2,4,.500,0,0,,3,5,8,1,0,3,0,4,12,12.5,+19,Jaden McDaniels
2021-01-22,20-115,MIN,HOME,ATL,L (-18),0,22:34,2,9,.222,0,2,.000,0,1,.000,2,3,5,0,0,1,0,0,4,1.1,-20,Jaden McDaniels
2021-01-23,20-116,MIN,HOME,NOP,W (+10),0,20:07,1,7,.143,1,3,.333,0,0,,0,3,3,1,0,2,1,4,3,-1.1,+6,Jaden McDaniels
2021-01-25,20-118,MIN,AWAY,GSW,L (-22),0,25:42,3,9,.333,1,3,.333,0,2,.000,1,4,5,2,1,0,0,4,7,3.8,-7,Jaden McDaniels
2021-01-27,20-120,MIN,AWAY,GSW,L (-12),0,14:29,1,5,.200,1,4,.250,2,4,.500,1,1,2,1,0,0,2,5,5,-1.2,+1,Jaden McDaniels
2021-01-29,20-122,MIN,HOME,PHI,L (-24),0,24:23,3,8,.375,0,2,.000,0,0,,0,7,7,0,0,1,0,5,6,2.4,-13,Jaden McDaniels
2021-01-31,20-124,MIN,HOME,CLE,W (+5),0,20:02,1,3,.333,1,2,.500,0,0,,0,3,3,1,1,3,0,4,3,4.4,+5,Jaden McDaniels
2021-02-01,20-125,MIN,AWAY,CLE,L (-2),0,21:38,5,10,.500,1,4,.250,0,0,,2,2,4,0,0,0,2,3,11,4.8,+2,Jaden McDaniels
2021-02-03,20-127,MIN,AWAY,SAS,L (-3),0,18:00,1,2,.500,1,1,1.000,0,0,,0,1,1,2,0,1,0,3,3,3.2,-3,Jaden McDaniels
2021-02-05,20-129,MIN,AWAY,OKC,W (+3),0,28:37,0,4,.000,0,3,.000,0,0,,0,5,5,1,1,1,0,2,0,0.3,+20,Jaden McDaniels
2021-02-06,20-130,MIN,AWAY,OKC,L (-2),0,23:50,3,5,.600,1,3,.333,1,2,.500,2,4,6,2,1,0,3,2,8,6.5,+6,Jaden McDaniels
2021-02-08,20-132,MIN,AWAY,DAL,L (-5),0,19:49,2,3,.667,2,3,.667,0,0,,0,5,5,1,0,0,2,3,6,3.7,-22,Jaden McDaniels
2021-02-10,20-134,MIN,HOME,LAC,L (-7),0,18:12,4,7,.571,2,5,.400,0,0,,1,2,3,3,0,4,1,2,10,11.1,+3,Jaden McDaniels
2021-02-12,20-136,MIN,AWAY,CHO,L (-6),0,24:20,3,7,.429,2,4,.500,1,2,.500,1,3,4,1,1,2,1,3,9,7.4,+3,Jaden McDaniels
2021-02-14,20-138,MIN,AWAY,TOR,W (+4),0,18:18,2,3,.667,1,2,.500,1,2,.500,0,2,2,2,0,1,1,1,6,5.6,+11,Jaden McDaniels
2021-02-16,20-140,MIN,HOME,LAL,L (-8),0,17:44,0,2,.000,0,1,.000,0,0,,0,1,1,0,1,2,1,3,0,-0.9,-9,Jaden McDaniels
2021-02-17,20-141,MIN,HOME,IND,L (-6),1,37:04,4,10,.400,3,6,.500,0,0,,0,4,4,1,0,3,1,2,11,7.8,0,Jaden McDaniels
2021-02-19,20-143,MIN,HOME,TOR,L (-5),0,30:33,2,5,.400,2,5,.400,2,3,.667,1,5,6,1,0,2,1,4,8,6.6,-1,Jaden McDaniels
2021-02-21,20-145,MIN,AWAY,NYK,L (-4),0,21:40,2,7,.286,1,3,.333,1,1,1.000,1,3,4,0,0,0,1,3,6,1.3,+1,Jaden McDaniels
2021-02-23,20-147,MIN,AWAY,MIL,L (-27),0,21:51,1,4,.250,0,2,.000,2,2,1.000,0,1,1,2,1,2,0,4,4,4.1,-14,Jaden McDaniels
2021-02-24,20-148,MIN,AWAY,CHI,L (-7),0,15:35,1,2,.500,0,1,.000,0,0,,1,2,3,1,0,0,1,1,2,1.6,-12,Jaden McDaniels
2021-02-27,20-151,MIN,AWAY,WAS,L (-16),0,14:58,0,3,.000,0,3,.000,0,0,,0,3,3,1,0,1,1,1,0,-1.2,-18,Jaden McDaniels
2021-02-28,20-152,MIN,HOME,PHO,L (-19),0,8:45,2,3,.667,1,2,.500,0,0,,0,0,0,0,1,0,0,0,5,4.7,-2,Jaden McDaniels
2021-03-03,20-155,MIN,HOME,CHO,L (-33),0,29:52,2,7,.286,0,4,.000,1,2,.500,0,7,7,2,0,0,0,0,5,4.0,-26,Jaden McDaniels
2021-03-11,20-163,MIN,AWAY,NOP,W (+30),0,25:40,8,9,.889,4,5,.800,0,1,.000,2,2,4,1,2,3,0,4,20,21.7,+22,Jaden McDaniels
2021-03-13,20-165,MIN,HOME,POR,L (-4),0,21:28,2,2,1.000,1,1,1.000,0,0,,0,2,2,1,0,0,1,3,5,3.5,-2,Jaden McDaniels
2021-03-14,20-166,MIN,HOME,POR,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jaden McDaniels
2021-03-16,20-168,MIN,AWAY,LAL,L (-16),0,22:43,2,3,.667,1,2,.500,0,0,,0,2,2,0,2,0,0,1,5,5.9,-13,Jaden McDaniels
2021-03-18,20-170,MIN,AWAY,PHO,W (+4),0,26:55,1,5,.200,0,3,.000,0,2,.000,1,3,4,2,2,1,0,0,2,3.8,+8,Jaden McDaniels
2021-03-19,20-171,MIN,AWAY,PHO,L (-12),1,28:13,4,11,.364,0,4,.000,0,0,,0,5,5,0,1,0,0,2,8,3.6,+11,Jaden McDaniels
2021-03-22,20-174,MIN,HOME,OKC,L (-9),0,14:55,1,5,.200,0,1,.000,0,0,,1,0,1,1,0,1,1,3,2,-1.2,-14,Jaden McDaniels
2021-03-24,20-176,MIN,HOME,DAL,L (-20),1,28:34,4,8,.500,1,3,.333,0,0,,2,3,5,1,1,1,0,5,9,7.7,-11,Jaden McDaniels
2021-03-26,20-178,MIN,HOME,HOU,W (+6),1,33:00,5,5,1.000,2,2,1.000,2,2,1.000,1,3,4,0,0,2,0,0,14,15.5,+9,Jaden McDaniels
2021-03-27,20-179,MIN,HOME,HOU,L (-22),1,35:55,6,10,.600,2,4,.500,0,0,,1,1,2,1,0,1,0,2,14,11.0,-7,Jaden McDaniels
2021-03-29,20-181,MIN,AWAY,BRK,L (-5),1,38:05,5,11,.455,3,5,.600,0,0,,3,4,7,4,1,4,0,2,13,16.4,+3,Jaden McDaniels
2021-03-31,20-183,MIN,HOME,NYK,W (+1),1,36:14,7,13,.538,4,9,.444,0,0,,2,3,5,3,0,0,2,3,18,12.9,+9,Jaden McDaniels
2021-04-02,20-185,MIN,AWAY,MEM,L (-12),1,20:38,2,4,.500,2,3,.667,1,1,1.000,0,2,2,3,0,0,1,5,7,4.7,-12,Jaden McDaniels
2021-04-03,20-186,MIN,AWAY,PHI,L (-9),1,35:28,4,10,.400,2,6,.333,4,4,1.000,2,6,8,1,1,2,0,4,14,13.3,-1,Jaden McDaniels
2021-04-05,20-188,MIN,HOME,SAC,W (+10),1,19:32,2,5,.400,0,1,.000,0,0,,2,3,5,0,0,1,1,5,4,1.3,-4,Jaden McDaniels
2021-04-07,20-190,MIN,AWAY,IND,L (-4),1,37:12,3,5,.600,1,3,.333,1,2,.500,2,5,7,2,2,0,3,4,8,7.0,+3,Jaden McDaniels
2021-04-09,20-192,MIN,AWAY,BOS,L (-9),1,43:35,5,12,.417,1,5,.200,0,0,,2,1,3,1,2,0,1,4,11,6.4,-17,Jaden McDaniels
2021-04-11,20-194,MIN,HOME,CHI,W (+4),1,29:35,1,7,.143,0,4,.000,2,2,1.000,0,6,6,1,1,3,0,2,4,4.3,-3,Jaden McDaniels
2021-04-13,20-196,MIN,HOME,BRK,L (-30),1,23:52,2,5,.400,1,3,.333,0,0,,0,3,3,2,0,0,1,3,5,2.4,-26,Jaden McDaniels
2021-04-14,20-197,MIN,HOME,MIL,L (-25),1,25:38,5,10,.500,3,5,.600,0,0,,0,4,4,0,0,0,2,2,13,6.4,-13,Jaden McDaniels
2021-04-16,20-199,MIN,HOME,MIA,W (+8),1,15:52,1,3,.333,1,3,.333,1,2,.500,0,1,1,1,1,0,0,3,4,2.7,-9,Jaden McDaniels
2021-04-18,20-201,MIN,AWAY,LAC,L (-19),1,27:22,4,6,.667,3,5,.600,0,0,,1,0,1,1,1,1,0,3,11,10.3,-7,Jaden McDaniels
2021-04-20,20-203,MIN,AWAY,SAC,W (+14),1,30:27,6,8,.750,1,2,.500,0,0,,1,5,6,0,0,1,3,2,13,8.9,+8,Jaden McDaniels
2021-04-21,20-204,MIN,AWAY,SAC,L (-3),1,32:02,2,4,.500,0,2,.000,0,0,,1,1,2,0,1,1,0,5,4,2.7,-21,Jaden McDaniels
2021-04-24,20-207,MIN,AWAY,UTA,W (+5),1,33:00,3,6,.500,0,0,,0,0,,2,3,5,2,1,0,1,4,6,5.1,+2,Jaden McDaniels
2021-04-26,20-209,MIN,HOME,UTA,W (+1),1,34:27,2,9,.222,1,6,.167,1,2,.500,2,8,10,2,0,2,1,4,6,4.1,+4,Jaden McDaniels
2021-04-27,20-210,MIN,AWAY,HOU,W (+7),1,25:45,2,4,.500,1,2,.500,0,0,,0,3,3,0,1,0,0,1,5,4.5,-10,Jaden McDaniels
2021-04-29,20-212,MIN,HOME,GSW,W (+12),1,32:28,3,7,.429,2,5,.400,0,0,,2,3,5,4,1,0,1,4,8,7.8,-1,Jaden McDaniels
2021-05-01,20-214,MIN,HOME,NOP,L (-4),1,34:32,1,2,.500,1,2,.500,2,2,1.000,1,4,5,0,2,0,1,6,5,4.5,+10,Jaden McDaniels
2021-05-05,20-218,MIN,HOME,MEM,L (-4),1,26:13,3,7,.429,2,5,.400,0,0,,0,3,3,2,0,1,0,5,8,5.3,+6,Jaden McDaniels
2021-05-07,20-220,MIN,AWAY,MIA,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jaden McDaniels
2021-05-09,20-222,MIN,AWAY,ORL,W (+32),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jaden McDaniels
2021-05-11,20-224,MIN,AWAY,DET,W (+19),0,26:25,0,2,.000,0,2,.000,1,2,.500,0,5,5,1,2,3,1,1,1,4.1,+4,Jaden McDaniels
