DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2022-10-19,27-004,SAS,HOME,CHO,L (-27),1,26:59,7,13,.538,0,0,,0,0,,4,5,9,2,0,0,3,2,14,9.6,-10,Jakob Poeltl
2022-10-21,27-006,SAS,AWAY,IND,W (+3),1,28:36,4,6,.667,0,0,,13,21,.619,2,6,8,5,1,1,2,1,21,21.2,+12,Jakob Poeltl
2022-10-22,27-007,SAS,AWAY,PHI,W (+9),1,27:01,6,9,.667,0,0,,1,2,.500,7,5,12,3,0,1,1,5,13,14.9,0,Jakob Poeltl
2022-10-24,27-009,SAS,AWAY,MIN,W (+9),1,30:31,7,12,.583,0,0,,0,0,,8,6,14,4,1,0,2,1,14,17.2,0,Jakob Poeltl
2022-10-26,27-011,SAS,AWAY,MIN,L (-12),1,29:06,5,8,.625,0,0,,2,4,.500,5,5,10,4,0,0,2,1,12,13.0,0,Jakob Poeltl
2022-10-28,27-013,SAS,HOME,CHI,W (+5),1,30:11,10,12,.833,0,0,,1,2,.500,3,10,13,4,1,1,2,1,21,23.4,+9,Jakob Poeltl
2022-10-30,27-015,SAS,HOME,MIN,W (+9),1,33:30,2,2,1.000,0,0,,0,0,,1,13,14,4,2,3,3,3,4,10.7,-4,Jakob Poeltl
2022-11-02,27-018,SAS,HOME,TOR,L (-43),1,20:40,3,6,.500,0,0,,0,0,,5,1,6,2,0,1,5,2,6,3.1,-26,Jakob Poeltl
2022-11-04,27-020,SAS,HOME,LAC,L (-7),1,26:21,2,6,.333,0,0,,0,2,.000,2,5,7,3,3,1,1,2,4,6.7,-21,Jakob Poeltl
2022-11-05,27-021,SAS,AWAY,DEN,L (-25),1,28:35,7,12,.583,0,0,,0,2,.000,3,5,8,2,1,1,2,2,14,11.5,-23,Jakob Poeltl
2022-11-07,27-023,SAS,HOME,DEN,L (-6),1,31:48,2,3,.667,0,0,,0,2,.000,0,7,7,9,2,3,3,1,4,11.0,-12,Jakob Poeltl
2022-11-09,27-025,SAS,HOME,MEM,L (-2),1,36:44,10,12,.833,0,0,,2,5,.400,6,3,9,4,2,0,1,3,22,24.1,-9,Jakob Poeltl
2022-11-11,27-027,SAS,HOME,MIL,W (+18),1,29:47,7,11,.636,0,0,,1,3,.333,3,7,10,3,0,4,2,3,15,15.2,+9,Jakob Poeltl
2022-11-14,27-030,SAS,AWAY,GSW,L (-37),1,20:20,3,6,.500,0,0,,0,0,,4,6,10,1,0,1,4,3,6,3.8,-16,Jakob Poeltl
2022-11-15,27-031,SAS,AWAY,POR,L (-7),1,31:40,14,17,.824,0,0,,3,5,.600,5,9,14,5,0,1,4,3,31,29.1,+7,Jakob Poeltl
2022-11-17,27-033,SAS,AWAY,SAC,L (-18),1,27:21,5,9,.556,0,0,,0,0,,3,4,7,4,1,1,2,4,10,9.9,-10,Jakob Poeltl
2022-11-19,27-035,SAS,AWAY,LAC,L (-22),1,25:04,8,15,.533,0,0,,4,4,1.000,3,5,8,3,1,0,0,1,20,19.0,-16,Jakob Poeltl
2022-11-20,27-036,SAS,AWAY,LAL,L (-31),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jakob Poeltl
2022-11-23,27-039,SAS,HOME,NOP,L (-19),1,25:33,1,3,.333,0,0,,2,4,.500,4,10,14,3,3,0,5,2,4,6.6,-27,Jakob Poeltl
2022-11-25,27-041,SAS,HOME,LAL,L (-11),1,25:13,5,8,.625,0,0,,0,0,,5,3,8,4,0,0,3,4,10,9.0,-6,Jakob Poeltl
2022-11-26,27-042,SAS,HOME,LAL,L (-5),1,9:47,6,8,.750,0,0,,0,0,,4,5,9,0,0,1,1,2,12,12.0,+11,Jakob Poeltl
2022-11-30,27-046,SAS,AWAY,OKC,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jakob Poeltl
2022-12-02,27-048,SAS,HOME,NOP,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jakob Poeltl
2022-12-04,27-050,SAS,HOME,PHO,L (-38),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jakob Poeltl
2022-12-08,27-054,SAS,HOME,HOU,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jakob Poeltl
2022-12-10,27-056,SAS,AWAY,MIA,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jakob Poeltl
2022-12-12,27-058,SAS,HOME,CLE,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jakob Poeltl
2022-12-14,27-060,SAS,HOME,POR,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jakob Poeltl
2022-12-17,27-063,SAS,HOME,MIA,L (-10),1,20:50,3,6,.500,0,0,,1,4,.250,2,5,7,0,2,0,1,1,7,6.3,-16,Jakob Poeltl
