DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,19-341,DET,AWAY,MIA,L (-1),1,31:49,8,11,.727,0,0,,1,3,.333,6,8,14,4,0,4,4,4,17,18.3,-4,Jalen Duren
2023-10-27,19-343,DET,AWAY,CHO,W (+12),1,34:51,7,8,.875,0,0,,0,0,,6,11,17,3,1,2,5,3,14,17.0,+6,Jalen Duren
2023-10-28,19-344,DET,HOME,CHI,W (+16),1,33:13,9,11,.818,0,0,,5,5,1.000,6,9,15,5,1,2,1,3,23,29.5,+6,Jalen Duren
2023-10-30,19-346,DET,AWAY,OKC,L (-12),1,23:19,4,11,.364,0,0,,0,1,.000,3,4,7,1,1,0,1,3,8,4.3,-8,Jalen Duren
2023-11-01,19-348,DET,HOME,POR,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jalen Duren
2023-11-02,19-349,DET,AWAY,NOP,L (-9),1,25:04,5,8,.625,0,0,,2,2,1.000,0,5,5,1,0,0,1,5,12,7.6,-12,Jalen Duren
2023-11-05,19-352,DET,HOME,PHO,L (-14),1,31:05,6,10,.600,0,0,,0,0,,3,8,11,3,2,0,5,4,12,9.4,-19,Jalen Duren
2023-11-06,19-353,DET,HOME,GSW,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jalen Duren
2023-11-08,19-355,DET,AWAY,MIL,L (-2),1,28:27,5,10,.500,0,1,.000,1,1,1.000,3,9,12,5,0,0,2,5,11,10.3,-3,Jalen Duren
2023-11-10,19-357,DET,HOME,PHI,L (-8),1,22:42,2,5,.400,0,0,,0,0,,1,3,4,3,0,1,3,1,4,2.3,-8,Jalen Duren
2023-11-12,19-359,DET,AWAY,CHI,L (-11),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Jalen Duren
2023-11-14,19-361,DET,HOME,ATL,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jalen Duren
