DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2022-10-19,20-252,HOU,AWAY,ATL,L (-10),1,32:13,7,20,.350,1,7,.143,1,1,1.000,1,4,5,3,1,1,3,3,16,6.3,-16,Jalen Green
2022-10-21,20-254,HOU,HOME,MEM,L (-7),1,35:10,13,21,.619,4,5,.800,3,4,.750,0,5,5,2,1,0,2,1,33,24.6,-12,Jalen Green
2022-10-22,20-255,HOU,AWAY,MIL,L (-20),1,31:39,6,19,.316,4,7,.571,6,6,1.000,1,3,4,2,1,0,2,3,22,11.9,-5,Jalen Green
2022-10-24,20-257,HOU,HOME,UTA,W (+6),1,35:45,9,16,.563,4,8,.500,3,3,1.000,2,1,3,3,0,0,3,1,25,17.8,-1,Jalen Green
2022-10-26,20-259,HOU,AWAY,UTA,L (-8),1,36:04,6,20,.300,2,9,.222,3,4,.750,2,5,7,2,1,1,2,2,17,8.2,-19,Jalen Green
2022-10-28,20-261,HOU,AWAY,POR,L (-14),1,31:31,4,19,.211,2,10,.200,1,2,.500,0,6,6,2,1,0,1,1,11,1.7,-19,Jalen Green
2022-10-30,20-263,HOU,AWAY,PHO,L (-15),1,31:06,5,18,.278,2,7,.286,3,4,.750,0,1,1,2,1,0,1,0,15,5.7,-7,Jalen Green
2022-10-31,20-264,HOU,AWAY,LAC,L (-2),1,36:10,4,17,.235,1,5,.200,4,7,.571,0,4,4,1,1,1,1,2,13,3.3,+1,Jalen Green
2022-11-02,20-266,HOU,HOME,LAC,L (-8),1,30:02,9,17,.529,3,8,.375,1,1,1.000,0,4,4,1,1,0,3,3,22,12.4,-13,Jalen Green
2022-11-05,20-269,HOU,AWAY,MIN,L (-12),1,29:12,6,16,.375,4,11,.364,5,7,.714,1,1,2,4,0,0,5,1,21,9.8,-16,Jalen Green
2022-11-07,20-271,HOU,AWAY,ORL,W (+7),1,37:55,12,18,.667,5,11,.455,5,7,.714,0,3,3,3,2,1,3,3,34,26.9,+13,Jalen Green
2022-11-09,20-273,HOU,AWAY,TOR,L (-7),1,40:27,8,14,.571,2,6,.333,3,4,.750,1,5,6,6,0,0,4,1,21,16.0,-8,Jalen Green
2022-11-12,20-276,HOU,AWAY,NOP,L (-13),1,38:13,11,20,.550,5,10,.500,6,6,1.000,0,2,2,6,0,0,5,0,33,23.2,-12,Jalen Green
2022-11-14,20-278,HOU,HOME,LAC,L (-16),1,35:22,10,19,.526,3,8,.375,2,2,1.000,0,6,6,7,1,0,3,0,25,20.4,-16,Jalen Green
2022-11-16,20-280,HOU,AWAY,DAL,W (+9),1,35:56,5,15,.333,1,4,.250,6,7,.857,1,6,7,6,0,1,5,2,17,9.7,+9,Jalen Green
2022-11-18,20-282,HOU,HOME,IND,L (-8),1,31:40,2,10,.200,0,4,.000,12,15,.800,0,5,5,5,2,0,6,4,16,8.0,0,Jalen Green
2022-11-20,20-284,HOU,HOME,GSW,L (-7),1,37:54,4,15,.267,1,8,.125,7,8,.875,2,3,5,4,2,0,0,1,16,13.4,-24,Jalen Green
2022-11-25,20-289,HOU,HOME,ATL,W (+6),1,32:56,10,17,.588,3,9,.333,7,9,.778,0,5,5,5,0,0,6,6,30,17.9,+6,Jalen Green
2022-11-26,20-290,HOU,HOME,OKC,W (+13),1,34:22,11,19,.579,6,9,.667,0,0,,0,2,2,9,0,0,4,1,28,21.6,+17,Jalen Green
2022-11-28,20-292,HOU,AWAY,DEN,L (-16),1,30:44,5,15,.333,1,7,.143,6,8,.750,0,2,2,7,0,0,5,2,17,7.4,-14,Jalen Green
2022-11-30,20-294,HOU,AWAY,DEN,L (-20),1,34:54,6,16,.375,1,7,.143,3,5,.600,1,2,3,3,0,0,2,1,16,7.4,-16,Jalen Green
2022-12-02,20-296,HOU,AWAY,PHO,W (+1),1,37:21,8,24,.333,2,7,.286,12,16,.750,1,2,3,2,3,0,5,2,30,14.7,-8,Jalen Green
2022-12-03,20-297,HOU,AWAY,GSW,L (-19),1,30:46,6,19,.316,0,5,.000,1,1,1.000,0,1,1,3,1,0,2,0,13,3.5,-18,Jalen Green
2022-12-05,20-299,HOU,HOME,PHI,W (+9),1,44:14,9,20,.450,0,7,.000,9,10,.900,2,2,4,7,1,0,7,2,27,16.3,+12,Jalen Green
2022-12-08,20-302,HOU,AWAY,SAS,L (-9),1,29:42,5,17,.294,2,3,.667,2,2,1.000,1,2,3,2,0,1,0,1,14,7.1,-11,Jalen Green
2022-12-11,20-305,HOU,HOME,MIL,W (+5),1,33:36,12,21,.571,3,6,.500,3,4,.750,0,7,7,3,0,0,2,0,30,21.9,-3,Jalen Green
2022-12-13,20-307,HOU,HOME,PHO,W (+14),1,37:08,7,17,.412,1,7,.143,11,12,.917,1,6,7,4,0,0,2,0,26,19.8,+18,Jalen Green
2022-12-15,20-309,HOU,HOME,MIA,L (-3),1,35:36,8,21,.381,1,6,.167,5,6,.833,1,4,5,1,3,1,3,2,22,12.6,+7,Jalen Green
2022-12-17,20-311,HOU,HOME,POR,L (-12),1,31:21,5,16,.313,0,6,.000,5,9,.556,0,5,5,4,0,1,2,2,15,6.4,-22,Jalen Green
2022-12-19,20-313,HOU,HOME,SAS,L (-19),1,31:25,3,12,.250,1,3,.333,6,7,.857,0,1,1,2,2,0,2,1,13,6.7,-15,Jalen Green
2022-12-21,20-315,HOU,HOME,ORL,L (-6),1,35:29,8,17,.471,4,11,.364,1,2,.500,1,7,8,1,0,0,2,4,21,11.8,0,Jalen Green
2022-12-23,20-317,HOU,HOME,DAL,L (-6),1,38:49,6,17,.353,0,4,.000,11,12,.917,1,7,8,4,2,0,3,0,23,17.7,+6,Jalen Green
2022-12-26,20-320,HOU,AWAY,CHI,W (+15),1,35:10,9,15,.600,6,10,.600,0,2,.000,0,6,6,3,1,0,0,1,24,20.8,+16,Jalen Green
2022-12-27,20-321,HOU,AWAY,BOS,L (-24),1,32:55,11,22,.500,3,11,.273,3,3,1.000,0,4,4,2,0,0,4,0,28,15.6,-19,Jalen Green
2022-12-29,20-323,HOU,AWAY,DAL,L (-15),1,31:58,7,15,.467,4,7,.571,5,8,.625,0,4,4,4,0,0,3,1,23,14.7,-16,Jalen Green
2022-12-31,20-325,HOU,HOME,NYK,L (-20),1,34:55,4,12,.333,3,8,.375,5,6,.833,1,2,3,3,0,0,5,3,16,6.0,-16,Jalen Green
2023-01-02,20-327,HOU,HOME,DAL,L (-5),1,32:19,5,17,.294,2,5,.400,8,12,.667,1,4,5,4,1,0,0,4,20,12.6,-8,Jalen Green
2023-01-04,20-329,HOU,AWAY,NOP,L (-11),1,32:15,5,15,.333,2,8,.250,4,4,1.000,1,3,4,4,0,1,1,0,16,11.6,-8,Jalen Green
2023-01-05,20-330,HOU,HOME,UTA,L (-17),1,37:36,8,24,.333,4,12,.333,10,11,.909,0,4,4,4,0,0,3,1,30,16.6,-12,Jalen Green
2023-01-08,20-333,HOU,HOME,MIN,L (-8),1,33:09,4,15,.267,1,6,.167,0,0,,0,5,5,5,2,0,3,2,9,3.3,+3,Jalen Green
2023-01-11,20-336,HOU,AWAY,SAC,L (-20),1,38:57,9,25,.360,3,12,.250,5,7,.714,0,5,5,3,0,0,4,4,26,9.3,-14,Jalen Green
2023-01-13,20-338,HOU,AWAY,SAC,L (-25),1,33:06,10,21,.476,5,9,.556,2,2,1.000,2,0,2,2,2,0,4,2,27,16.3,-30,Jalen Green
2023-01-15,20-340,HOU,AWAY,LAC,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jalen Green
2023-01-16,20-341,HOU,AWAY,LAL,L (-8),1,39:22,7,20,.350,3,10,.300,6,8,.750,1,4,5,3,0,0,1,3,23,12.8,-16,Jalen Green
2023-01-18,20-343,HOU,HOME,CHO,L (-5),1,39:39,16,24,.667,4,10,.400,5,6,.833,0,5,5,7,0,0,4,2,41,31.8,+4,Jalen Green
2023-01-21,20-346,HOU,AWAY,MIN,L (-9),1,32:46,3,13,.231,1,4,.250,3,6,.500,0,0,0,2,0,0,6,1,10,-4.1,-11,Jalen Green
2023-01-23,20-348,HOU,HOME,MIN,W (+5),1,35:07,15,25,.600,6,12,.500,6,10,.600,2,2,4,4,1,1,1,0,42,34.4,+19,Jalen Green
2023-01-25,20-350,HOU,HOME,WAS,L (-5),1,38:05,6,19,.316,2,8,.250,5,6,.833,0,4,4,7,0,0,3,3,19,9.6,-1,Jalen Green
2023-01-26,20-351,HOU,HOME,CLE,L (-18),1,27:59,2,9,.222,2,6,.333,0,0,,0,0,0,3,1,0,3,2,6,-0.2,-23,Jalen Green
