DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2018-10-17,31-239,MIA,AWAY,ORL,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jalen Johnson
2018-10-18,31-240,MIA,AWAY,WAS,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jalen Johnson
2018-10-20,31-242,MIA,HOME,CHO,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jalen Johnson
2018-10-24,31-246,MIA,HOME,NYK,W (+23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jalen Johnson
2018-10-27,31-249,MIA,HOME,POR,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jalen Johnson
2018-10-29,31-251,MIA,HOME,SAC,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jalen Johnson
2018-10-30,31-252,MIA,AWAY,CHO,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jalen Johnson
2018-11-03,31-256,MIA,AWAY,ATL,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jalen Johnson
2018-11-05,31-258,MIA,AWAY,DET,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jalen Johnson
2018-11-07,31-260,MIA,HOME,SAS,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jalen Johnson
2018-11-09,31-262,MIA,HOME,IND,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jalen Johnson
2018-11-10,31-263,MIA,HOME,WAS,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jalen Johnson
2018-11-12,31-265,MIA,HOME,PHI,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jalen Johnson
2018-11-14,31-267,MIA,AWAY,BRK,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jalen Johnson
2018-11-16,31-269,MIA,AWAY,IND,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jalen Johnson
2018-11-18,31-271,MIA,HOME,LAL,L (-16),0,15:15,2,8,.250,2,4,.500,2,2,1.000,0,0,0,2,0,0,0,5,8,2.6,+4,Jalen Johnson
2018-11-20,31-273,MIA,HOME,BRK,L (-12),0,23:15,1,7,.143,0,2,.000,2,2,1.000,1,2,3,4,0,0,0,5,4,1.6,-3,Jalen Johnson
2018-11-23,31-276,MIA,AWAY,CHI,W (+7),1,26:36,1,8,.125,1,3,.333,0,0,,1,3,4,5,0,0,2,1,3,0.5,0,Jalen Johnson
2018-11-25,31-278,MIA,AWAY,TOR,L (-10),1,19:03,2,7,.286,0,2,.000,2,2,1.000,0,0,0,3,0,0,0,1,6,3.6,-25,Jalen Johnson
2018-11-27,31-280,MIA,HOME,ATL,L (-2),1,18:42,3,8,.375,2,5,.400,0,0,,1,2,3,2,1,0,0,1,8,6.9,+1,Jalen Johnson
2018-11-30,31-283,MIA,HOME,NOP,W (+5),1,19:24,2,6,.333,1,1,1.000,3,4,.750,0,1,1,3,1,0,2,3,8,4.4,-9,Jalen Johnson
2018-12-02,31-285,MIA,HOME,UTA,W (+2),1,18:46,4,10,.400,1,2,.500,0,0,,1,1,2,2,1,1,2,2,9,4.9,-16,Jalen Johnson
2018-12-04,31-287,MIA,HOME,ORL,L (-15),1,20:18,5,8,.625,1,3,.333,0,0,,1,3,4,1,1,0,3,3,11,6.5,-9,Jalen Johnson
