DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2022-10-19,22-217,IND,HOME,WAS,L (-7),1,22:03,6,14,.429,1,6,.167,3,5,.600,1,7,8,1,0,1,0,2,16,11.2,0,Jalen Suggs
2022-10-21,22-219,IND,HOME,SAS,L (-3),1,6:47,1,3,.333,0,1,.000,0,0,,0,2,2,0,0,0,1,1,2,-0.5,-11,Jalen Suggs
2022-10-22,22-220,IND,HOME,DET,W (+9),1,27:31,9,16,.563,1,5,.200,0,1,.000,3,12,15,1,0,3,1,2,19,17.7,-1,Jalen Suggs
2022-10-24,22-222,IND,AWAY,PHI,L (-14),1,25:22,6,12,.500,2,5,.400,3,4,.750,4,6,10,1,1,1,1,2,17,15.8,-5,Jalen Suggs
2022-10-26,22-224,IND,AWAY,CHI,L (-15),1,29:09,6,10,.600,3,5,.600,0,0,,2,7,9,2,0,2,2,2,15,13.9,+5,Jalen Suggs
2022-10-28,22-226,IND,AWAY,WAS,W (+10),1,31:05,4,6,.667,0,0,,7,8,.875,0,7,7,0,0,0,1,2,15,12.3,+14,Jalen Suggs
2022-10-29,22-227,IND,AWAY,BRK,W (+9),1,33:41,3,14,.214,1,4,.250,1,2,.500,7,7,14,1,0,0,2,3,8,3.5,+8,Jalen Suggs
2022-10-31,22-229,IND,AWAY,BRK,L (-7),1,26:03,1,4,.250,0,2,.000,1,2,.500,0,4,4,1,1,1,2,4,3,0.2,-5,Jalen Suggs
2022-11-04,22-233,IND,HOME,MIA,W (+2),1,11:25,0,3,.000,0,2,.000,0,0,,0,1,1,2,0,0,3,2,0,-4.2,-14,Jalen Suggs
2022-11-07,22-236,IND,HOME,NOP,W (+7),1,29:19,6,11,.545,3,7,.429,0,0,,3,8,11,1,0,1,1,3,15,13.4,+14,Jalen Suggs
2022-11-09,22-238,IND,HOME,DEN,L (-3),1,18:04,2,9,.222,2,5,.400,0,0,,1,4,5,1,0,0,2,1,6,0.7,-6,Jalen Suggs
2022-11-12,22-241,IND,HOME,TOR,W (+14),1,25:15,6,11,.545,3,7,.429,1,2,.500,0,5,5,2,0,0,3,3,16,9.0,+9,Jalen Suggs
2022-11-16,22-245,IND,AWAY,CHO,W (+12),1,25:51,4,11,.364,0,4,.000,3,4,.750,2,5,7,1,0,1,1,1,11,7.4,+12,Jalen Suggs
2022-11-18,22-247,IND,AWAY,HOU,W (+8),1,30:21,4,10,.400,0,2,.000,2,2,1.000,4,14,18,4,1,3,1,3,10,15.3,+3,Jalen Suggs
2022-11-19,22-248,IND,HOME,ORL,W (+1),1,24:45,6,14,.429,1,6,.167,1,2,.500,2,3,5,0,0,0,1,2,14,6.7,+2,Jalen Suggs
2022-11-21,22-250,IND,HOME,ORL,W (+21),1,17:40,3,8,.375,0,4,.000,0,0,,2,2,4,1,0,1,0,1,6,4.6,+4,Jalen Suggs
2022-11-23,22-252,IND,HOME,MIN,L (-14),1,22:12,1,6,.167,0,3,.000,0,0,,2,1,3,1,2,1,1,1,2,1.9,-15,Jalen Suggs
2022-11-25,22-254,IND,HOME,BRK,W (+11),1,20:35,2,6,.333,1,4,.250,5,6,.833,0,5,5,0,0,0,0,3,10,6.5,+3,Jalen Suggs
2022-11-27,22-256,IND,AWAY,LAC,L (-14),1,28:52,8,14,.571,3,7,.429,4,4,1.000,3,6,9,0,0,1,1,2,23,19.2,-12,Jalen Suggs
2022-11-28,22-257,IND,AWAY,LAL,W (+1),1,23:47,1,4,.250,1,3,.333,6,6,1.000,0,3,3,2,1,1,2,3,9,7.4,+12,Jalen Suggs
2022-11-30,22-259,IND,AWAY,SAC,L (-23),1,19:07,8,10,.800,4,5,.800,2,3,.667,2,4,6,0,0,1,1,3,22,18.9,-11,Jalen Suggs
2022-12-02,22-261,IND,AWAY,UTA,L (-20),1,19:49,4,11,.364,1,5,.200,5,5,1.000,2,1,3,0,0,2,2,4,14,7.4,-18,Jalen Suggs
