DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,NAME
2023-10-25,29-227,POR,AWAY,LAC,L (-12),1,29:57,5,12,.417,0,4,.000,3,4,.750,2,1,3,1,0,1,3,1,13,5.9,-22,Jerami Grant
2023-10-27,29-229,POR,HOME,ORL,L (-5),1,36:05,4,14,.286,1,5,.200,6,7,.857,0,4,4,3,2,0,3,5,15,6.7,+2,Jerami Grant
2023-10-29,29-231,POR,AWAY,PHI,L (-28),1,27:54,5,16,.313,1,4,.250,6,7,.857,2,3,5,1,0,2,2,2,17,9.0,-29,Jerami Grant
2023-10-30,29-232,POR,AWAY,TOR,W (+8),1,37:07,8,18,.444,2,8,.250,4,4,1.000,1,5,6,0,1,1,2,2,22,13.7,+8,Jerami Grant
2023-11-01,29-234,POR,AWAY,DET,W (+9),1,38:04,7,16,.438,2,4,.500,8,10,.800,0,1,1,0,1,0,4,4,24,10.5,+15,Jerami Grant
2023-11-03,29-236,POR,HOME,MEM,W (+2),1,43:44,9,23,.391,3,7,.429,5,9,.556,2,6,8,3,0,1,3,0,26,14.9,+9,Jerami Grant
2023-11-05,29-238,POR,HOME,MEM,L (-12),1,37:46,10,22,.455,4,13,.308,3,4,.750,2,1,3,3,0,0,2,3,27,15.8,-22,Jerami Grant
2023-11-08,29-241,POR,AWAY,SAC,L (-3),1,45:45,12,25,.480,5,8,.625,9,12,.750,1,8,9,5,0,3,4,2,38,28.0,+7,Jerami Grant
2023-11-12,29-245,POR,AWAY,LAL,L (-6),1,40:47,8,17,.471,3,6,.500,4,5,.800,0,5,5,1,0,1,2,3,23,13.6,-15,Jerami Grant
2023-11-14,29-247,POR,AWAY,UTA,L (-16),1,27:21,10,17,.588,3,6,.500,3,4,.750,0,2,2,1,0,1,2,3,26,16.5,-11,Jerami Grant
2023-11-15,29-248,POR,HOME,CLE,L (-14),1,32:28,7,17,.412,1,6,.167,2,2,1.000,0,3,3,2,2,0,3,2,17,8.4,+4,Jerami Grant
2023-11-17,29-250,POR,HOME,LAL,L (-12),1,39:32,8,20,.400,4,9,.444,4,4,1.000,0,4,4,3,1,0,1,0,24,16.5,-13,Jerami Grant
2023-11-19,29-252,POR,HOME,OKC,L (-43),1,27:26,4,12,.333,1,5,.200,5,6,.833,0,0,0,1,1,0,2,1,14,6.1,-25,Jerami Grant
2023-11-21,29-254,POR,AWAY,PHO,L (-13),1,36:28,8,19,.421,5,8,.625,5,6,.833,1,3,4,6,1,1,1,1,26,21.6,-7,Jerami Grant
2023-11-22,29-255,POR,HOME,UTA,W (+16),1,32:21,10,13,.769,5,6,.833,5,6,.833,0,2,2,4,1,1,2,3,30,26.4,+25,Jerami Grant
2023-11-26,29-259,POR,AWAY,MIL,L (-6),1,39:24,7,18,.389,3,6,.500,5,6,.833,1,1,2,2,4,0,4,3,22,13.0,-8,Jerami Grant
2023-11-27,29-260,POR,AWAY,IND,W (+4),1,37:34,12,18,.667,3,3,1.000,7,7,1.000,1,6,7,3,0,3,1,1,34,31.5,+3,Jerami Grant
2023-11-30,29-263,POR,AWAY,CLE,W (+8),1,28:12,4,12,.333,3,6,.500,2,2,1.000,0,2,2,3,2,1,3,4,13,7.0,+6,Jerami Grant
2023-12-02,29-265,POR,AWAY,UTA,L (-5),1,26:21,1,9,.111,0,5,.000,7,7,1.000,0,3,3,0,0,1,3,2,9,0.9,-12,Jerami Grant
2023-12-06,29-269,POR,AWAY,GSW,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jerami Grant
2023-12-08,29-271,POR,HOME,DAL,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jerami Grant
2023-12-11,29-274,POR,AWAY,LAC,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jerami Grant
2023-12-14,29-277,POR,HOME,UTA,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jerami Grant
2023-12-16,29-279,POR,HOME,DAL,L (-11),1,38:29,12,20,.600,1,4,.250,2,3,.667,1,4,5,1,0,0,0,2,27,19.2,-8,Jerami Grant
2023-12-17,29-280,POR,HOME,GSW,L (-4),1,40:48,11,19,.579,3,9,.333,5,5,1.000,1,6,7,6,1,0,3,4,30,24.2,-13,Jerami Grant
2023-12-19,29-282,POR,HOME,PHO,W (+5),1,35:34,8,15,.533,3,4,.750,3,3,1.000,0,1,1,4,0,2,2,2,22,16.4,-10,Jerami Grant
2023-12-21,29-284,POR,HOME,WAS,L (-1),1,32:14,6,14,.429,4,7,.571,4,7,.571,1,1,2,4,1,0,2,4,20,12.6,-15,Jerami Grant
2023-12-23,29-286,POR,AWAY,GSW,L (-20),1,31:44,5,12,.417,1,4,.250,6,8,.750,1,1,2,3,0,0,2,3,17,9.7,-20,Jerami Grant
2023-12-26,29-289,POR,HOME,SAC,W (+17),1,27:45,5,10,.500,1,3,.333,2,3,.667,0,2,2,2,0,1,0,1,13,9.9,-3,Jerami Grant
2023-12-28,29-291,POR,HOME,SAS,L (-13),1,40:31,9,21,.429,1,5,.200,10,13,.769,3,7,10,5,0,0,4,4,29,18.8,-7,Jerami Grant
2023-12-29,29-292,POR,HOME,SAS,W (+6),1,39:23,9,17,.529,4,5,.800,5,6,.833,0,6,6,4,0,0,4,2,27,18.1,+6,Jerami Grant
2024-01-01,29-295,POR,AWAY,PHO,L (-21),1,25:11,6,12,.500,1,3,.333,2,3,.667,0,1,1,3,1,1,3,1,15,9.3,-13,Jerami Grant
2024-01-03,29-297,POR,AWAY,DAL,L (-29),1,19:36,4,9,.444,1,3,.333,1,3,.333,0,1,1,2,0,0,3,3,10,2.0,-13,Jerami Grant
2024-01-05,29-299,POR,AWAY,DAL,L (-36),1,22:33,6,11,.545,2,3,.667,4,5,.800,0,1,1,3,3,1,1,1,18,17.0,-24,Jerami Grant
2024-01-07,29-301,POR,AWAY,BRK,W (+7),1,42:27,11,24,.458,3,7,.429,2,2,1.000,0,2,2,1,1,1,0,2,27,16.8,0,Jerami Grant
2024-01-09,29-303,POR,AWAY,NYK,L (-28),1,27:50,8,16,.500,1,4,.250,4,6,.667,0,2,2,0,0,0,1,2,21,11.0,-31,Jerami Grant
2024-01-11,29-305,POR,AWAY,OKC,L (-62),1,24:45,4,10,.400,1,3,.333,0,0,,0,2,2,2,1,1,0,2,9,6.5,-40,Jerami Grant
2024-01-12,29-306,POR,AWAY,MIN,L (-23),1,30:32,4,15,.267,2,7,.286,3,3,1.000,0,0,0,1,2,0,0,3,13,5.6,-36,Jerami Grant
2024-01-14,29-308,POR,HOME,PHO,L (-11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Jerami Grant
2024-01-17,29-311,POR,HOME,BRK,W (+2),1,35:35,14,26,.538,2,4,.500,0,0,,4,4,8,1,0,0,2,1,30,19.7,+12,Jerami Grant
2024-01-19,29-313,POR,HOME,IND,W (+3),1,42:37,14,28,.500,1,4,.250,8,11,.727,1,3,4,3,1,2,1,2,37,26.1,+2,Jerami Grant
2024-01-21,29-315,POR,AWAY,LAL,L (-24),1,32:33,6,15,.400,0,3,.000,5,5,1.000,1,2,3,3,1,1,1,3,17,11.8,-14,Jerami Grant
2024-01-23,29-317,POR,AWAY,OKC,L (-2),1,29:48,6,10,.600,4,5,.800,2,4,.500,0,5,5,1,1,1,1,0,18,15.5,-8,Jerami Grant
2024-01-24,29-318,POR,AWAY,HOU,W (+6),1,42:44,5,12,.417,2,5,.400,9,11,.818,0,5,5,9,0,2,1,0,21,22.0,+15,Jerami Grant
2024-01-26,29-320,POR,AWAY,SAS,L (-16),1,10:21,2,6,.333,0,1,.000,0,0,,0,1,1,2,0,0,1,1,4,0.9,+7,Jerami Grant
2024-01-28,29-322,POR,HOME,CHI,L (-8),1,36:39,5,12,.417,1,6,.167,13,16,.813,0,7,7,2,0,1,2,2,24,17.8,-2,Jerami Grant
2024-01-29,29-323,POR,HOME,PHI,W (+26),1,30:56,7,13,.538,1,2,.500,12,13,.923,3,2,5,3,0,1,3,4,27,21.2,+29,Jerami Grant
2024-01-31,29-325,POR,HOME,MIL,W (+3),1,37:52,7,14,.500,0,1,.000,4,4,1.000,0,3,3,4,2,0,0,3,18,15.5,+2,Jerami Grant
2024-02-02,29-327,POR,AWAY,DEN,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jerami Grant
2024-02-04,29-329,POR,AWAY,DEN,L (-9),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Jerami Grant
2024-02-08,29-333,POR,HOME,DET,L (-6),1,45:00,14,29,.483,3,6,.500,18,20,.900,2,6,8,6,0,0,4,5,49,34.9,-5,Jerami Grant
2024-02-10,29-335,POR,HOME,NOP,L (-9),1,41:18,7,17,.412,2,5,.400,8,12,.667,2,3,5,4,0,0,4,2,24,13.6,-7,Jerami Grant
2024-02-13,29-338,POR,HOME,MIN,L (-12),1,34:42,5,17,.294,2,7,.286,0,0,,1,0,1,4,1,0,3,3,12,2.4,-17,Jerami Grant
2024-02-15,29-340,POR,HOME,MIN,L (-37),1,33:14,6,14,.429,2,4,.500,6,6,1.000,1,1,2,0,0,1,0,2,20,13.5,-19,Jerami Grant
2024-02-23,29-348,POR,HOME,DEN,L (-15),1,37:08,9,21,.429,3,6,.500,4,7,.571,1,1,2,4,3,0,3,2,25,15.7,-17,Jerami Grant
2024-02-25,29-350,POR,HOME,CHO,L (-13),1,31:53,6,18,.333,1,6,.167,2,2,1.000,0,2,2,5,2,0,5,0,15,5.9,-13,Jerami Grant
2024-02-27,29-352,POR,HOME,MIA,L (-10),1,40:24,7,15,.467,3,5,.600,7,8,.875,1,6,7,6,3,0,3,4,24,21.0,-15,Jerami Grant
2024-03-01,29-355,POR,AWAY,MEM,W (+30),1,33:19,4,10,.400,2,5,.400,0,0,,0,2,2,5,0,0,1,1,10,7.3,+27,Jerami Grant
2024-03-02,29-356,POR,AWAY,MEM,W (+7),1,14:36,1,5,.200,1,4,.250,2,2,1.000,0,0,0,1,1,0,1,1,5,2.2,+3,Jerami Grant
2024-03-04,29-358,POR,AWAY,MIN,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jerami Grant
2024-03-06,29-360,POR,HOME,OKC,L (-8),1,40:19,6,11,.545,2,3,.667,6,6,1.000,0,2,2,4,2,1,6,3,20,13.6,-5,Jerami Grant
2024-03-08,29-362,POR,HOME,HOU,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jerami Grant
2024-03-09,29-363,POR,HOME,TOR,W (+10),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Jerami Grant
2024-03-11,29-365,POR,HOME,BOS,L (-22),1,35:36,5,14,.357,1,4,.250,3,3,1.000,0,2,2,2,2,0,2,0,14,8.2,-14,Jerami Grant
2024-03-13,30-001,POR,HOME,ATL,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jerami Grant
2024-03-14,30-002,POR,HOME,NYK,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jerami Grant
2024-03-16,30-004,POR,AWAY,NOP,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jerami Grant
2024-03-18,30-006,POR,AWAY,CHI,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jerami Grant
2024-03-20,30-008,POR,HOME,LAC,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jerami Grant
2024-03-22,30-010,POR,HOME,LAC,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jerami Grant
2024-03-23,30-011,POR,HOME,DEN,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jerami Grant
2024-03-25,30-013,POR,AWAY,HOU,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jerami Grant
2024-03-27,30-015,POR,AWAY,ATL,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jerami Grant
2024-03-29,30-017,POR,AWAY,MIA,L (-60),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jerami Grant
2024-04-01,30-020,POR,AWAY,ORL,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jerami Grant
2024-04-03,30-022,POR,AWAY,CHO,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jerami Grant
2024-04-05,30-024,POR,AWAY,WAS,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Jerami Grant
